CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,,
54,78,75,76,0,0,0,0,1804,1804,1803,1804,0,0,0,0,23,905,1710,2487,2020,0,777,3009,10003,,,
61,50,78,75,0,0,0,0,1802,1803,1803,1803,0,0,0,0,12,905,1710,2487,2020,0,777,3009,10003,,,
66,63,63,69,0,0,0,0,1804,1803,1805,1805,0,0,0,0,40,905,1710,2331,2020,0,777,3009,9847,,,
78,78,66,69,0,0,0,0,1804,1804,1803,1803,0,0,0,0,46,905,1710,2487,2020,0,777,3009,10003,,,
75,58,75,71,0,0,0,0,1804,1800,1804,1804,0,0,0,0,13,905,1865,2487,2020,0,777,3009,10158,,,
76,78,58,66,0,0,0,0,1804,1803,1803,1804,0,0,0,0,0,905,1865,2487,2020,0,777,3009,10158,,,
71,69,64,58,0,0,0,0,1804,1803,1802,1804,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
81,75,66,78,0,0,0,0,1803,1804,1802,1804,0,0,0,0,46,905,1710,2487,2020,0,777,3009,10003,,,
61,75,76,64,0,0,0,0,1804,1804,1804,1804,0,0,0,0,22,905,1710,2487,2020,0,777,3009,10003,,,
71,61,76,69,0,0,0,0,1803,1804,1804,1804,0,0,0,0,46,905,1710,2488,2020,0,777,3009,10004,,,
58,64,54,72,0,0,0,0,1804,1803,1805,1804,0,0,0,0,44,905,1710,2332,2020,0,777,3009,9848,,,
76,72,92,60,0,0,0,0,1803,1804,1803,1802,0,0,0,0,22,905,1710,2332,2020,0,777,3009,9848,,,
75,75,53,53,0,0,0,0,1801,1803,1802,1804,0,0,0,0,16,905,1710,2332,2020,0,777,3009,9848,,,
71,53,83,72,0,0,0,0,1804,1804,1803,1804,0,0,0,0,47,905,1710,2332,2020,0,777,3009,9848,,,
66,72,53,41,0,0,0,0,1801,1802,1804,1802,0,0,0,0,25,905,1710,2332,2021,0,777,3009,9849,,,
76,63,72,40,0,0,0,0,1805,1804,1802,1804,0,0,0,0,7,905,1710,2332,2020,0,777,3009,9848,,,
83,71,50,64,0,0,0,0,1803,1804,1799,1804,0,0,0,0,32,905,1710,2332,2020,0,777,3009,9848,,,
66,83,53,58,0,0,0,0,1804,1805,1804,1803,0,0,0,0,3,905,1710,2332,2021,0,777,3009,9849,,,
69,75,66,69,0,0,0,0,1804,1803,1804,1802,0,0,0,0,2,905,1710,2332,2021,0,777,3009,9849,,,
66,76,69,69,0,0,0,0,1804,1804,1804,1804,0,0,0,0,37,905,1710,2332,2021,0,777,3009,9849,,,
75,61,76,75,0,0,0,0,1803,1804,1803,1798,0,0,0,0,1,905,1710,2488,2020,0,777,3009,10004,,,
58,63,58,66,0,0,0,0,1804,1804,1803,1803,0,0,0,0,46,905,1866,2332,2020,0,777,3009,10004,,,
58,50,78,58,0,0,0,0,1802,1804,1803,1802,0,0,0,0,46,905,1710,2332,2021,0,777,3009,9849,,,
83,69,66,61,0,0,0,0,1803,1803,1804,1804,0,0,0,0,34,905,1710,2332,2021,0,777,3009,9849,,,
64,80,69,76,0,0,0,0,1804,1804,1802,1801,0,0,0,0,20,905,1710,2332,2021,0,777,3009,9849,,,
58,50,75,83,0,0,0,0,1804,1803,1804,1803,0,0,0,0,46,905,1710,2332,2021,0,777,3009,9849,,,
68,75,60,75,0,0,0,0,1803,1804,1805,1802,0,0,0,0,45,905,1710,2332,2021,0,777,3009,9849,,,
66,50,58,69,0,0,0,0,1804,1803,1809,1802,0,0,0,0,46,905,1710,2332,2021,0,777,3009,9849,,,
58,53,61,75,0,0,0,0,1802,1804,1803,1804,0,0,0,0,45,905,1710,2332,2021,0,777,3009,9849,,,
53,54,84,61,0,0,0,0,1805,1804,1804,1804,0,0,0,0,46,905,1710,2332,2021,0,777,3009,9849,,,
78,68,61,73,0,0,0,0,1803,1804,1803,1804,0,0,0,0,35,905,1710,2332,2021,0,777,3009,9849,,,
71,61,53,61,0,0,0,0,1803,1803,1803,1804,0,0,0,0,12,905,1710,2332,2021,0,777,3009,9849,,,
