CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
53,23,45,50,9,33,35,61,2257,2257,2258,2259,2257,2256,2256,2256,0,1377,4030,4805,3100,0,930,3370,16235,,
41,38,58,27,8,16,66,27,2257,2257,2258,2259,2256,2257,2249,2254,33,1377,4030,4805,3100,0,930,3410,16275,,
41,41,71,38,8,0,35,61,2258,2256,2257,2254,2257,2257,2257,2255,33,1377,4030,4805,3100,0,930,3410,16275,,
50,45,64,36,14,0,9,58,2263,2257,2257,2257,2257,2258,2257,2258,35,1377,4185,4805,3100,0,930,3410,16430,,
41,50,25,76,8,16,33,58,2257,2260,2257,2257,2257,2257,2257,2258,1,1377,4030,4805,3100,0,930,3410,16275,,
41,41,23,61,10,9,8,61,2256,2255,2257,2257,2256,2259,2257,2262,14,1377,4030,4805,3100,0,930,3410,16275,,
45,58,0,0,53,27,41,20,2257,2256,2259,2255,2260,2258,2256,2254,20,1377,3876,4650,3100,0,930,3370,15926,,
50,50,15,0,25,18,53,75,2256,2257,2256,2257,2258,2257,2257,2256,1,1377,3876,4805,3100,0,930,3370,16081,,
50,53,16,35,16,15,53,66,2257,2258,2250,2257,2256,2258,2259,2257,0,1377,3876,4805,3100,0,930,3370,16081,,
76,16,18,10,61,23,50,25,2257,2263,2256,2256,2257,2257,2256,2256,33,1377,3876,4807,3100,0,930,3370,16083,,
72,9,33,25,50,15,41,25,2255,2256,2255,2255,2258,2258,2256,2254,22,1377,3721,4652,3101,0,930,3370,15774,,
63,33,28,16,50,8,45,25,2257,2256,2253,2255,2259,2257,2257,2257,1,1377,3876,4652,3101,0,930,3370,15929,,
18,72,18,30,50,23,41,18,2257,2258,2257,2257,2257,2255,2253,2256,12,1377,3876,4805,3100,0,930,3370,16081,,
69,23,30,18,58,0,46,41,2256,2256,2256,2254,2256,2257,2257,2256,9,1377,3876,4650,3100,0,930,3370,15926,,
61,9,33,25,53,15,41,41,2256,2256,2256,2251,2255,2256,2253,2257,21,1377,3721,4652,3101,0,930,3370,15774,,
54,15,66,9,33,36,25,25,2257,2257,2253,2256,2251,2257,2256,2258,34,1377,3721,4652,3101,0,930,3370,15774,,
20,58,58,16,36,41,25,15,2256,2256,2260,2256,2257,2256,2256,2254,0,1377,3721,4650,3100,0,930,3370,15771,,
66,25,53,30,38,58,28,16,2256,2257,2254,2257,2256,2252,2263,2254,35,1377,3721,4652,3101,0,930,3370,15774,,
0,0,45,75,41,42,27,18,2256,2255,2258,2256,2257,2257,2257,2258,0,1377,3721,4652,3101,0,930,3370,15774,,
8,15,66,57,36,18,36,38,2254,2255,2256,2256,2258,2257,2256,2257,0,1377,3721,4652,3101,0,930,3370,15774,,
64,54,41,23,18,16,42,36,2255,2258,2257,2256,2258,2259,2256,2255,35,1377,3721,4807,3101,0,930,3370,15929,,
63,63,15,16,46,23,36,25,2258,2256,2254,2254,2257,2251,2262,2252,1,1377,3721,4807,3101,0,930,3370,15929,,
8,23,72,66,16,18,58,33,2256,2257,2254,2257,2254,2256,2259,2257,33,1377,3566,4652,3101,0,930,3370,15619,,
45,45,50,33,25,38,28,25,2256,2256,2256,2253,2252,2257,2256,2256,34,1377,3721,4652,3101,0,930,3370,15774,,
16,9,53,16,27,50,75,30,2258,2261,2257,2254,2255,2258,2255,2256,15,1377,3721,4807,3101,0,930,3370,15929,,
54,23,45,30,25,18,38,75,2257,2256,2257,2256,2256,2257,2257,2257,6,1377,3721,4807,3101,0,930,3370,15929,,
61,16,58,18,16,16,54,46,2257,2256,2258,2258,2258,2259,2257,2258,34,1377,3721,4807,3101,0,930,3370,15929,,
25,27,8,23,16,16,66,54,2258,2257,2258,2258,2255,2251,2258,2255,29,1377,3721,4652,3101,0,930,3370,15774,,
9,25,23,16,83,41,50,50,2257,2258,2255,2254,2258,2256,2254,2253,13,1377,3566,4652,3101,0,930,3370,15619,,
63,33,23,16,33,18,50,50,2258,2253,2261,2257,2253,2256,2257,2256,33,1377,3721,4652,3101,0,930,3370,15774,,
57,45,16,15,30,25,36,41,2263,2254,2255,2266,2260,2258,2257,2255,4,1377,3721,4652,3101,0,930,3370,15774,,
18,38,66,45,16,8,41,54,2261,2255,2260,2249,2257,2256,2257,2256,0,1377,3721,4652,3101,0,930,3370,15774,,
57,36,21,16,50,25,25,53,2257,2257,2257,2256,2255,2255,2258,2258,34,1377,3721,4652,3101,0,930,3370,15774,,
16,53,0,25,63,10,38,50,2257,2256,2257,2255,2257,2262,2257,2259,15,1377,3566,4652,3101,0,930,3370,15619,,
16,58,38,58,8,25,46,50,2259,2254,2255,2257,2253,2255,2248,2257,34,1377,3721,4652,3101,0,930,3370,15774,,
54,46,18,18,25,25,40,25,2256,2255,2257,2255,2258,2257,2256,2257,0,1377,3721,4652,3101,0,930,3370,15774,,
16,0,18,50,54,41,53,50,2258,2258,2256,2254,2257,2259,2259,2259,33,1377,3721,4652,3101,0,930,3370,15774,,
23,0,46,46,53,33,45,35,2255,2255,2256,2258,2258,2254,2258,2257,0,1377,3721,4652,3101,0,930,3370,15774,,
25,30,61,46,27,36,18,36,2257,2256,2255,2256,2260,2258,2256,2255,22,1377,3721,4807,3101,0,930,3370,15929,,
30,35,75,61,30,50,16,9,2257,2257,2256,2257,2258,2256,2256,2258,34,1377,3721,4652,3101,0,930,3370,15774,,
20,18,75,18,16,61,9,58,2260,2253,2256,2254,2258,2258,2258,2257,33,1377,3721,4807,3101,0,930,3370,15929,,
30,18,23,72,30,58,50,33,2257,2258,2256,2256,2258,2260,2256,2256,21,1377,3721,4807,3101,0,930,3370,15929,,
38,25,16,75,16,58,54,8,2257,2257,2256,2258,2252,2258,2258,2258,34,1377,3721,4807,3101,0,930,3370,15929,,
27,40,16,16,58,66,30,30,2254,2255,2257,2255,2257,2255,2259,2258,30,1377,3876,4807,3101,0,930,3370,16084,,
33,50,38,38,54,45,23,8,2259,2257,2257,2256,2257,2257,2257,2256,0,1377,3876,4807,3101,0,930,3370,16084,,
38,66,25,36,50,30,18,38,2254,2257,2257,2257,2257,2256,2252,2256,4,1377,3876,4807,3101,0,930,3370,16084,,
58,76,41,58,25,21,8,0,2256,2257,2258,2258,2257,2258,2258,2258,0,1377,3876,4807,3101,0,930,3370,16084,,
57,36,81,61,8,8,23,25,2258,2259,2254,2256,2257,2258,2258,2257,22,1377,3876,4805,3101,0,930,3370,16082,,
40,16,50,50,41,33,23,25,2258,2255,2256,2248,2257,2257,2256,2257,34,1377,3721,4807,3101,0,930,3370,15929,,
9,8,18,58,25,61,30,66,2257,2258,2256,2262,2256,2256,2258,2257,10,1377,3721,4807,3101,0,930,3370,15929,,
8,0,35,53,36,30,30,69,2256,2258,2255,2256,2255,2257,2257,2256,27,1377,3721,4807,3101,0,930,3370,15929,,
27,25,50,58,54,25,25,18,2258,2255,2256,2262,2257,2258,2258,2256,18,1377,3721,4807,3101,0,930,3370,15929,,
30,0,66,58,36,61,30,0,2258,2255,2256,2251,2257,2256,2258,2257,1,1377,3876,4807,3101,0,930,3370,16084,,
46,66,25,45,30,8,25,9,2256,2257,2257,2254,2259,2254,2256,2257,32,1377,3876,4807,3101,0,930,3370,16084,,
54,41,53,36,23,0,30,45,2257,2256,2255,2255,2254,2255,2260,2257,2,1377,3876,4807,3100,0,930,3370,16083,,
50,41,61,76,0,0,30,25,2257,2256,2254,2257,2253,2255,2260,2258,32,1377,3875,4805,3100,0,930,3370,16080,,
63,58,0,50,8,0,25,41,2256,2256,2259,2257,2258,2256,2258,2256,22,1377,3720,4807,3100,0,930,3370,15927,,
28,66,18,61,18,25,30,50,2262,2256,2255,2255,2256,2257,2256,2257,34,1377,3721,4807,3100,0,930,3370,15928,,
9,0,53,40,50,23,36,76,2257,2257,2257,2257,2257,2256,2257,2257,30,1377,3875,4805,3100,0,930,3370,16080,,
9,0,27,64,27,53,42,66,2256,2257,2258,2258,2258,2257,2256,2255,35,1377,3875,4805,3100,0,930,3370,16080,,
30,38,45,25,61,54,8,25,2257,2256,2258,2256,2260,2257,2256,2257,32,1377,3876,4807,3100,0,930,3370,16083,,
27,33,61,41,23,50,16,38,2256,2257,2255,2255,2257,2259,2255,2257,0,1377,3876,4807,3100,0,930,3370,16083,,
66,9,30,0,75,53,25,16,2256,2257,2257,2256,2257,2257,2255,2257,35,1377,3876,4807,3100,0,930,3370,16083,,
30,33,20,28,72,58,18,25,2257,2258,2257,2262,2259,2258,2256,2259,34,1377,3876,4807,3100,0,930,3370,16083,,
50,25,15,18,53,83,25,9,2254,2256,2258,2257,2257,2257,2258,2257,23,1377,3876,4807,3100,0,930,3370,16083,,
0,0,0,18,61,63,20,63,2255,2256,2257,2253,2258,2258,2257,2258,1,1377,3876,4652,3101,0,930,3370,15929,,
33,8,15,8,72,71,33,72,2259,2255,2254,2256,2261,2263,2256,2255,34,1377,3876,4807,3100,0,930,3370,16083,,
25,15,0,0,66,80,27,76,2259,2257,2256,2253,2257,2257,2259,2258,34,1377,3876,4807,3101,0,930,3370,16084,,
20,18,9,16,33,64,50,63,2256,2256,2258,2257,2257,2257,2256,2256,34,1377,4031,4807,3100,0,930,3370,16238,,
8,25,38,33,69,57,18,38,2261,2262,2254,2257,2257,2256,2256,2260,22,1377,3876,4807,3101,0,930,3370,16084,,
16,7,18,16,58,66,75,18,2257,2255,2250,2257,2258,2257,2255,2262,34,1377,3876,4807,3101,0,930,3370,16084,,
15,8,16,30,45,54,69,41,2257,2258,2256,2254,2252,2256,2257,2256,34,1377,3876,4652,3101,0,930,3370,15929,,
25,8,10,28,45,53,45,50,2257,2257,2257,2255,2256,2256,2255,2257,0,1377,3876,4652,3101,0,930,3370,15929,,
9,8,30,18,50,38,45,66,2257,2257,2255,2258,2258,2257,2258,2258,1,1377,3876,4652,3101,0,930,3370,15929,,
8,15,18,33,57,50,75,27,2257,2260,2259,2254,2258,2257,2257,2256,34,1377,3876,4652,3101,0,930,3370,15929,,
8,0,25,38,45,70,50,50,2257,2258,2255,2256,2257,2258,2258,2262,32,1377,3721,4652,3101,0,930,3370,15774,,
15,25,25,16,54,53,45,16,2255,2259,2256,2256,2258,2255,2258,2257,32,1377,3876,4652,3101,0,930,3370,15929,,
36,28,25,28,38,46,41,61,2258,2257,2255,2257,2255,2253,2258,2250,0,1377,3876,4652,3101,0,930,3370,15929,,
18,18,25,10,53,38,58,25,2257,2256,2257,2263,2258,2256,2251,2258,31,1377,3876,4497,3101,0,930,3370,15774,,
54,66,30,15,36,41,0,8,2258,2258,2256,2258,2257,2257,2259,2260,1,1377,3876,4497,3101,0,930,3370,15774,,
54,66,16,16,36,36,33,16,2259,2256,2256,2258,2255,2254,2261,2255,27,1377,3876,4497,3101,0,930,3370,15774,,
57,58,25,18,46,50,7,7,2258,2254,2257,2256,2258,2256,2258,2258,32,1377,3723,4497,3101,0,930,3370,15621,,
33,66,18,16,38,54,36,28,2257,2256,2257,2257,2255,2257,2257,2256,20,1377,3876,4652,3101,0,930,3370,15929,,
9,58,33,38,40,25,66,9,2257,2255,2258,2262,2256,2253,2256,2260,9,1377,3876,4652,3101,0,930,3370,15929,,
8,58,53,58,8,9,63,25,2258,2257,2257,2258,2258,2252,2257,2257,2,1377,4031,4652,3101,0,930,3370,16084,,
