CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,CV_mW
61,16,66,14,27,92,50,46,2260,2265,2266,2264,2264,2259,2264,2264,29,1377,2947,3568,2947,620,3560,13642,
58,38,100,15,0,76,16,45,2265,2264,2265,2262,2268,2264,2264,2264,31,1377,3565,4185,3100,775,3600,15225,0.0
18,58,100,0,75,50,15,8,2264,2263,2264,2261,2264,2265,2266,2264,34,1377,4026,4491,3097,774,3640,16028,0.0
38,50,100,7,38,30,81,21,2264,2263,2266,2266,2264,2264,2264,2265,34,1377,4489,4644,3251,928,3640,16952,0.0
18,58,100,15,50,15,84,18,2264,2264,2265,2265,2264,2263,2264,2265,38,1377,4644,4954,3249,928,3680,17455,0.0
8,72,100,0,83,50,7,8,2265,2264,2269,2265,2264,2264,2265,2265,34,1377,4952,5106,3249,928,3680,17915,0.0
50,33,100,0,36,50,8,46,2264,2265,2264,2264,2264,2269,2262,2262,34,1377,5104,5261,3248,928,3680,18221,0.0
61,18,100,8,8,50,54,41,2264,2265,2263,2263,2262,2267,2264,2264,34,1377,5259,5259,3403,928,3720,18569,0.0
69,38,100,9,35,45,75,50,2265,2265,2265,2263,2265,2264,2264,2265,35,1377,5259,5568,3403,1082,3720,19032,0.0
9,46,66,46,36,15,81,25,2264,2265,2264,2264,2264,2264,2263,2262,36,1377,5414,5568,3403,1082,3720,19187,0.0
0,50,23,58,100,0,25,66,2265,2264,2266,2272,2264,2264,2262,2267,33,1377,5414,5568,3403,1082,3720,19187,0.0
16,46,9,60,100,8,7,83,2264,2264,2265,2265,2264,2268,2265,2265,34,1377,5414,5414,3403,1082,3720,19033,0.0
23,33,50,57,100,9,54,58,2264,2265,2264,2262,2267,2265,2264,2264,34,1377,5568,5566,3403,1082,3720,19339,0.0
