CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
50,16,9,27,27,0,38,33,2257,2258,2258,2258,2258,2258,2258,2257,6,1377,2015,3876,3256,1861,1085,3611,15704,,
8,46,16,30,41,0,27,41,2257,2257,2257,2258,2257,2257,2257,2257,3,1377,2015,3876,3256,1861,1085,3611,15704,,
36,16,23,25,38,14,54,30,2256,2256,2257,2256,2253,2258,2257,2258,4,1377,2015,3876,3256,1861,1085,3611,15704,,
8,41,16,33,33,0,38,41,2256,2257,2257,2258,2257,2258,2256,2257,4,1377,2015,3876,3256,1861,1085,3611,15704,,
50,0,16,25,30,7,63,25,2255,2256,2257,2259,2258,2257,2258,2260,4,1377,2015,3876,3256,1706,930,3611,15394,,
50,21,16,33,33,7,50,8,2256,2256,2256,2258,2257,2256,2257,2257,5,1377,2015,3876,3256,1706,930,3571,15354,,
16,45,16,30,33,8,50,33,2257,2258,2258,2257,2257,2258,2257,2255,8,1377,2015,3876,3256,1706,930,3571,15354,,
8,41,16,27,33,8,54,16,2258,2256,2259,2255,2257,2257,2255,2257,8,1377,2015,3876,3256,1706,1085,3611,15549,,
8,41,23,30,41,8,46,38,2256,2254,2257,2256,2258,2257,2263,2258,6,1377,2015,4031,3256,1706,1085,3571,15664,,
16,36,16,27,25,0,18,45,2258,2257,2257,2256,2260,2257,2254,2250,5,1377,2015,4031,3256,1861,1085,3611,15859,,
45,8,16,25,27,8,41,42,2257,2256,2259,2257,2256,2256,2255,2257,7,1377,2015,4031,3256,1861,1085,3611,15859,,
38,46,16,25,41,27,27,25,2258,2258,2257,2256,2249,2257,2256,2258,9,1377,2015,4031,3256,1861,1085,3611,15859,,
9,50,0,27,58,53,8,9,2256,2252,2258,2256,2257,2255,2256,2258,7,1377,2015,4031,3256,1706,1085,3611,15704,,
15,46,7,25,63,53,0,15,2257,2258,2257,2256,2257,2258,2257,2251,6,1377,2015,4031,3256,1706,1085,3611,15704,,
15,45,0,33,58,36,15,9,2258,2259,2256,2258,2256,2248,2256,2258,6,1377,2015,4031,3256,1861,1085,3611,15859,,
0,45,9,25,41,50,9,16,2257,2258,2256,2256,2256,2257,2258,2257,5,1377,2015,4031,3256,1861,1085,3611,15859,,
50,0,18,41,33,41,15,16,2257,2258,2257,2257,2258,2256,2258,2258,9,1377,2015,4031,3256,1706,1085,3611,15704,,
53,8,35,38,50,10,15,25,2258,2263,2258,2258,2257,2255,2253,2259,6,1377,2015,4031,3256,1706,1085,3611,15704,,
41,8,25,27,10,53,8,16,2257,2258,2258,2257,2257,2257,2258,2257,6,1377,2015,3876,3256,1861,1085,3611,15704,,
50,0,27,36,27,38,8,16,2256,2256,2255,2258,2256,2257,2257,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
45,8,25,41,36,27,9,16,2257,2257,2256,2249,2257,2258,2256,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
53,0,36,27,25,18,16,25,2258,2258,2257,2258,2258,2259,2257,2257,5,1377,2171,3876,3256,1861,1085,3611,15860,,
50,8,41,33,36,25,8,16,2258,2259,2257,2258,2258,2257,2256,2264,4,1377,2171,3876,3256,1861,1085,3611,15860,,
50,0,42,23,25,36,16,28,2251,2258,2258,2258,2257,2258,2256,2254,5,1377,2171,3876,3256,1861,1085,3611,15860,,
36,41,33,27,9,23,30,18,2257,2257,2257,2257,2256,2259,2258,2256,5,1377,2171,3876,3256,1861,1085,3611,15860,,
8,50,58,25,25,27,9,15,2261,2256,2259,2258,2258,2256,2258,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
27,53,25,18,27,30,15,16,2257,2258,2258,2257,2259,2258,2258,2257,6,1377,2171,3876,3256,1861,1085,3611,15860,,
53,38,50,35,40,9,0,16,2258,2256,2257,2254,2259,2258,2258,2258,3,1377,2015,3876,3256,1861,1085,3611,15704,,
41,23,33,45,16,16,23,33,2256,2260,2259,2258,2254,2259,2258,2257,3,1377,2171,3876,3256,1861,1085,3611,15860,,
27,45,30,27,25,15,40,25,2255,2260,2259,2257,2258,2259,2256,2259,4,1377,2015,4031,3256,1706,1085,3611,15704,,
28,38,18,38,15,8,36,33,2259,2258,2255,2259,2257,2258,2257,2259,7,1377,2015,4031,3256,1706,1085,3611,15704,,
18,45,30,41,8,16,25,41,2258,2257,2257,2257,2258,2257,2258,2257,5,1377,2015,4031,3256,1860,1085,3611,15858,,
9,46,27,46,8,20,46,9,2259,2256,2257,2257,2259,2258,2255,2257,5,1377,2015,4031,3256,1860,1085,3611,15858,,
27,38,25,50,8,7,41,23,2256,2257,2259,2258,2257,2258,2258,2257,6,1377,2015,4031,3256,1860,1085,3611,15858,,
53,8,27,36,23,16,50,23,2257,2256,2257,2257,2252,2258,2257,2257,6,1377,2015,4031,3255,1860,1085,3611,15857,,
45,0,25,46,9,0,16,50,2257,2256,2257,2256,2257,2255,2255,2262,6,1377,2171,4031,3255,1860,1085,3611,16013,,
45,25,27,33,15,7,38,38,2257,2256,2261,2258,2258,2257,2250,2259,6,1377,2171,4031,3255,1860,1085,3611,16013,,
50,8,30,45,23,0,41,25,2257,2257,2256,2255,2257,2252,2257,2256,6,1377,2171,4031,3255,1860,1085,3611,16013,,
50,15,30,53,9,0,41,33,2258,2257,2253,2258,2256,2255,2258,2258,3,1377,2171,4031,3256,1860,1085,3611,16014,,
36,16,27,45,9,0,61,16,2259,2258,2255,2257,2258,2258,2257,2251,3,1377,2171,4031,3256,1860,1085,3611,16014,,
23,41,25,41,25,25,33,25,2258,2257,2256,2257,2256,2257,2259,2258,3,1377,2171,4031,3256,1705,1085,3611,15859,,
16,36,33,46,21,7,25,41,2258,2257,2258,2258,2257,2259,2256,2258,3,1377,2171,4031,3256,1706,930,3611,15705,,
16,41,33,41,8,0,53,9,2258,2257,2257,2256,2253,2257,2259,2257,6,1377,2171,4031,3256,1706,1085,3611,15860,,
18,46,25,53,15,0,25,33,2256,2258,2258,2257,2258,2257,2256,2257,5,1377,2171,4031,3256,1706,1085,3611,15860,,
9,46,35,50,9,7,36,38,2256,2256,2257,2257,2256,2255,2260,2258,5,1377,2171,4031,3256,1706,1085,3611,15860,,
21,36,30,50,8,8,35,27,2257,2257,2256,2256,2258,2258,2255,2255,6,1377,2171,4031,3256,1861,1085,3611,16015,,
50,10,38,41,9,0,10,36,2259,2258,2258,2258,2252,2259,2257,2257,8,1377,2171,4031,3256,1861,1085,3611,16015,,
45,8,18,41,23,16,53,23,2258,2258,2256,2256,2257,2257,2255,2255,8,1377,2015,4031,3256,1861,1085,3611,15859,,
50,0,27,45,23,16,18,33,2258,2258,2257,2258,2261,2258,2257,2257,8,1377,2171,4031,3256,1861,1085,3611,16015,,
50,21,30,30,8,28,41,25,2258,2255,2256,2258,2258,2257,2260,2256,6,1377,2015,4031,3256,1861,1085,3611,15859,,
41,0,20,46,0,16,25,36,2256,2257,2256,2256,2259,2256,2256,2256,6,1377,2015,4031,3256,1861,1085,3611,15859,,
15,46,38,41,15,8,16,53,2259,2257,2257,2258,2257,2257,2254,2258,6,1377,2015,4031,3256,1861,1085,3611,15859,,
0,46,25,72,18,8,8,25,2255,2255,2256,2256,2257,2255,2256,2255,3,1377,2015,4031,3256,1861,1085,3611,15859,,
15,36,38,57,41,33,0,14,2258,2258,2259,2257,2257,2257,2256,2257,3,1377,2015,4031,3256,1706,1085,3611,15704,,
16,25,27,61,16,15,16,30,2259,2258,2256,2254,2256,2257,2257,2254,8,1377,2015,4031,3256,1706,1085,3611,15704,,
18,16,41,36,10,25,16,64,2256,2258,2259,2255,2256,2257,2259,2257,5,1377,2015,4031,3256,1706,1085,3611,15704,,
16,46,42,35,28,28,8,36,2255,2257,2256,2257,2256,2257,2257,2258,6,1377,2015,4031,3256,1706,1085,3611,15704,,
16,41,41,18,0,16,25,46,2258,2256,2258,2257,2259,2260,2262,2257,6,1377,2015,4031,3256,1861,1085,3611,15859,,
25,41,45,38,23,9,8,33,2258,2258,2258,2257,2255,2257,2257,2258,6,1377,2015,4031,3256,1861,1085,3611,15859,,
9,25,41,30,16,8,33,54,2258,2255,2255,2257,2257,2258,2258,2260,6,1377,2015,4031,3256,1861,1085,3611,15859,,
46,23,33,25,23,8,33,25,2258,2258,2257,2258,2256,2257,2258,2256,8,1377,2015,4031,3256,1861,1085,3611,15859,,
75,45,50,25,23,16,7,8,2254,2262,2258,2258,2257,2251,2258,2258,5,1377,2171,4031,3256,1861,1085,3611,16015,,
61,53,41,18,23,15,21,8,2259,2260,2259,2258,2257,2256,2256,2258,6,1377,2171,4031,3256,1861,1085,3611,16015,,
54,53,41,18,25,16,9,0,2256,2258,2257,2258,2259,2259,2258,2256,6,1377,2171,4186,3256,1705,1085,3611,16014,,
27,33,46,23,25,9,50,16,2255,2256,2256,2256,2257,2259,2258,2256,5,1377,2171,4186,3256,1860,1085,3611,16169,,
50,0,41,9,9,23,54,16,2256,2257,2257,2261,2258,2257,2257,2257,4,1377,2171,4186,3256,1705,1085,3611,16014,,
50,0,45,16,16,18,38,41,2257,2256,2257,2258,2258,2256,2257,2257,5,1377,2171,4186,3256,1861,1085,3611,16170,,
45,9,38,16,18,23,46,38,2258,2253,2258,2257,2257,2257,2258,2258,6,1377,2171,4186,3256,1861,1085,3611,16170,,
57,0,50,58,16,25,0,9,2258,2256,2258,2257,2258,2259,2255,2247,7,1377,2171,4031,3256,1861,1085,3611,16015,,
40,0,66,50,23,16,7,15,2258,2256,2253,2257,2258,2258,2255,2254,7,1377,2171,4031,3256,1861,1085,3611,16015,,
50,15,30,58,16,25,25,18,2256,2258,2254,2255,2258,2257,2253,2257,6,1377,2171,4031,3256,1861,1085,3611,16015,,
41,8,9,50,23,25,50,33,2258,2258,2258,2253,2257,2257,2256,2255,7,1377,2171,4031,3256,1861,1085,3611,16015,,
9,54,8,41,18,41,8,18,2257,2257,2258,2258,2256,2257,2256,2256,6,1377,2171,4031,3256,1706,930,3611,15705,,
35,41,16,41,38,27,25,25,2258,2258,2255,2258,2258,2255,2259,2258,6,1377,2171,4031,3256,1705,1085,3611,15859,,
25,41,16,36,25,35,16,9,2260,2257,2259,2258,2254,2254,2255,2252,8,1377,2171,4031,3256,1705,1085,3611,15859,,
0,8,38,58,33,36,36,8,2257,2259,2257,2258,2258,2258,2255,2258,8,1377,2015,4031,3256,1705,1085,3611,15703,,
0,8,41,50,50,27,41,8,2258,2257,2254,2257,2255,2255,2257,2260,8,1377,2015,4185,3255,1860,1085,3611,16011,,
23,15,30,53,33,41,41,16,2259,2258,2254,2260,2257,2257,2257,2255,9,1377,2171,4185,3255,1860,1085,3611,16167,,
8,23,27,50,41,16,41,15,2257,2257,2255,2255,2253,2258,2257,2257,6,1377,2171,4185,3255,1860,1085,3611,16167,,
9,8,38,30,41,50,46,8,2257,2257,2258,2257,2254,2258,2258,2258,6,1377,2171,4186,3255,1860,1085,3611,16168,,
50,15,27,16,33,46,45,8,2258,2257,2257,2256,2264,2258,2257,2262,6,1377,2171,4031,3256,1860,1085,3611,16014,,
50,8,25,23,46,33,46,8,2258,2255,2254,2256,2256,2247,2258,2257,8,1377,2171,4031,3256,1860,1085,3611,16014,,
36,9,18,16,41,20,27,25,2254,2259,2253,2257,2257,2257,2250,2258,8,1377,2171,4031,3256,1860,1085,3611,16014,,
9,41,25,16,61,23,23,36,2256,2256,2259,2255,2255,2256,2257,2254,8,1377,2171,4031,3256,1860,1085,3611,16014,,
8,58,25,9,36,9,16,45,2256,2257,2255,2254,2257,2254,2247,2257,8,1377,2171,4031,3256,1861,1085,3611,16015,,
8,41,30,16,27,53,18,30,2258,2258,2258,2257,2258,2255,2258,2256,7,1377,2171,4031,3256,1861,1085,3611,16015,,
21,33,8,27,14,41,41,50,2256,2256,2257,2257,2258,2257,2258,2256,4,1377,2171,4031,3256,1861,1085,3611,16015,,
9,41,33,23,18,46,41,16,2257,2256,2255,2256,2259,2259,2258,2258,8,1377,2171,4031,3256,1706,1085,3611,15860,,
8,41,30,16,8,41,33,36,2256,2257,2255,2256,2257,2256,2258,2257,6,1377,2171,4031,3256,1706,1085,3611,15860,,
8,41,18,18,9,36,40,25,2259,2257,2257,2257,2258,2258,2262,2254,5,1377,2171,4031,3256,1706,1085,3611,15860,,
8,38,23,27,8,41,9,64,2259,2258,2257,2257,2255,2256,2258,2254,7,1377,2171,4031,3256,1861,1085,3611,16015,,
0,41,16,30,0,46,23,50,2256,2256,2256,2257,2256,2255,2252,2257,8,1377,2171,4031,3256,1861,1085,3611,16015,,
15,50,16,33,15,45,9,53,2257,2257,2257,2257,2259,2258,2254,2256,5,1377,2171,4031,3256,1861,1085,3611,16015,,
25,41,9,25,0,36,36,27,2255,2258,2259,2261,2258,2257,2267,2254,5,1377,2171,4031,3256,1861,1085,3611,16015,,
18,41,7,27,16,50,36,30,2259,2259,2263,2257,2258,2255,2257,2258,6,1377,2171,4031,3256,1861,1085,3611,16015,,
30,42,0,18,15,36,46,38,2260,2259,2256,2254,2257,2256,2258,2258,6,1377,2171,4031,3256,1861,1085,3611,16015,,
8,36,30,27,27,15,46,18,2257,2257,2257,2263,2257,2257,2258,2257,8,1377,2171,4031,3256,1861,1085,3611,16015,,
0,46,23,27,46,0,38,46,2259,2257,2258,2256,2257,2257,2256,2258,8,1377,2171,4031,3256,1861,1085,3611,16015,,
16,38,25,35,8,50,27,27,2259,2258,2257,2258,2258,2257,2256,2258,6,1377,2171,4186,3256,1861,1085,3611,16170,,
21,36,30,27,0,36,30,38,2260,2257,2257,2254,2257,2258,2258,2257,6,1377,2171,4186,3256,1861,1085,3611,16170,,
9,38,25,8,66,41,16,0,2257,2254,2258,2254,2256,2251,2258,2258,6,1377,2015,4031,3256,1861,1085,3611,15859,,
16,50,23,18,63,33,16,0,2257,2255,2258,2266,2258,2257,2255,2253,5,1377,2015,4031,3256,1861,1085,3611,15859,,
20,33,25,23,54,45,16,8,2256,2257,2257,2257,2257,2258,2256,2256,4,1377,2015,4031,3256,1861,1085,3611,15859,,
15,33,15,25,57,46,25,25,2258,2258,2256,2257,2258,2256,2258,2258,4,1377,2015,4031,3256,1861,1085,3611,15859,,
16,50,9,9,50,50,16,0,2257,2257,2256,2256,2258,2257,2256,2252,4,1377,2171,4031,3256,1861,1085,3611,16015,,
0,41,16,16,66,46,16,0,2257,2256,2258,2257,2259,2258,2257,2258,4,1377,2171,3876,3256,1861,1085,3611,15860,,
16,38,27,8,63,40,9,14,2258,2257,2257,2257,2257,2258,2257,2254,4,1377,2171,3876,3256,1861,1085,3611,15860,,
0,33,18,8,50,50,16,18,2258,2258,2257,2256,2266,2260,2258,2258,4,1377,2171,3876,3256,1861,1085,3611,15860,,
14,27,33,8,63,46,23,0,2257,2257,2256,2257,2257,2258,2258,2259,5,1377,2015,3876,3256,1706,1085,3611,15549,,
16,41,30,0,61,50,16,8,2257,2255,2257,2257,2258,2257,2256,2257,5,1377,2171,3876,3256,1861,1085,3611,15860,,
61,41,27,8,8,30,9,9,2256,2257,2259,2258,2256,2254,2257,2257,5,1377,2171,3876,3256,1861,1085,3611,15860,,
36,64,33,7,0,36,7,16,2261,2253,2256,2256,2259,2255,2257,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
9,41,61,20,7,46,8,16,2257,2257,2254,2258,2258,2258,2258,2264,6,1377,2171,3876,3256,1861,1085,3611,15860,,
16,41,58,38,0,41,0,23,2257,2254,2259,2258,2256,2258,2259,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
25,36,53,33,0,36,0,9,2257,2251,2258,2256,2256,2249,2258,2257,6,1377,2171,3876,3256,1860,1085,3611,15859,,
9,33,58,25,0,41,8,16,2259,2259,2258,2256,2256,2258,2259,2258,7,1377,2171,3876,3256,1861,1085,3611,15860,,
15,33,45,42,0,50,35,25,2256,2256,2257,2256,2257,2258,2257,2256,8,1377,2171,3876,3256,1861,1085,3611,15860,,
50,57,16,27,0,36,0,7,2257,2258,2256,2257,2259,2258,2257,2253,6,1377,2171,3876,3256,1706,1085,3611,15705,,
20,50,23,18,46,36,8,0,2255,2258,2257,2260,2259,2259,2258,2255,8,1377,2171,3876,3255,1705,1085,3611,15703,,
72,33,33,18,0,38,7,14,2258,2258,2258,2258,2258,2259,2258,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
42,38,30,16,7,46,36,0,2259,2251,2253,2250,2255,2259,2258,2256,6,1377,2171,3876,3256,1861,1085,3611,15860,,
8,16,33,16,0,41,41,50,2258,2258,2258,2256,2257,2258,2258,2258,6,1377,2171,3876,3256,1861,1085,3611,15860,,
20,50,38,16,0,36,46,8,2259,2260,2259,2258,2258,2258,2255,2257,6,1377,2171,3876,3256,1861,1085,3611,15860,,
58,25,27,16,8,46,30,0,2258,2256,2257,2253,2257,2257,2255,2258,6,1377,2015,3876,3256,1861,1085,3611,15704,,
50,33,18,25,0,45,36,0,2257,2256,2261,2255,2255,2258,2257,2256,3,1377,2171,3876,3256,1861,1085,3611,15860,,
27,18,23,25,27,41,36,0,2256,2258,2254,2257,2257,2259,2256,2257,3,1377,2171,3876,3256,1861,1085,3571,15820,,
38,27,9,42,21,41,25,0,2256,2258,2257,2259,2257,2256,2257,2258,3,1377,2171,3876,3256,1861,1085,3571,15820,,
18,30,30,27,0,46,46,25,2259,2256,2256,2258,2257,2257,2256,2255,3,1377,2171,3876,3256,1861,1085,3571,15820,,
9,8,16,33,0,41,81,16,2257,2257,2257,2259,2258,2256,2258,2258,9,1377,2171,3876,3256,1861,1085,3571,15820,,
21,8,16,30,0,41,69,33,2253,2256,2257,2256,2257,2260,2255,2257,8,1377,2015,3876,3256,1861,1085,3571,15664,,
0,0,9,25,0,41,81,18,2256,2258,2257,2262,2258,2259,2256,2255,8,1377,2015,3876,3256,1861,1085,3571,15664,,
18,33,21,33,0,33,53,15,2258,2258,2258,2268,2259,2259,2258,2257,8,1377,2015,3876,3256,1861,1085,3571,15664,,
53,30,23,33,8,50,36,0,2259,2256,2257,2254,2257,2256,2256,2255,8,1377,2015,3876,3256,1861,1085,3571,15664,,
27,41,18,30,0,46,38,0,2257,2256,2253,2257,2257,2255,2257,2257,6,1377,2015,3876,3256,1861,1085,3571,15664,,
46,18,16,33,30,16,33,8,2256,2257,2254,2261,2253,2257,2258,2255,7,1377,2015,3876,3256,1861,1085,3571,15664,,
58,45,16,25,15,16,25,7,2257,2258,2258,2255,2255,2258,2257,2255,7,1377,2015,3876,3256,1861,930,3571,15509,,
58,53,16,33,7,0,54,8,2258,2258,2257,2257,2249,2257,2256,2256,8,1377,2015,3876,3256,1861,1085,3571,15664,,
76,41,23,38,0,7,33,8,2257,2258,2262,2256,2257,2257,2258,2257,6,1377,2015,3876,3256,1861,1085,3571,15664,,
66,45,16,30,0,0,25,0,2258,2258,2258,2257,2257,2258,2258,2258,4,1377,2015,3876,3256,1861,930,3571,15509,,
53,41,9,25,23,0,33,7,2254,2257,2259,2257,2256,2257,2256,2261,9,1377,2015,3723,3256,1706,930,3571,15201,,
63,46,23,33,0,0,30,0,2257,2261,2258,2257,2258,2257,2258,2258,5,1377,2015,3876,3256,1706,1085,3571,15509,,
33,50,16,33,38,8,27,0,2255,2258,2259,2258,2257,2258,2257,2258,7,1377,2015,3876,3256,1861,1085,3571,15664,,
8,41,9,27,10,58,42,7,2258,2260,2257,2258,2254,2258,2257,2257,6,1377,2015,3876,3256,1861,1085,3571,15664,,
8,40,28,33,25,41,36,8,2255,2255,2254,2256,2257,2258,2260,2254,7,1377,2015,3876,3256,1861,1085,3571,15664,,
50,7,9,38,36,20,33,8,2257,2257,2256,2257,2257,2256,2253,2253,6,1377,2015,3876,3256,1861,1085,3571,15664,,
41,9,23,27,41,35,27,0,2256,2257,2260,2255,2258,2257,2257,2254,6,1377,2015,3876,3256,1861,1085,3611,15704,,
8,41,16,30,9,58,38,0,2258,2257,2254,2251,2258,2257,2256,2258,3,1377,2015,3876,3256,1861,1085,3571,15664,,
23,50,18,27,46,25,33,8,2259,2256,2256,2258,2258,2258,2256,2256,4,1377,2171,3876,3256,1861,1085,3571,15820,,
8,36,23,42,50,25,33,0,2256,2257,2255,2252,2251,2261,2255,2256,4,1377,2015,3876,3256,1861,1085,3571,15664,,
50,15,9,33,25,33,33,8,2257,2258,2257,2257,2257,2256,2256,2255,4,1377,2171,3876,3256,1861,930,3571,15665,,
20,27,9,30,0,0,69,33,2255,2255,2256,2257,2255,2255,2259,2255,6,1377,2171,3876,3256,1861,930,3571,15665,,
28,50,28,25,21,8,63,9,2256,2256,2257,2257,2257,2256,2256,2256,8,1377,2171,3876,3256,1861,930,3571,15665,,
33,9,33,41,8,0,58,46,2256,2257,2256,2256,2258,2257,2256,2256,3,1377,2171,3876,3256,1706,930,3571,15510,,
45,33,33,16,16,8,16,45,2258,2256,2255,2257,2255,2259,2260,2258,9,1377,2171,3876,3256,1706,930,3571,15510,,
