CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
51,55,47,54,66,41,38,40,2256,2259,2258,2257,2256,2259,2257,2257,33,1377,4493,6507,3252,0,1084,3691,19027,,
42,47,49,52,49,45,47,42,2254,2259,2259,2257,2260,2253,2259,2259,6,1377,4338,6352,3253,0,1084,3651,18678,,
49,44,30,41,37,59,41,41,2259,2259,2255,2260,2256,2258,2257,2259,36,1377,4648,5887,3253,0,1084,3651,18523,,
52,42,43,35,57,37,46,34,2263,2252,2259,2259,2257,2260,2258,2258,44,1377,4493,5887,3253,0,1084,3651,18368,,
45,53,49,34,57,35,30,29,2258,2254,2260,2258,2257,2256,2258,2256,33,1377,4340,5577,3255,0,1085,3691,17948,,
34,35,63,44,41,42,45,34,2260,2258,2257,2258,2258,2259,2254,2258,31,1377,4493,5887,3253,0,1084,3691,18408,,
54,42,35,32,45,50,47,36,2259,2260,2259,2259,2258,2260,2258,2258,9,1377,4493,5732,3253,0,1084,3691,18253,,
49,37,42,39,41,49,38,42,2259,2259,2259,2259,2258,2260,2265,2257,43,1377,4493,5887,3253,0,1084,3651,18368,,
44,41,46,51,51,57,64,53,2258,2259,2257,2259,2258,2259,2258,2257,23,1377,4491,6814,3407,0,1084,3691,19487,,
59,43,34,40,46,41,46,45,2258,2257,2257,2259,2258,2259,2259,2255,35,1377,4493,6352,3408,0,1084,3691,19028,,
55,47,38,43,51,49,34,32,2257,2258,2253,2259,2260,2258,2259,2259,23,1377,4340,5887,3253,0,1084,3651,18215,,
48,39,54,44,42,35,41,48,2258,2258,2257,2259,2259,2266,2258,2256,30,1377,4338,6197,3253,0,1084,3651,18523,,
39,43,44,35,36,51,50,41,2260,2259,2259,2259,2259,2261,2256,2256,20,1377,4338,6042,3253,0,1084,3651,18368,,
43,44,50,41,43,43,46,47,2257,2259,2258,2257,2254,2256,2259,2258,45,1377,4338,6197,3253,0,1084,3651,18523,,
31,32,39,38,43,45,68,39,2258,2259,2258,2260,2257,2257,2260,2255,38,1377,4340,5887,3253,0,1085,3651,18216,,
49,43,55,42,29,26,51,41,2258,2259,2257,2257,2258,2258,2257,2259,9,1377,4493,5887,3253,0,1084,3651,18368,,
45,45,58,42,44,41,60,50,2258,2258,2260,2259,2259,2259,2258,2258,49,1377,4493,6042,3408,0,1084,3691,18718,,
37,30,47,39,31,42,70,33,2258,2259,2259,2257,2258,2259,2259,2257,32,1377,4648,5732,3253,0,1084,3651,18368,,
45,50,36,37,47,52,43,34,2258,2259,2256,2256,2256,2258,2258,2259,41,1377,4338,5732,3253,0,1084,3651,18058,,
22,60,32,55,70,34,44,39,2260,2257,2258,2257,2259,2258,2256,2258,0,1377,2327,6205,2947,0,775,3531,15785,,
28,83,45,46,68,31,27,22,2257,2258,2258,2254,2258,2257,2258,2257,0,1377,1242,6210,2794,0,621,3451,14318,,
29,77,54,15,25,64,11,76,2260,2255,2258,2259,2257,2257,2256,2258,0,1377,1086,6365,2794,0,621,3451,14317,,
18,14,94,19,15,99,84,22,2256,2258,2264,2259,2255,2258,2257,2263,0,1377,1086,6518,2948,0,776,3531,14859,,
