CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
72,57,45,53,42,42,69,34,1190,1190,1190,1190,1190,1190,1190,1188,43,624,1554,2020,3109,0,932,3531,11146,,
51,61,47,47,39,56,51,47,1189,1189,1190,1190,1190,1190,1191,1191,35,624,1710,1865,3109,0,932,3531,11147,,
51,41,58,55,46,52,55,58,1190,1190,1190,1189,1190,1190,1190,1189,35,624,1710,2020,3109,0,932,3531,11302,,
43,61,40,67,69,52,50,54,1189,1190,1192,1190,1186,1190,1190,1188,17,624,1710,1865,3109,0,932,3491,11107,,
66,50,48,59,60,48,62,43,1190,1190,1190,1190,1189,1190,1184,1190,4,522,1554,2020,3109,0,932,3531,11146,,
67,56,43,52,52,51,53,42,1190,1190,1190,1190,1189,1190,1189,1190,36,522,1554,1865,3109,0,932,3531,10991,,
51,61,60,54,43,50,41,53,1190,1190,1189,1188,1190,1188,1190,1190,80,522,1554,1865,3109,0,932,3531,10991,,
49,52,59,57,42,47,65,53,1189,1190,1190,1190,1189,1190,1190,1188,13,522,1554,2020,3109,0,932,3531,11146,,
46,38,56,57,52,48,59,47,1189,1192,1189,1190,1190,1189,1190,1190,46,522,1554,1865,3109,0,932,3491,10951,,
61,50,47,46,50,55,56,49,1189,1190,1190,1195,1190,1190,1189,1184,18,522,1554,1865,3109,0,932,3531,10991,,
47,53,46,46,39,43,57,59,1190,1190,1190,1190,1190,1190,1190,1188,16,522,1554,1865,3109,0,932,3491,10951,,
58,49,58,42,72,44,46,41,1189,1190,1189,1191,1190,1190,1190,1190,5,522,1554,1865,3109,0,932,3531,10991,,
47,58,51,60,45,47,36,35,1190,1190,1188,1190,1189,1190,1190,1189,7,522,1555,1865,3109,0,932,3531,10992,,
55,50,41,70,46,40,49,50,1190,1190,1190,1189,1190,1189,1189,1190,39,522,1554,1865,3109,0,932,3531,10991,,
45,58,35,41,41,51,59,45,1190,1190,1190,1190,1190,1191,1190,1190,26,522,1554,1865,3109,0,932,3531,10991,,
49,55,50,51,56,57,58,53,1190,1190,1189,1190,1190,1190,1190,1189,16,522,1554,2020,3109,0,932,3531,11146,,
75,74,76,80,79,83,81,76,1190,1190,1190,1190,1190,1190,1191,1190,90,522,1399,2331,3109,0,932,3531,11302,,
59,53,48,51,66,50,46,42,1189,1190,1190,1190,1190,1190,1189,1192,67,522,1554,1865,3109,0,932,3531,10991,,
63,58,61,53,68,57,50,51,1190,1190,1190,1190,1190,1191,1190,1189,76,522,1554,2176,3109,0,932,3491,11262,,
56,50,60,55,49,54,52,46,1189,1190,1190,1190,1190,1191,1190,1190,92,522,1554,1865,3109,0,932,3531,10991,,
55,47,49,37,35,48,63,50,1190,1189,1190,1190,1190,1190,1191,1190,39,522,1554,1865,3109,0,932,3491,10951,,
56,55,59,58,51,44,52,35,1189,1190,1188,1190,1190,1188,1191,1190,42,522,1554,1865,3109,0,932,3491,10951,,
60,50,49,54,50,53,40,51,1190,1190,1189,1190,1191,1189,1188,1190,81,522,1555,1865,3109,0,932,3491,10952,,
62,48,55,51,47,41,62,50,1190,1190,1191,1190,1190,1190,1190,1188,60,522,1554,1865,3109,0,932,3531,10991,,
50,60,51,38,61,38,45,64,1190,1189,1190,1190,1190,1190,1190,1190,55,522,1554,1865,3109,0,932,3531,10991,,
57,56,48,52,64,44,48,59,1189,1190,1192,1190,1186,1191,1190,1190,63,522,1554,2020,3109,0,932,3531,11146,,
50,50,47,60,65,54,47,41,1190,1191,1190,1190,1190,1190,1188,1190,17,522,1554,1865,3109,0,932,3531,10991,,
48,40,51,57,55,54,51,49,1190,1191,1191,1190,1190,1190,1190,1190,50,522,1554,2020,3109,0,932,3531,11146,,
51,51,67,65,45,50,36,30,1191,1190,1192,1189,1190,1190,1190,1190,11,522,1554,1865,3109,0,932,3491,10951,,
56,61,49,50,34,66,46,43,1190,1190,1190,1190,1190,1192,1190,1189,14,522,1555,1865,3109,0,932,3531,10992,,
57,52,45,54,54,46,47,39,1190,1190,1190,1189,1189,1190,1189,1191,23,522,1554,1865,3109,0,932,3491,10951,,
54,37,54,43,50,45,44,54,1190,1188,1190,1191,1188,1190,1190,1190,30,522,1554,1865,3109,0,932,3491,10951,,
55,50,53,54,60,57,40,32,1190,1188,1190,1190,1190,1189,1190,1190,26,522,1554,1865,3109,0,932,3531,10991,,
53,40,50,48,37,57,52,60,1190,1190,1187,1190,1190,1190,1190,1190,67,522,1554,1865,3109,0,932,3531,10991,,
48,57,51,57,47,46,40,50,1190,1191,1189,1190,1189,1187,1190,1190,6,522,1554,1865,3109,0,932,3531,10991,,
49,56,44,47,47,50,56,48,1190,1190,1190,1190,1191,1189,1190,1190,24,522,1554,1865,3109,0,932,3531,10991,,
59,44,46,46,55,62,46,51,1190,1190,1190,1190,1189,1190,1190,1189,64,522,1554,1865,3109,0,932,3491,10951,,
50,45,60,49,39,39,45,59,1190,1190,1190,1190,1190,1190,1190,1191,55,522,1555,1865,3109,0,932,3491,10952,,
56,48,51,39,52,54,68,52,1189,1190,1190,1190,1190,1190,1189,1190,57,522,1554,1865,3109,0,932,3531,10991,,
66,45,40,57,50,50,39,46,1190,1192,1190,1190,1190,1190,1190,1189,38,522,1554,1865,3109,0,932,3491,10951,,
62,61,60,71,72,66,60,70,1190,1189,1187,1190,1190,1190,1190,1190,75,522,1554,2020,3107,0,932,3531,11144,,
48,62,62,52,49,56,41,44,1190,1190,1190,1190,1190,1190,1190,1190,36,522,1554,2020,3109,0,932,3491,11106,,
59,51,50,54,66,41,50,63,1190,1190,1189,1192,1190,1191,1187,1190,38,522,1554,2020,3109,0,932,3531,11146,,
52,57,59,56,43,43,49,50,1189,1190,1190,1190,1189,1190,1190,1190,26,522,1554,1865,3109,0,932,3531,10991,,
60,44,61,48,53,52,44,55,1190,1189,1189,1190,1189,1193,1190,1189,39,522,1554,2020,3109,0,932,3531,11146,,
47,48,43,47,51,64,56,43,1190,1190,1190,1189,1190,1190,1190,1190,8,522,1554,1865,3109,0,932,3531,10991,,
65,67,61,43,47,44,46,44,1190,1191,1190,1189,1190,1190,1189,1189,15,522,1554,2020,3109,0,932,3531,11146,,
44,56,50,50,48,44,46,60,1189,1190,1190,1190,1189,1195,1189,1190,46,522,1710,1865,3109,0,932,3531,11147,,
54,42,60,56,37,50,69,51,1190,1190,1190,1190,1190,1187,1190,1189,24,522,1709,2020,3107,0,932,3531,11299,,
46,46,52,51,45,38,53,50,1190,1190,1190,1190,1190,1190,1190,1190,28,522,1553,1864,3107,0,932,3491,10947,,
55,59,58,52,38,39,51,63,1190,1190,1190,1190,1189,1189,1189,1190,42,522,1553,2020,3107,0,932,3531,11143,,
42,56,42,46,56,58,34,62,1190,1189,1189,1190,1190,1190,1190,1190,75,522,1554,1865,3109,0,932,3531,10991,,
49,48,49,58,48,48,45,38,1190,1190,1189,1186,1190,1190,1191,1190,74,522,1554,1865,3109,0,932,3531,10991,,
60,66,57,54,68,57,61,71,1190,1185,1190,1190,1189,1192,1191,1189,6,522,1554,2176,3109,0,932,3531,11302,,
64,71,66,55,64,77,57,66,1190,1187,1190,1190,1188,1190,1190,1190,21,522,1554,2176,3107,0,932,3531,11300,,
59,56,47,40,70,42,31,37,1189,1190,1190,1190,1190,1190,1190,1187,0,522,777,1711,2800,0,622,3370,9280,,
31,76,43,40,64,50,20,36,1189,1189,1189,1190,1188,1189,1188,1190,0,522,622,1712,2646,0,466,3330,8776,,
66,51,54,49,71,18,27,72,1190,1190,1190,1189,1190,1190,1189,1189,0,522,466,2022,2800,0,622,3370,9280,,
