CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
27,75,16,53,42,80,8,27,2257,2254,2257,2257,2259,2258,2257,2256,6,1377,5111,5420,3252,0,1084,3451,18318,,
76,18,25,46,90,46,16,33,2256,2258,2258,2258,2260,2256,2259,2254,31,1377,5111,5420,3252,0,1084,3451,18318,,
54,53,27,36,50,75,8,35,2257,2258,2258,2259,2255,2254,2258,2257,32,1377,5111,5420,3252,0,1084,3451,18318,,
76,25,53,25,50,69,15,33,2258,2256,2260,2256,2256,2256,2254,2258,20,1377,5111,5420,3252,0,1084,3451,18318,,
27,38,38,16,83,36,46,36,2257,2258,2259,2257,2256,2256,2257,2257,29,1377,5111,5420,3252,0,1084,3451,18318,,
58,36,27,33,90,25,53,8,2259,2255,2257,2264,2255,2258,2259,2258,33,1377,5111,5420,3252,0,1084,3451,18318,,
33,36,50,38,53,91,10,18,2258,2258,2259,2258,2258,2258,2258,2259,10,1377,5111,5420,3252,0,1084,3451,18318,,
38,58,8,38,75,38,30,64,2258,2257,2256,2255,2255,2255,2255,2252,33,1377,5111,5575,3252,0,1084,3451,18473,,
40,41,21,27,90,16,66,45,2258,2257,2258,2258,2257,2258,2258,2257,26,1377,5265,5575,3251,0,1084,3451,18626,,
54,27,0,36,84,25,50,36,2257,2256,2257,2258,2257,2257,2259,2258,32,1377,5111,5575,3251,0,1239,3451,18627,,
45,50,38,25,46,75,38,42,2256,2259,2255,2258,2258,2261,2255,2257,9,1377,5111,5420,3252,0,1239,3451,18473,,
38,35,25,41,27,83,57,38,2255,2257,2257,2250,2257,2257,2256,2253,33,1377,5111,5420,3252,0,1084,3451,18318,,
50,40,71,33,50,45,18,9,2252,2258,2257,2258,2258,2257,2258,2257,32,1377,5111,5420,3252,0,1083,3451,18317,,
54,45,58,50,20,15,72,30,2258,2257,2256,2253,2254,2263,2258,2257,30,1377,5111,5573,3252,0,1084,3451,18471,,
53,18,46,81,27,9,72,25,2256,2257,2254,2258,2258,2257,2258,2255,20,1377,4956,5573,3252,0,1083,3451,18315,,
50,35,83,25,38,25,76,18,2257,2257,2258,2260,2253,2257,2257,2255,13,1377,4954,5573,3252,0,1083,3451,18313,,
54,27,72,36,46,38,50,18,2258,2259,2254,2258,2256,2262,2258,2259,33,1377,4954,5573,3251,0,1083,3451,18312,,
30,18,38,90,16,33,61,41,2258,2257,2257,2255,2255,2254,2259,2257,19,1377,4954,5573,3251,0,1083,3451,18312,,
23,16,38,85,45,58,45,41,2258,2255,2256,2257,2258,2262,2249,2253,33,1377,5108,5573,3251,0,1083,3451,18466,,
53,41,10,75,15,45,53,58,2254,2258,2259,2257,2258,2258,2255,2255,33,1377,5108,5573,3251,0,1083,3451,18466,,
41,41,75,18,18,46,45,57,2256,2258,2257,2257,2257,2258,2258,2259,29,1377,5108,5728,3252,0,1084,3451,18623,,
54,30,69,75,16,15,75,16,2257,2257,2256,2260,2258,2257,2256,2260,33,1377,4956,5575,3252,0,1084,3451,18318,,
69,41,16,41,25,16,20,75,2257,2257,2256,2258,2261,2254,2254,2254,32,1377,4956,5575,3252,0,1084,3451,18318,,
41,66,25,16,83,30,50,64,2257,2256,2256,2257,2251,2255,2255,2259,33,1377,4956,5575,3252,0,1084,3451,18318,,
