CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
81,85,57,75,0,0,0,0,1791,1788,1787,1789,0,0,0,0,45,905,1244,2022,1867,0,622,2929,8684,,
78,78,75,78,0,0,0,0,1794,1793,1791,1791,0,0,0,0,24,905,1399,2177,1866,0,622,2969,9033,,
90,78,81,72,0,0,0,0,1793,1789,1792,1789,0,0,0,0,46,905,1555,2332,2020,0,777,2969,9653,,"9675,29019211325"
61,58,75,83,0,0,0,0,1789,1793,1795,1792,0,0,0,0,13,905,1710,2487,2020,0,777,3009,10003,,
78,61,92,92,0,0,0,0,1787,1791,1790,1791,0,0,0,0,22,905,1710,2642,2020,0,777,3009,10158,,
61,50,92,92,0,0,0,0,1790,1790,1790,1791,0,0,0,0,45,905,1865,2642,2020,0,777,3009,10313,,
63,91,64,75,0,0,0,0,1788,1795,1791,1791,0,0,0,0,3,905,1865,2642,2020,0,777,3009,10313,,
76,76,66,91,0,0,0,0,1790,1791,1790,1792,0,0,0,0,25,905,2020,2798,2020,0,932,3049,10819,,
61,76,75,83,0,0,0,0,1788,1792,1789,1791,0,0,0,0,43,905,1865,2798,2020,0,932,3049,10664,,
84,64,85,68,0,0,0,0,1790,1791,1791,1790,0,0,0,0,46,905,1865,2798,2020,0,932,3049,10664,,
91,66,84,50,0,0,0,0,1791,1790,1791,1791,0,0,0,0,44,905,2020,2798,2020,0,932,3049,10819,,
92,76,71,66,0,0,0,0,1793,1790,1791,1788,0,0,0,0,34,905,2020,2798,2020,0,932,3049,10819,,
76,61,92,64,0,0,0,0,1793,1790,1788,1791,0,0,0,0,45,905,2020,2798,2020,0,932,3049,10819,,
