CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
50,42,40,41,46,35,36,50,2258,2254,2256,2257,2257,2257,2258,2257,4495,5735,3255,0,1085,3645,18215
48,45,50,48,45,39,39,39,2258,2256,2257,2256,2256,2257,2257,2253,4340,5890,3253,0,1085,3651,18219
42,41,47,34,38,49,37,38,2257,2257,2257,2256,2254,2252,2264,2255,4495,5735,3255,0,1085,3651,18221
42,42,48,46,47,39,36,50,2257,2258,2258,2258,2257,2258,2253,2257,4495,5735,3410,0,1085,3651,18376
33,54,41,40,31,40,53,46,2257,2257,2258,2258,2258,2256,2257,2257,4495,5735,3410,0,1085,3651,18376
40,48,46,42,40,43,46,35,2259,2257,2258,2256,2256,2258,2256,2254,4495,5735,3410,0,1085,3651,18376
52,56,50,50,45,49,39,35,2257,2259,2259,2258,2258,2257,2259,2258,4648,6197,3408,0,1084,3651,18988
50,67,47,48,52,52,40,41,2259,2258,2255,2257,2260,2257,2257,2261,4958,6197,3408,0,1239,3685,19487
43,40,36,32,43,50,46,50,2258,2258,2258,2257,2256,2257,2258,2259,4650,5735,3410,0,1085,3651,18531
36,33,49,48,43,42,49,42,2261,2250,2258,2256,2254,2258,2258,2256,4495,5735,3410,0,1085,3691,18416
44,44,36,47,43,35,50,38,2257,2262,2258,2257,2257,2258,2257,2257,4495,5735,3255,0,1085,3651,18221
47,57,57,50,33,40,41,42,2256,2258,2259,2257,2258,2255,2258,2256,4493,6042,3408,0,1084,3645,18672
47,49,39,53,46,35,49,43,2258,2258,2256,2257,2258,2255,2257,2258,4340,6200,3253,0,1085,3691,18569
45,49,47,43,35,41,54,39,2258,2254,2251,2258,2255,2256,2259,2258,4340,6045,3410,0,1085,3691,18571
50,35,50,43,27,28,58,40,2257,2255,2256,2258,2256,2257,2257,2255,4495,5735,3255,0,1085,3651,18221
46,49,35,59,41,34,48,53,2257,2256,2259,2257,2258,2255,2257,2259,4495,5890,3410,0,1085,3651,18531
38,46,45,41,42,35,55,39,2255,2265,2257,2257,2254,2256,2257,2257,4650,5732,3408,0,1085,3651,18526
48,38,49,39,40,42,45,50,2257,2257,2259,2257,2258,2256,2256,2257,4495,5735,3255,0,1085,3651,18221
42,31,40,37,45,42,48,42,2258,2257,2258,2259,2256,2256,2257,2256,4495,5580,3410,0,1085,3651,18221
36,38,59,45,55,48,42,38,2259,2258,2257,2258,2256,2258,2258,2256,4030,6355,3255,0,930,3611,18181
25,38,62,37,67,29,41,45,2257,2257,2257,2258,2254,2254,2257,2258,1397,6055,2794,0,621,3451,14318
52,34,39,57,72,23,20,54,2257,2256,2257,2256,2261,2258,2257,2258,1087,6055,2794,0,621,3410,13967
28,77,19,17,48,75,54,35,2257,2257,2256,2255,2257,2262,2249,2255,1086,5744,2950,0,776,3531,14087
