CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
85,78,88,84,0,0,0,0,1804,1803,1803,1803,0,0,0,0,1865,2798,2176,0,932,3290,11061
78,74,79,82,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2953,2176,0,932,3290,11371
87,73,85,84,0,0,0,0,1804,1803,1804,1801,0,0,0,0,1865,2953,2176,0,932,3290,11216
98,97,95,95,0,0,0,0,1803,1804,1804,1803,0,0,0,0,1710,2953,2020,0,777,3250,10710
92,95,91,88,0,0,0,0,1804,1801,1803,1804,0,0,0,0,1710,2953,2176,0,932,3250,11021
90,93,91,98,0,0,0,0,1804,1804,1804,1803,0,0,0,0,1710,2953,2020,0,932,3250,10865
96,96,93,98,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1555,2953,2020,0,777,3250,10555
70,81,74,83,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1865,2798,2175,0,932,3290,11060
86,73,78,80,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1865,2953,2175,0,932,3290,11215
83,75,83,80,0,0,0,0,1802,1804,1804,1802,0,0,0,0,1865,2952,2175,0,932,3290,11214
86,74,81,78,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
76,80,82,80,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
76,81,85,78,0,0,0,0,1804,1804,1800,1804,0,0,0,0,1864,2952,2175,0,932,3290,11213
80,75,75,83,0,0,0,0,1805,1804,1804,1805,0,0,0,0,1865,2798,2175,0,932,3290,11060
82,82,81,86,0,0,0,0,1803,1803,1804,1803,0,0,0,0,1865,2797,2175,0,932,3290,11059
78,79,85,76,0,0,0,0,1805,1803,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
83,84,73,79,0,0,0,0,1804,1805,1804,1805,0,0,0,0,1865,2798,2176,0,932,3290,11061
76,70,80,85,0,0,0,0,1805,1804,1801,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
79,82,77,83,0,0,0,0,1803,1803,1804,1804,0,0,0,0,2020,2797,2175,0,932,3290,11214
92,93,90,89,0,0,0,0,1804,1804,1802,1804,0,0,0,0,1865,2953,2176,0,932,3290,11216
91,100,94,94,0,0,0,0,1804,1805,1804,1804,0,0,0,0,1555,2953,2020,0,777,3250,10555
99,98,97,97,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1710,2798,2176,0,932,3290,10906
94,95,95,93,0,0,0,0,1804,1805,1804,1803,0,0,0,0,1710,2798,2176,0,932,3290,10906
94,90,94,88,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1710,2953,2176,0,932,3290,11061
89,94,89,93,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1710,2798,2176,0,932,3290,10906
94,91,94,91,0,0,0,0,1801,1804,1804,1805,0,0,0,0,1865,2953,2176,0,932,3290,11216
89,92,95,88,0,0,0,0,1804,1804,1804,1803,0,0,0,0,1865,2952,2175,0,932,3290,11214
92,90,98,96,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1865,2953,2176,0,932,3290,11216
93,93,98,93,0,0,0,0,1803,1803,1804,1804,0,0,0,0,1710,2953,2020,0,777,3250,10710
88,86,92,88,0,0,0,0,1803,1803,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
79,81,83,83,0,0,0,0,1804,1804,1803,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
93,86,88,83,0,0,0,0,1806,1804,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
83,83,85,85,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
87,85,83,89,0,0,0,0,1803,1804,1804,1803,0,0,0,0,2020,2797,2175,0,932,3290,11214
81,81,81,83,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
81,86,84,82,0,0,0,0,1803,1804,1804,1803,0,0,0,0,1865,2798,2176,0,932,3290,11061
95,92,84,88,0,0,0,0,1805,1804,1804,1806,0,0,0,0,1865,2953,2176,0,932,3290,11216
92,88,91,93,0,0,0,0,1802,1803,1804,1804,0,0,0,0,1710,2953,2176,0,932,3290,11061
85,84,84,82,0,0,0,0,1804,1800,1802,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
94,94,92,91,0,0,0,0,1804,1802,1804,1804,0,0,0,0,1710,2953,2176,0,932,3290,11061
83,78,76,79,0,0,0,0,1805,1804,1805,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
79,79,81,82,0,0,0,0,1804,1804,1804,1802,0,0,0,0,1865,2798,2176,0,932,3290,11061
77,78,74,81,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2642,2176,0,932,3290,11060
85,83,77,76,0,0,0,0,1801,1804,1804,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
84,77,81,83,0,0,0,0,1803,1803,1804,1803,0,0,0,0,2020,2798,2176,0,932,3290,11216
81,76,80,76,0,0,0,0,1803,1804,1804,1804,0,0,0,0,2020,2642,2176,0,932,3290,11060
84,84,80,80,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2798,2176,0,932,3290,11216
80,82,81,76,0,0,0,0,1803,1802,1804,1804,0,0,0,0,1865,2798,2176,0,932,3290,11061
85,88,84,77,0,0,0,0,1804,1804,1804,1804,0,0,0,0,2020,2798,2175,0,932,3290,11215
