CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,CV_mW
16,100,33,25,15,53,15,69,2264,2263,2266,2265,2263,2265,2264,2264,33,1377,4334,5108,3251,928,3680,17301,0.0
66,53,38,9,50,25,8,54,2265,2264,2265,2265,2264,2264,2264,2262,4,1377,4180,5108,3251,928,3680,17147,0.0
100,0,33,8,8,41,7,72,2264,2264,2263,2265,2264,2265,2262,2264,2,1377,4334,5108,3251,928,3640,17261,0.0
100,7,41,16,8,50,0,71,2264,2263,2264,2265,2266,2264,2261,2264,34,1377,4336,4954,3251,928,3640,17109,0.0
92,0,33,9,15,46,8,66,2265,2265,2265,2263,2264,2265,2264,2264,3,1377,4181,4956,3252,929,3640,16958,0.0
8,8,33,15,69,53,15,100,2265,2264,2266,2265,2264,2264,2265,2263,1,1377,4181,4956,3251,928,3640,16956,0.0
0,0,46,16,72,0,40,100,2264,2264,2265,2264,2265,2264,2269,2264,33,1377,4181,4956,3251,928,3640,16956,0.0
38,8,0,0,78,0,53,100,2264,2265,2264,2265,2265,2265,2265,2263,32,1377,4181,4956,3251,928,3640,16956,
18,38,9,16,72,28,30,100,2264,2265,2258,2264,2265,2261,2263,2264,34,1377,4181,4956,3252,928,3680,16997,0.0
46,53,38,41,41,33,0,100,2264,2263,2264,2264,2265,2265,2265,2265,39,1377,4180,5108,3251,928,3680,17147,0.0
28,57,58,23,25,9,16,100,2264,2264,2265,2265,2264,2264,2265,2263,25,1377,4180,5108,3251,928,3680,17147,0.0
40,8,0,76,36,7,7,100,2264,2265,2264,2263,2265,2265,2265,2265,29,1377,4334,5108,3251,928,3680,17301,0.0
9,53,16,75,33,8,0,100,2266,2262,2265,2264,2263,2265,2264,2265,34,1377,4334,5108,3251,928,3680,17301,0.0
23,50,0,72,41,0,0,100,2260,2263,2260,2265,2264,2265,2264,2264,32,1377,4180,5108,3251,928,3680,17147,0.0
50,21,8,69,38,0,0,100,2263,2268,2264,2264,2263,2261,2263,2265,34,1377,4334,4954,3251,928,3680,17147,
9,45,7,71,41,0,7,100,2264,2263,2260,2264,2263,2264,2264,2265,32,1377,4180,4954,3251,928,3680,16993,0.0
36,18,10,66,30,21,0,100,2264,2263,2260,2261,2264,2265,2264,2265,6,1377,4180,4954,3251,928,3680,16993,0.0
50,25,66,16,41,35,23,100,2265,2264,2260,2264,2261,2265,2264,2263,41,1377,4334,5108,3251,928,3680,17301,0.0
0,44,21,41,57,16,50,100,2264,2264,2264,2264,2263,2258,2264,2262,21,1377,4334,5263,3251,928,3680,17456,0.0
16,57,27,23,71,0,0,100,2264,2264,2258,2265,2264,2265,2266,2264,0,1377,4334,5263,3251,928,3680,17456,
0,50,33,0,63,8,0,100,2266,2263,2270,2265,2265,2264,2265,2265,4,1377,4334,5108,3251,928,3680,17301,0.0
16,41,21,33,58,7,15,100,2264,2265,2261,2264,2265,2265,2260,2264,0,1377,4180,4954,3252,928,3640,16954,0.0
8,45,36,16,61,8,14,100,2264,2265,2256,2262,2264,2263,2263,2263,34,1377,4181,4954,3252,928,3640,16955,0.0
15,46,15,38,61,7,0,100,2264,2264,2262,2267,2258,2264,2265,2265,34,1377,4026,4801,3252,928,3680,16687,0.0
9,50,18,27,63,0,7,100,2264,2260,2264,2264,2260,2264,2260,2265,1,1377,4181,4801,3252,929,3640,16803,0.0
30,45,15,33,66,9,15,100,2264,2264,2262,2268,2264,2263,2264,2264,34,1377,4181,5108,3252,928,3640,17109,0.0
8,53,16,38,61,7,0,100,2264,2263,2269,2263,2265,2264,2265,2264,29,1377,4181,5108,3251,928,3680,17148,0.0
9,50,16,33,54,0,15,100,2263,2264,2265,2265,2265,2264,2265,2263,34,1377,4181,4954,3251,928,3680,16994,0.0
15,40,16,38,66,0,8,92,2264,2265,2268,2265,2265,2266,2264,2264,2,1377,4336,4954,3252,928,3680,17150,0.0
15,53,25,36,61,0,16,100,2265,2264,2266,2268,2264,2260,2264,2265,34,1377,4334,4954,3252,928,3680,17148,0.0
10,41,16,38,58,0,7,100,2265,2264,2264,2265,2264,2265,2265,2265,33,1377,4181,4956,3252,928,3680,16997,0.0
