Dispositivo,Precision,frames_procesados,tejecucion,FPS,LFPS,potencia_media_consumida,energia_consumida,Frames/W,Average_GPU,Average_CPU,mAP50-95
CPU,FP32,2400,2569.87,0.93,0.00,11694,30042.76,0.08,0.00,33.9,0.7757
GPU,FP32(sin exportar a TensorRT),2400,183.29,13.09,0.00,15.731,2882.77,0.83,23.74,23.74,0.7757
GPU,FP32(exportado TensorRT),2400,84.44,28.42,0.00,19.371,1635.31,1.47,29.08,37.81,0.7836
GPU,FP16,2400,83.55,28.73,0.00,16.010,1337.34,1.79,16.28,37.79,0.7831
GPU,INT8,2400,84.4,28.44,0.00,14.469,1222.37,1.96,12.86,37.75,0.7792
DLA0,FP16,2400,86.77,27.66,0.00,15.597,1439.73,1.67,6.2,35.93,0.7827
DLA0,INT8,2400,89.11,26.93,0.00,14.346,1278.04,1.88,10.71,37.46,0.7727
