Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
86,0,"0,000000",0,"0,004274",0,"0,000000",0,0,0,0,0
87,0,"0,000000",0,"0,003270",0,"0,000000",0,0,0,0,0
88,0,"0,000000",0,"0,004327",0,"0,000000",0,0,0,0,0
89,0,"0,000000",0,"0,005534",0,"0,000000",0,0,0,0,0
90,0,"0,000000",0,"0,004377",0,"0,000000",0,0,0,0,0
91,0,"0,000000",0,"0,003645",0,"0,000000",0,0,0,0,0
92,0,"0,000000",0,"0,005231",0,"0,000000",0,0,0,0,0
93,0,"0,000000",0,"0,005662",0,"0,000000",0,0,0,0,0
94,0,"0,000000",0,"0,004204",0,"0,000000",0,0,0,0,0
95,0,"0,000000",0,"0,003590",0,"0,000000",0,0,0,0,0
96,0,"0,000000",0,"0,006380",0,"0,000000",0,0,0,0,0
97,0,"0,000000",0,"0,005359",0,"0,000000",0,0,0,0,0
98,0,"0,000000",0,"0,005308",0,"0,000000",0,0,0,0,0
99,0,"0,000000",0,"0,004220",0,"0,000000",0,0,0,0,0
100,0,"0,000000",0,"0,004932",0,"0,000000",0,0,0,0,0
101,0,"0,000000",0,"0,004467",0,"0,000000",0,0,0,0,0
102,0,"0,000000",0,"0,004726",0,"0,000000",0,0,0,0,0
103,0,"0,000000",0,"0,003562",0,"0,000000",0,0,0,0,0
104,0,"0,000000",0,"0,006045",0,"0,000000",0,0,0,0,0
105,0,"0,000000",0,"0,005826",0,"0,000000",0,0,0,0,0
106,0,"0,000000",0,"0,004366",0,"0,000000",0,0,0,0,0
107,0,"0,000000",0,"0,005543",0,"0,000000",0,0,0,0,0
108,0,"0,000000",0,"0,006679",0,"0,000000",0,0,0,0,0
109,0,"0,000000",0,"0,005777",0,"0,000000",0,0,0,0,0
110,0,"0,000000",0,"0,004746",0,"0,000000",0,0,0,0,0
111,0,"0,000000",0,"0,007053",0,"0,000000",0,0,0,0,0
112,0,"0,000000",0,"0,004766",0,"0,000000",0,0,0,0,0
113,0,"0,000000",0,"0,004598",0,"0,000000",0,0,0,0,0
114,0,"0,000000",0,"0,004382",0,"0,000000",0,0,0,0,0
115,0,"0,000000",0,"0,004616",0,"0,000000",0,0,0,0,0
116,0,"0,000000",0,"0,004507",0,"0,000000",0,0,0,0,0
117,0,"0,000000",0,"0,003861",0,"0,000000",0,0,0,0,0
118,0,"0,000000",0,"0,004589",0,"0,000000",0,0,0,0,0
119,0,"0,000000",0,"0,003913",0,"0,000000",0,0,0,0,0
120,0,"0,000000",0,"0,006338",0,"0,000000",0,0,0,0,0
121,0,"0,000000",0,"0,005211",0,"0,000000",0,0,0,0,0
122,0,"0,000000",0,"0,004697",0,"0,000000",0,0,0,0,0
123,0,"0,000000",0,"0,003972",0,"0,000000",0,0,0,0,0
124,0,"0,000000",0,"0,004607",0,"0,000000",0,0,0,0,0
125,0,"0,000000",0,"0,004452",0,"0,000000",0,0,0,0,0
126,0,"0,000000",0,"0,005296",0,"0,000000",0,0,0,0,0
127,0,"0,000000",0,"0,003758",0,"0,000000",0,0,0,0,0
128,0,"0,000000",0,"0,004742",0,"0,000000",0,0,0,0,0
129,0,"0,000000",0,"0,005316",0,"0,000000",0,0,0,0,0
130,0,"0,000000",0,"0,005251",0,"0,000000",0,0,0,0,0
131,0,"0,000000",0,"0,005537",0,"0,000000",0,0,0,0,0
132,0,"0,000000",0,"0,006491",0,"0,000000",0,0,0,0,0
133,0,"0,000000",0,"0,006428",0,"0,000000",0,0,0,0,0
134,0,"0,000000",0,"0,005767",0,"0,000000",0,0,0,0,0
135,0,"0,000000",0,"0,003919",0,"0,000000",0,0,0,0,0
136,0,"0,000000",0,"0,004620",0,"0,000000",0,0,0,0,0
137,0,"0,000000",0,"0,004676",0,"0,000000",0,0,0,0,0
138,0,"0,000000",0,"0,004780",0,"0,000000",0,0,0,0,0
139,0,"0,000000",0,"0,003955",0,"0,000000",0,0,0,0,0
140,0,"0,000000",0,"0,004629",0,"0,000000",0,0,0,0,0
141,0,"0,000000",0,"0,003563",0,"0,000000",0,0,0,0,0
142,0,"0,000000",0,"0,005527",0,"0,000000",0,0,0,0,0
143,0,"0,000000",0,"0,005482",0,"0,000000",0,0,0,0,0
