Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,
59,"0,005386","0,030777","0,001589","0,005046",0,"42,798732",0,14,"2,999306","24,446964","1,913786",
60,"0,005275","0,030177","0,001657","0,007324",0,"44,433637",0,14,"3,000021","23,802042","1,871824",
61,"0,005307","0,029987","0,00195","0,00593",0,"43,173498",0,14,"2,524853","22,981882","2,661467",
62,"0,005328","0,029969","0,001671","0,00525",0,"42,21849",0,14,"3,061533","22,9671","2,451897",
63,"0,005332","0,029386","0,001775","0,006807",0,"43,299676",0,14,"2,926111","23,0124","1,924038",
64,"0,005403","0,030114","0,001857","0,005936",0,"43,310173",0,14,"3,14045","23,549557","1,852274",
65,"0,00533","0,030327","0,002069","0,004985",0,"42,710344",0,13,"3,239393","23,501873","1,891136",
66,"0,00538","0,03046","0,002432","0,005646",0,"43,918225",0,13,"3,751755","22,950888","2,269745",
67,"0,005469","0,029971","0,00278","0,004968",0,"43,188409",0,15,"3,681183","22,89319","1,831055",
68,"0,005334","0,030347","0,002754","0,004943",0,"43,377631",0,13,"2,866745","23,017168","1,817942",
69,"0,00528","0,029756","0,002255","0,004967",0,"42,259322",0,14,"3,172636","23,205996","1,806021",
70,"0,005308","0,031442","0,002522","0,005857",0,"45,128154",0,15,"2,980947","24,50943","1,754284",
71,"0,005259","0,03047","0,001672","0,007216",0,"44,616171",0,13,"3,326893","23,224354","1,898766",
72,"0,005282","0,030277","0,001636","0,007192",0,"44,387521",0,17,"3,712177","23,173332","1,823664",
73,"0,005351","0,029771","0,001684","0,00578",0,"42,585411",0,17,"3,154516","23,295403","1,872301",
74,"0,005298","0,029999","0,001733","0,005135",0,"42,165527",0,17,"3,013134","23,566723","1,867056",
75,"0,005318","0,02922","0,001959","0,005171",0,"41,667301",0,16,"2,188683","23,644447","1,925945",
76,"0,005342","0,030021","0,003413","0,005268",0,"44,043671",0,30,"3,181696","23,488283","1,875639",
77,"0,005305","0,029926","0,003943","0,006701",0,"45,875604",0,33,"2,207756","24,292946","1,932383",
78,"0,005263","0,029363","0,002618","0,005365",0,"42,609061",0,32,"2,660751","23,400068","1,870394",
79,"0,005252","0,030073","0,00226","0,005732",0,"43,316701",0,33,"2,701998","23,773909","1,880169",
80,"0,005333","0,032887","0,001866","0,006326",0,"46,411206",0,32,"5,145073","23,920536","1,845121",
81,"0,005262","0,030733","0,001683","0,005051",0,"42,729129",0,31,"2,985477","24,160385","1,917362",
82,"0,006206","0,030371","0,003955","0,005132",0,"45,663756",0,30,"2,88868","23,930788","1,806736",
83,"0,005326","0,029724","0,00163","0,006461",0,"43,141079",0,32,"2,05946","23,877144","1,97506",
84,"0,005327","0,030028","0,004857","0,007142",0,"47,354756",0,32,"2,938986","23,603201","1,824379",
85,"0,005409","0,029816","0,001662","0,007589",0,"44,476261",0,31,"2,496481","23,751259","1,868248",
86,"0,005253","0,03089","0,001624","0,005725",0,"43,49133",0,31,"3,357172","24,06168","1,953125",
87,"0,005361","0,031311","0,001091","0,005914",0,"43,676904",0,28,"4,221439","23,786068","1,760483",
88,"0,005588","0,029542","0,003051","0,005122",0,"43,302525",0,24,"2,115488","24,028063","1,778603",
89,"0,005332","0,031221","0,002376","0,005321",0,"44,250301",0,25,"2,337933","24,912834","1,796484",
90,"0,005379","0,030829","0,001644","0,005038",0,"42,89051",0,23,"2,747297","24,515629","1,864433",
91,"0,00584","0,03102","0,001932","0,005289",0,"44,080631",0,25,"2,978802","24,375677","2,017736",
92,"0,005356","0,032785","0,001693","0,005295",0,"45,129628",0,24,"3,598213","25,145292","1,922607",
93,"0,005451","0,030517","0,001358","0,007074",0,"44,399778",0,24,"2,871513","23,668289","2,240181",
94,"0,005316","0,031545","0,001711","0,006778",0,"45,35069",0,18,"4,387856","23,337364","2,040148",
95,"0,00597","0,033124","0,001984","0,005029",0,"46,108314",0,18,"3,355503","24,403095","2,39563",
96,"0,005481","0,033502","0,001852","0,007249",0,"48,083741",0,19,"4,563332","24,778605","2,48003",
97,"0,005321","0,03209","0,003373","0,006688",0,"47,472264",0,18,"3,281832","24,288177","2,847433",
98,"0,006814","0,030208","0,00241","0,006345",0,"45,776975",0,21,"2,499819","24,07527","1,861095",
99,"0,005355","0,033095","0,001886","0,007395",0,"47,731442",0,23,"3,34549","25,449038","1,898766",
100,"0,005402","0,030928","0,003354","0,006025",0,"45,709581",0,24,"3,824472","23,332834","1,891136",
101,"0,005292","0,033501","0,001621","0,005439",0,"45,853777",0,20,"4,800558","24,618864","2,166748",
102,"0,005309","0,033663","0,001811","0,005168",0,"45,950422",0,18,"4,872084","24,454117","2,246618",
103,"0,005645","0,032097","0,002755","0,005363",0,"45,859346",0,18,"2,928019","25,304794","2,078533",
104,"0,00537","0,033408","0,002109","0,006986",0,"47,872246",0,20,"4,22287","25,176525","1,897573",
105,"0,005417","0,032525","0,0021","0,006352",0,"46,393571",0,0,"3,986835","24,740934","2,215147",
106,"0,006859","0,032134","0,002375","0,0052",0,"46,568137",0,0,"3,789186","23,979664","2,639294",
107,"0,006212","0,033802","0,002694","0,007071",0,"49,778262",0,0,"3,882647","24,162531","4,030228",
108,"0,005482","0,032426","0,001819","0,00713",0,"46,856372",0,0,"2,997398","24,44768","2,788305",
109,"0,005319","0,03136","0,001929","0,008859",0,"47,466215",0,0,"3,315449","23,739576","2,44689",
110,"0,006405","0,032758","0,002746","0,007013",0,"48,92201",0,0,"3,396749","25,630236","1,919746",
111,"0,005522","0,033538","0,001872","0,005911",0,"46,841972",0,0,"3,835678","25,046349","2,028227",
112,"0,005298","0,033436","0,002436","0,005476",0,"46,646092",0,0,"3,143787","25,582075","2,814054",
113,"0,005659","0,031619","0,001852","0,006016",0,"45,146106",0,0,"3,181219","24,806023","1,81675",
114,"0,006901","0,032675","0,001816","0,005165",0,"46,556586",0,0,"4,671335","24,518013","1,861095",
115,"0,005431","0,032709","0,002643","0,006195",0,"46,978744",0,0,"4,366398","24,741411","1,984596",
116,"0,005344","0,033548","0,001998","0,005312",0,"46,20195",0,0,"3,929377","26,189327","1,838923",
117,"0,005469","0,032789","0,002921","0,005812",0,"46,990744",0,0,"3,839493","25,384188","1,893759",
118,"0,005387","0,032734","0,002426","0,00555",0,"46,096378",0,0,"3,477573","24,705172","2,080441",
119,"0,005694","0,031472","0,002939","0,006116",0,"46,221149",0,0,"2,900362","23,668289","2,148151",
120,"0,005544","0,029528","0,002318","0,010778",0,"48,168447",0,0,"2,836943","22,96114","1,930952",
121,"0,005319","0,0326","0,002873","0,007794",0,"48,584911",0,0,"3,475666","25,510073","1,868248",
122,"0,005324","0,030277","0,001994","0,005386",0,"42,981039",0,0,"2,713919","23,668289","1,807928",
123,"0,005344","0,030648","0,001882","0,006942",0,"44,816655",0,0,"2,976418","24,201632","1,928329",
124,"0,005304","0,032007","0,001994","0,006274",0,"45,578057",0,0,"3,750086","24,69635","1,960278",
125,"0,006718","0,034505","0,001724","0,006877",0,"49,824024",0,0,"4,367352","25,272846","2,660751",
126,"0,005571","0,032158","0,001696","0,007093",0,"46,51844",0,0,"3,207207","24,635315","2,521753",
127,"0,005413","0,031681","0,001706","0,006167",0,"44,967282",0,0,"2,920866","24,115086","2,959251",
128,"0,007402","0,030583","0,002497","0,007365",0,"47,84719",0,0,"2,80714","24,01042","2,081633",
129,"0,005347","0,031246","0,003325","0,006711",0,"46,628906",0,0,"3,105164","24,052143","1,967907",
130,"0,005447","0,031758","0,001676","0,006047",0,"44,928818",0,0,"3,1147","23,778439","1,934767",
131,"0,005429","0,031012","0,00184","0,005841",0,"44,121942",0,0,"3,010511","24,326801","1,977921",
132,"0,005295","0,031716","0,001638","0,007268",0,"45,917362",0,0,"2,918482","24,934053","2,402782",
133,"0,006304","0,031012","0,001578","0,007628",0,"46,522598",0,0,"2,730131","24,883986","1,833439",
134,"0,005303","0,030802","0,001843","0,006063",0,"44,010257",0,0,"2,757311","24,549007","1,96743",
135,"0,005329","0,031238","0,001723","0,005545",0,"43,835532",0,0,"3,261089","24,456024","1,97196",
136,"0,005414","0,031521","0,001667","0,005242",0,"43,843853",0,0,"3,089905","24,961472","2,005339",
137,"0,005324","0,031773","0,001868","0,006212",0,"45,176921",0,0,"3,975153","23,850203","2,016544",
138,"0,005323","0,032134","0,001838","0,005473",0,"44,767627",0,0,"3,282547","24,539471","1,977921",
139,"0,005322","0,031595","0,001944","0,005599",0,"44,460288",0,0,"3,429651","24,590254","1,93119",
140,"0,007009","0,031706","0,001755","0,006781",0,"47,250752",0,0,"3,462076","24,712563","1,944542",
141,"0,005346","0,031313","0,001558","0,005058",0,"43,275225",0,0,"3,192186","24,599075","1,981497",
142,"0,005593","0,029669","0,002281","0,006395",0,"43,937839",0,0,"2,780914","23,529291","1,798153",
143,"0,005321","0,030096","0,001585","0,007106",0,"44,107318",0,0,"2,397537","23,812532","1,846552",
