Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
847,"0,006732","0,062135","97,521097","0,056559",79,"222,946735","1,234444"
848,"0,007891","0,05141","78,139066","0,057324",79,"194,763173","0,989102"
849,"0,007783","0,111832","75,517687","0,066033",79,"261,164754","0,95592"
850,"0,010672","0,077256","89,609019","0,106064",78,"283,601815","1,148834"
851,"0,008352","0,075443","98,313936","0,091245",77,"273,353875","1,276804"
852,"0,013418","0,069997","92,411431","0,037504",77,"213,331113","1,200148"
853,"0,007084","0,071249","76,584652","0,053306",77,"208,224009","0,994606"
854,"0,008714","0,127475","76,871386","0,082058",76,"295,118331","1,011466"
855,"0,005517","0,079046","87,511024","0,063163",76,"235,236663","1,151461"
856,"0,005737","0,111851","90,15647","0,101313",78,"309,056663","1,155852"
857,"0,005388","0,041757","107,012101","0,071997",78,"226,154253","1,37195"
858,"0,005475","0,125362","85,565839","0,066992",80,"283,395598","1,069573"
859,"0,005455","0,072353","89,348557","0,038769",80,"205,926165","1,116857"
860,"0,005374","0,081478","86,072072","0,051891",79,"224,815689","1,08952"
861,"0,005729","0,062387","86,59949","0,089958",79,"244,672847","1,096196"
862,"0,006512","0,115863","101,152797","0,047459",80,"270,98633","1,26441"
863,"0,005882","0,088383","73,42862","0,063248",80,"230,941789","0,917858"
864,"0,005714","0,043675","79,480605","0,0428",80,"171,670232","0,993508"
865,"0,00666","0,060659","71,406566","0,054975",79,"193,700395","0,903881"
866,"0,008103","0,108559","74,416638","0,060389",79,"251,467524","0,941983"
867,"0,008873","0,04625","63,571292","0,049894",79,"168,588797","0,8047"
868,"0,010496","0,099789","63,713027","0,045692",80,"219,690246","0,796413"
869,"0,006535","0,072106","60,903094","0,044833",80,"184,376311","0,761289"
870,"0,014268","0,073105","55,607531","0,037687",81,"180,667131","0,686513"
871,"0,010278","0,083043","59,519504","0,052914",81,"205,754666","0,734809"
872,"0,010433","0,070677","60,65921","0,050215",80,"191,983958","0,75824"
873,"0,00905","0,116067","60,66001","0,073756",80,"259,532856","0,75825"
874,"0,009927","0,056146","81,491298","0,069388",80,"216,952189","1,018641"
875,"0,006687","0,067384","76,847448","0,041382",80,"192,300293","0,960593"
876,"0,00582","0,060235","62,392641","0,057598",78,"186,045291","0,799906"
877,"0,009071","0,065469","76,757714","0,037594",80,"188,891225","0,959471"
878,"0,007386","0,050892","65,0954","0,030588",80,"153,961787","0,813692"
879,"0,013112","0,055241","64,955425","0,0507",80,"184,007842","0,811943"
880,"0,011013","0,044305","68,384718","0,04673",80,"170,432663","0,854809"
881,"0,009862","0,037223","62,434594","0,069517",79,"179,035975","0,790311"
882,"0,013447","0,046989","79,406679","0,053015",79,"192,857119","1,005148"
883,"0,013783","0,042624","64,972834","0,067944",80,"189,323726","0,81216"
884,"0,00826","0,045393","77,74698","0,046669",80,"178,068887","0,971837"
885,"0,006806","0,097665","78,423558","0,046877",80,"229,771808","0,980294"
886,"0,012734","0,060954","65,835406","0,082465",80,"221,989303","0,822943"
