Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
89,"0,005314","0,01402","0,003215","0,005812",0,"28,361142",0,0
90,"0,005264","0,014693","0,001654","0,005597",0,"27,207905",0,0
91,"0,005352","0,013324","0,001634","0,00618",0,"26,489311",0,0
92,"0,005414","0,013752","0,00185","0,006846",0,"27,862111",0,0
93,"0,006364","0,014371","0,002874","0,004941",0,"28,550241",0,0
94,"0,005353","0,013959","0,001636","0,005032",0,"25,980039",0,0
95,"0,005326","0,013072","0,001726","0,005004",0,"25,12867",0,0
96,"0,005317","0,012604","0,001636","0,007556",0,"27,112092",0,0
97,"0,005564","0,014317","0,003148","0,007781",0,"30,808554",0,0
98,"0,005293","0,01252","0,001642","0,006884",0,"26,338937",0,0
99,"0,005289","0,014752","0,00178","0,00723",0,"29,051385",0,0
100,"0,005337","0,01336","0,003626","0,005916",0,"28,239345",0,0
101,"0,005339","0,013945","0,002311","0,005636",0,"27,231361",0,0
102,"0,005559","0,013406","0,001285","0,00572",0,"25,97092",0,0
103,"0,005277","0,014829","0,00254","0,005242",0,"27,888641",0,0
104,"0,005325","0,014196","0,001656","0,007354",0,"28,531905",0,0
105,"0,005314","0,014566","0,001535","0,006221",0,"27,635701",0,0
106,"0,006727","0,014186","0,001971","0,005187",0,"28,070954",0,0
107,"0,005549","0,013372","0,001757","0,005833",0,"26,511136",0,0
108,"0,005233","0,012677","0,002016","0,007303",0,"27,229858",0,0
109,"0,005307","0,014791","0,002539","0,007199",0,"29,836349",0,0
110,"0,005644","0,013723","0,002443","0,006025",0,"27,834591",0,0
111,"0,005209","0,013302","0,001654","0,005761",0,"25,925636",0,0
112,"0,005306","0,013432","0,00155","0,005726",0,"26,013992",0,0
113,"0,005287","0,014981","0,001353","0,005963",0,"27,584052",0,0
114,"0,005242","0,013536","0,001574","0,005477",0,"25,829825",0,0
115,"0,005293","0,017325","0,003849","0,006205",0,"32,672737",0,0
116,"0,005261","0,01281","0,001556","0,005633",0,"25,26023",0,0
117,"0,005237","0,013819","0,001252","0,005385",0,"25,693465",0,0
118,"0,005255","0,013403","0,001663","0,005285",0,"25,606517",0,0
119,"0,005233","0,012788","0,001824","0,005499",0,"25,344265",0,0
120,"0,005512","0,013664","0,001579","0,007386",0,"28,141133",0,0
121,"0,006147","0,012541","0,002564","0,0069",0,"28,15259",0,0
122,"0,006752","0,014498","0,002118","0,005902",0,"29,269923",0,0
123,"0,005557","0,013311","0,001506","0,006973",0,"27,347944",0,0
124,"0,005919","0,01439","0,001661","0,005508",0,"27,478092",0,0
125,"0,005329","0,012128","0,002429","0,006126",0,"26,010762",0,0
126,"0,005254","0,01269","0,001746","0,006356",0,"26,046506",0,0
127,"0,005409","0,013478","0,001836","0,005914",0,"26,636934",0,0
128,"0,005301","0,013206","0,001865","0,005685",0,"26,057644",0,0
129,"0,005305","0,01443","0,001482","0,00683",0,"28,047241",0,0
130,"0,00531","0,012232","0,003489","0,006141",0,"27,172703",0,0
131,"0,005454","0,013673","0,003424","0,007032",0,"29,582737",0,0
132,"0,005614","0,012043","0,001579","0,007349",0,"26,585316",0,0
133,"0,006358","0,012668","0,001734","0,008183",0,"28,944435",0,0
134,"0,005836","0,014014","0,001253","0,006513",0,"27,616085",0,0
135,"0,005188","0,014942","0,003456","0,005954",0,"29,539183",0,0
136,"0,005236","0,013353","0,001543","0,005341",0,"25,471985",0,0
137,"0,005557","0,012392","0,001707","0,006456",0,"26,11291",0,0
138,"0,005233","0,013537","0,001936","0,005942",0,"26,648293",0,0
139,"0,005352","0,012843","0,002211","0,005568",0,"25,973606",0,0
140,"0,005314","0,01235","0,001663","0,006335",0,"25,661432",0,0
141,"0,00521","0,014303","0,001619","0,005062",0,"26,193649",0,0
142,"0,005359","0,01263","0,001577","0,00636",0,"25,926278",0,0
143,"0,005174","0,015015","0,001813","0,005928",0,"27,9289",0,0
144,"0,005242","0,012333","0,002392","0,007546",0,"27,513329",0,0
145,"0,006248","0,013881","0,001594","0,006372",0,"28,095563",0,0
146,"0,005187","0,013005","0,001844","0,005386",0,"25,421933",0,0
147,"0,005198","0,012775","0,002819","0,005651",0,"26,442749",0,0
148,"0,005207","0,012946","0,001968","0,005727",0,"25,847201",0,0
149,"0,005192","0,012695","0,002401","0,00638",0,"26,667176",0,0
150,"0,005266","0,014429","0,004939","0,005588",0,"30,222446",0,0
151,"0,005251","0,012068","0,002149","0,005084",0,"24,551107",0,0
152,"0,005305","0,012092","0,00175","0,005052",0,"24,1997",0,0
153,"0,005331","0,01325","0,001805","0,005104",0,"25,489745",0,0
154,"0,005238","0,013036","0,00276","0,005326",0,"26,360024",0,0
155,"0,005304","0,012873","0,002057","0,005031",0,"25,265252",0,0
156,"0,005378","0,012946","0,003012","0,00724",0,"28,575809",0,0
157,"0,005226","0,014177","0,002134","0,006308",0,"27,845664",0,0
158,"0,005259","0,013448","0,001817","0,005346",0,"25,869857",0,0
159,"0,005248","0,01363","0,002854","0,005568",0,"27,299013",0,0
160,"0,005261","0,012459","0,00119","0,006072",0,"24,983",0,0
161,"0,006302","0,017304","0,002458","0,007045",0,"33,109046",0,0
162,"0,005593","0,015253","0,006535","0,007078",1,"34,458453","6,534835",0
163,"0,005234","0,019964","0,006022","0,006585",1,"37,804916","6,022075",0
164,"0,005338","0,017141","0,007438","0,008511",1,"38,428305","7,43795",0
165,"0,007213","0,014797","0,005258","0,006253",1,"33,521708","5,257816",0
166,"0,005318","0,016145","0,00739","0,006058",1,"34,912139","7,3903",0
167,"0,005229","0,018689","0,006476","0,0072",1,"37,593866","6,475569",0
168,"0,00592","0,016248","0,007277","0,009369",3,"38,812835","2,425629",0
169,"0,005232","0,017678","0,005771","0,008925",3,"37,60497","1,923547",0
170,"0,005722","0,015985","0,005905","0,006618",3,"34,23022","1,968178",0
