Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,,Captura,Procesamiento,Tracking,Escritura
59,"0,011247","0,020196","0,002582","0,008086",0,0,0,8,"4,563808","10,466576","3,001928",,,,,
60,"0,010317","0,019224","0,002603","0,011911",0,0,0,8,"5,166054","8,784533","3,00622",,,,,
61,"0,010592","0,019006","0,002883","0,009649",0,0,0,8,"5,150795","8,469343","2,968073",,,,,
62,"0,010385","0,018891","0,002628","0,008073",0,0,0,7,"5,161762","8,511305","3,043413",,,,,
63,"0,010201","0,021758","0,003593","0,010479",0,0,0,9,"7,329464","8,396149","2,964258",,,,,
64,"0,010021","0,020915","0,003455","0,008051",0,0,0,7,"4,259109","10,540962","2,960682",,,,,
65,"0,010572","0,018803","0,002734","0,007523",0,0,0,8,"4,136086","8,414268","2,909422",,,,,
66,"0,010043","0,01947","0,003116","0,009093",0,0,0,8,"5,866051","8,396387","2,969027",,,,,
67,"0,010006","0,020246","0,002594","0,007832",0,0,0,8,"6,41036","8,450031","3,064632",,,,,
68,"0,010065","0,018694","0,002438","0,007891",0,0,0,7,"4,553318","8,432388","3,014326",,,,,
69,"0,010077","0,021188","0,002555","0,007901",0,0,0,8,"4,386425","10,384321","3,09968",,,,,
70,"0,010975","0,019714","0,002334","0,009361",0,0,0,7,"4,709721","8,632421","2,842188",,,,,
71,"0,010017","0,017988","0,002906","0,007627",0,0,0,7,"4,555464","8,470297","2,8584",,,,,
72,"0,009892","0,018628","0,00311","0,013138",0,0,0,9,"5,054712","8,451223","2,976179",,,,,
73,"0,009914","0,017699","0,002016","0,009559",0,0,0,7,"3,807545","8,535385","2,960205",,,,,
74,"0,010018","0,019485","0,00265","0,007995",0,0,0,8,"3,688335","10,192394","3,215313",,,,,
75,"0,010043","0,01846","0,002797","0,00821",0,0,0,8,"4,894733","8,409262","2,985001",,,,,
76,"0,009989","0,018691","0,002687","0,007955",0,0,0,8,"4,810572","8,481979","2,998829",,,,,
77,"0,009895","0,019494","0,002249","0,010606",0,0,0,7,"4,801512","8,499384","2,922297",,,,,
78,"0,009901","0,022407","0,002687","0,009496",0,0,0,8,"8,759499","8,483648","3,021955",,,,,
79,"0,010001","0,020025","0,002997","0,00815",0,0,0,8,"4,704952","10,077953","3,016949",,,,,
80,"0,010058","0,018674","0,002781","0,009638",0,0,0,8,"4,894018","8,526325","3,207922",,,,,
81,"0,010194","0,01874","0,002554","0,01017",0,0,0,8,"4,837751","8,684635","2,814054",,,,,
82,"0,009896","0,018385","0,002644","0,007847",0,0,0,8,"4,829645","8,500338","3,010273",,,,,
83,"0,009969","0,018771","0,002589","0,010439",0,0,0,8,"5,02491","8,442163","2,977371",,,,,
84,"0,01012","0,019394","0,002956","0,013088",0,0,0,7,"4,651308","8,680344","3,90029",,,,,
85,"0,00993","0,01834","0,003517","0,012626",0,0,0,8,"4,473925","8,430243","2,964497",,,,,
86,"0,009932","0,019197","0,002511","0,009189",0,0,0,8,"4,155636","8,451223","3,456831",,,,,
87,"0,009998","0,018806","0,002422","0,007852",0,0,0,7,"5,089283","8,444309","2,949476",,,,,
88,"0,01008","0,01829","0,003553","0,008109",0,0,0,8,"4,59981","8,500576","2,947092",,,,,
89,"0,010209","0,019354","0,004707","0,008222",0,0,0,8,"4,48966","8,487225","3,097057",,,,,
90,"0,011859","0,020629","0,006416","0,007837",0,0,0,7,"6,812572","8,502483","2,887964",,,,,
91,"0,010441","0,018188","0,005527","0,009717",0,0,0,7,"4,481792","8,551598","3,026485",,,,,
