Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
64,"0,005605","0,012551","0,002156","0,005332",0,0,0,0,"3,1178","5,942822","1,897573"
65,"0,005349","0,013377","0,001706","0,005413",0,0,0,0,"2,561331","6,684303","1,881123"
66,"0,005577","0,01455","0,002861","0,005827",0,0,0,0,"3,347158","7,936001","1,822948"
67,"0,005371","0,014847","0,00295","0,005043",0,0,0,0,"2,766609","8,084297","1,894712"
68,"0,006048","0,014918","0,002131","0,005083",0,0,0,0,"3,070354","7,967234","1,927137"
69,"0,005658","0,013858","0,001831","0,005115",0,0,0,0,"2,911091","6,877661","1,965523"
70,"0,005516","0,013346","0,00167","0,005903",0,0,0,0,"3,043175","6,497383","2,319098"
71,"0,005355","0,013046","0,002484","0,005003",0,0,0,0,"3,510952","6,154776","1,854897"
72,"0,005432","0,012945","0,001737","0,007429",0,0,0,0,"2,402782","7,222414","1,85442"
73,"0,005443","0,014322","0,001666","0,005671",0,0,0,0,"3,431559","7,466316","1,904488"
74,"0,007258","0,013243","0,002681","0,00562",0,0,0,0,"3,054857","6,560802","2,181768"
75,"0,005383","0,014696","0,002288","0,005272",0,0,0,0,"3,682613","7,428646","2,069235"
76,"0,005626","0,01249","0,001947","0,006162",0,0,0,0,"2,940416","5,785704","1,799822"
77,"0,005325","0,014412","0,001623","0,006317",0,0,0,0,"3,398657","7,582903","1,91617"
78,"0,005321","0,013681","0,00274","0,005325",0,0,0,0,"3,598928","6,703377","1,868725"
79,"0,005329","0,015032","0,002274","0,005008",0,0,0,0,"2,866507","8,175611","1,927853"
80,"0,005273","0,013964","0,002072","0,005888",0,0,0,0,"2,727985","7,381916","1,809597"
81,"0,005309","0,012308","0,001925","0,00516",0,0,0,0,"2,899647","5,963802","1,750469"
82,"0,005447","0,012668","0,004165","0,005219",0,0,0,0,"3,138065","6,220579","1,805782"
83,"0,005322","0,013047","0,003586","0,006513",0,0,0,0,"3,008366","6,229401","2,340078"
84,"0,005344","0,013907","0,001444","0,006989",0,0,0,0,"2,782345","7,721424","1,952887"
85,"0,005486","0,01312","0,001821","0,00737",0,0,0,0,"2,907515","6,81138","1,996994"
86,"0,00533","0,01367","0,004333","0,005819",0,0,0,0,"3,313065","6,044149","2,378464"
87,"0,005301","0,012313","0,00447","0,005047",0,0,0,0,"2,880812","5,803347","2,120972"
88,"0,005432","0,014662","0,005307","0,005548",0,0,0,0,"5,249739","5,896568","1,93572"
89,"0,005831","0,013171","0,006537","0,005653",0,0,0,0,"3,304005","6,261349","2,090216"
90,"0,005727","0,013971","0,002651","0,005192",0,0,0,0,"2,262354","7,392645","2,199173"
91,"0,005571","0,014775","0,005725","0,005415",0,0,0,0,"3,218174","7,653952","2,192736"
92,"0,005369","0,017184","0,00607","0,005267",0,0,0,0,"6,780386","6,613731","2,308846"
93,"0,006113","0,016763","0,002757","0,005169",0,0,0,0,"4,460096","8,760691","2,000332"
