frame_number,capture_stage,inference_stage,tracking_stage,writing_stage
0,0.04189,0.014096,0.012593,0.0911
1,0.005332,0.012611,0.016326,0.017802
2,0.00533,0.012961,0.014574,0.015173
3,0.00721,0.012975,0.014403,0.014086
4,0.005689,0.012921,0.01438,0.014782
5,0.005383,0.014046,0.014101,0.015988
6,0.006302,0.013352,0.014236,0.016996
7,0.005366,0.012889,0.014152,0.015929
8,0.00532,0.013516,0.014638,0.015282
9,0.00537,0.012908,0.016494,0.01381
10,0.005258,0.012866,0.014941,0.01484
11,0.005362,0.012638,0.015098,0.014524
12,0.005291,0.012652,0.016385,0.016171
13,0.005269,0.012429,0.016566,0.01336
14,0.00542,0.012621,0.015902,0.012749
15,0.005377,0.012722,0.015679,0.012862
16,0.005306,0.012796,0.015061,0.014357
17,0.005407,0.01233,0.016104,0.014678
18,0.005382,0.01235,0.016287,0.01683
19,0.005474,0.012679,0.0165,0.01328
20,0.005391,0.012309,0.016022,0.013224
21,0.005416,0.01306,0.015482,0.0129
22,0.005452,0.012465,0.015182,0.012972
23,0.005381,0.012629,0.01563,0.013298
24,0.005409,0.012523,0.014524,0.016901
25,0.005638,0.012994,0.01407,0.013868
26,0.005465,0.012602,0.014736,0.013605
27,0.005441,0.013146,0.014681,0.013973
28,0.00595,0.012404,0.015042,0.013265
29,0.0054,0.014056,0.016764,0.013825
30,0.005407,0.012558,0.014785,0.014572
31,0.005414,0.01332,0.014315,0.015329
32,0.005527,0.013307,0.015017,0.01403
33,0.005503,0.012961,0.014209,0.013109
34,0.005488,0.012717,0.014273,0.014745
35,0.005447,0.012775,0.014241,0.013029
36,0.005433,0.012182,0.014303,0.015905
37,0.005436,0.012243,0.014563,0.014519
38,0.005443,0.012355,0.014919,0.012999
39,0.005608,0.012404,0.014648,0.014707
40,0.00598,0.012393,0.016853,0.016558
41,0.005462,0.012331,0.015043,0.0166
42,0.005639,0.012207,0.01483,0.014373
43,0.005433,0.012502,0.014773,0.01731
44,0.00542,0.012884,0.014766,0.013656
45,0.005396,0.012424,0.014852,0.013492
46,0.005449,0.012441,0.015125,0.014389
47,0.005363,0.012781,0.014561,0.015475
48,0.005457,0.012198,0.014708,0.017405
49,0.005447,0.012474,0.014565,0.013853
50,0.005359,0.014674,0.017669,0.014803
51,0.006473,0.01397,0.017668,0.013756
52,0.005497,0.012672,0.015333,0.015806
53,0.005387,0.012528,0.014701,0.014981
54,0.005436,0.012918,0.014924,0.014154
55,0.005445,0.014719,0.015078,0.015181
56,0.005468,0.013269,0.014729,0.014698
57,0.005398,0.013494,0.019462,0.0152
58,0.005388,0.012314,0.015618,0.013751
59,0.00549,0.01238,0.015267,0.013395
60,0.005562,0.012324,0.016806,0.015034
61,0.005389,0.012944,0.015184,0.014422
62,0.005384,0.012757,0.015421,0.01448
63,0.005322,0.012352,0.015686,0.013165
64,0.005356,0.012151,0.014569,0.013861
65,0.005352,0.012605,0.0143,0.01466
66,0.005354,0.012778,0.014096,0.012764
67,0.005594,0.01235,0.014504,0.013077
68,0.005379,0.012889,0.014235,0.015659
69,0.00535,0.012132,0.01448,0.014201
70,0.005368,0.012611,0.014103,0.013009
71,0.005471,0.013376,0.014351,0.012623
72,0.005407,0.01416,0.014373,0.015096
73,0.005351,0.012505,0.014113,0.013402
74,0.005517,0.012278,0.01415,0.014919
75,0.005381,0.013131,0.015225,0.014567
76,0.005321,0.013033,0.014512,0.015175
77,0.005322,0.012269,0.014756,0.014024
78,0.005278,0.012393,0.014416,0.013389
79,0.00536,0.013088,0.014422,0.016061
80,0.005357,0.013908,0.014733,0.014231
81,0.00537,0.012101,0.014654,0.015021
82,0.005332,0.012888,0.014664,0.014365
83,0.005329,0.012512,0.014409,0.013155
84,0.005334,0.012351,0.014448,0.017411
85,0.005323,0.012788,0.014306,0.013287
86,0.005396,0.019689,0.014008,0.012629
87,0.005506,0.015111,0.014283,0.012909
88,0.005368,0.014894,0.01474,0.015239
89,0.005377,0.013413,0.01435,0.013386
90,0.005432,0.013356,0.014459,0.013832
91,0.007145,0.01247,0.014866,0.01339
92,0.005381,0.012309,0.014627,0.014391
93,0.005412,0.012386,0.014905,0.015518
94,0.005362,0.011949,0.014299,0.017607
95,0.005422,0.012441,0.015198,0.014683
96,0.005489,0.0121,0.015282,0.016861
97,0.005714,0.012184,0.014681,0.016094
98,0.005298,0.012468,0.014552,0.016591
99,0.005314,0.012482,0.014546,0.014264
100,0.005371,0.012325,0.01476,0.013617
101,0.005277,0.012237,0.014655,0.013293
102,0.005297,0.012515,0.014349,0.01289
103,0.00539,0.012546,0.014267,0.013969
104,0.005439,0.012206,0.01491,0.013137
105,0.005264,0.012104,0.014481,0.013864
106,0.005282,0.012474,0.014329,0.014838
107,0.005376,0.012133,0.014466,0.018032
108,0.00535,0.012518,0.01472,0.016038
109,0.005312,0.012241,0.014872,0.013046
110,0.005362,0.012859,0.01468,0.013211
111,0.005363,0.012201,0.0151,0.014045
112,0.005364,0.014126,0.014512,0.014546
113,0.005272,0.014189,0.014133,0.019087
114,0.005355,0.012712,0.01421,0.013864
