modelo,frames_procesados,Tejecucion_s,FPS,LFPS,potencia_media_consumida_W,energia_consumida_J,Frames_W,Average_GPU,Average_CPU,Tpreprocesado_ms,Tinferencia_ms,Tpostprocesado_ms,mAP50_95
YOLOv5nu,2303,80.58,28.58,1.20,14.018,1129.33,2.04,45.14,36.65,2.46,14.74,4.09,0.759
YOLOv5mu,2277,80.62,28.24,1.53,24.464,1971.89,1.15,53.76,37.35,1.91,19.52,4.04,0.790
YOLOv8n,2273,80.59,28.20,1.58,13.941,1123.15,2.02,45.84,37.90,2.56,15.17,4.14,0.771
YOLOv8s,2207,80.62,27.38,2.39,16.030,1292.14,1.71,52.55,36.49,2.37,18.65,4.04,0.787
YOLO11n,2297,80.63,28.49,1.28,12.883,1118.99,2.05,43.61,36.93,2.43,14.43,3.98,0.761
YOLO11s,2284,80.62,28.33,1.44,15.823,1275.37,1.79,48.64,36.97,2.33,16.94,4.02,0.797
YOLO11m,2296,80.60,28.49,1.29,26.085,2102.2,1.09,52.96,37.70,1.89,19.44,4.02,0.797
YOLO11l,2247,80.57,27.89,1.90,30.216,2434.21,0.92,66.42,37.26,2.00,24.46,3.9,0.801
