dispositivo,processed_frame,execution_time,fps,lfps,average_power_consuption,energy_consuption,frames/w,average_gpu,average_cpu,Tpreprocesado,Tinferencia,Tpostprocesado
Jetson AGX Xavier ,2383,80.52,29.60,0.00,15.965,1285.37,1.85,16.73,37.61,2.09,5.73,3.78
Jetson Orin Nano,2400,80.33,29.88,0.00,6.324,507.68,4.73,13.04,34.68,1.66,4.41,3.77
Jetson AGX Orin,2399,80.28,29.88,0.00,9.581,768.75,3.12,12.69,14.00,1.34,2.48,2.85
