frame_number,fps
0,0
29,29
82,53
133,51
184,51
235,51
285,50
332,47
382,50
432,50
517,85
565,48
604,39
642,38
681,39
719,38
757,38
796,39
836,40
873,37
912,39
951,39
984,33
1002,18
1019,17
1037,18
1055,18
1074,19
1092,18
1110,18
1130,20
1151,21
1172,21
1190,18
1214,24
1235,21
1256,21
1277,21
1297,20
1317,20
1339,22
1362,23
1384,22
1409,25
1441,32
1492,51
1557,65
1615,58
1672,57
1728,56
1762,34
1792,30
1823,31
1855,31
1886,31
1917,31
1947,30
1978,31
2008,30
2040,32
2070,30
2106,36
2137,31
2168,31
2202,34
2280,78
2311,31
2328,17
2346,18
2364,18
2382,18
2398,16
