Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
60,"0,005354","0,020213","0,000933","0,006740",0,"33,240296","0,000000","2,974272","7,059813","6,522417"
61,"0,005373","0,035683","0,000744","0,004758",0,"46,557971","0,000000","4,370451","24,778843","3,685713"
62,"0,006975","0,019254","0,000601","0,004082",0,"30,911549","0,000000","3,979445","10,426283","2,045631"
63,"0,006247","0,033058","0,000596","0,007096",0,"46,997960","0,000000","2,107859","26,722431","1,743317"
64,"0,005702","0,024790","0,000621","0,004911",0,"36,023081","0,000000","3,391266","13,283968","3,933907"
65,"0,006509","0,013015","0,000602","0,003537",0,"23,662954","0,000000","2,223492","6,211758","2,086878"
66,"0,005788","0,034483","0,000754","0,005153",0,"46,177409","0,000000","3,838062","25,335550","2,196312"
67,"0,005351","0,023188","0,000875","0,003639",0,"33,053727","0,000000","3,385305","13,183594","3,871202"
68,"0,007960","0,017914","0,000574","0,004665",0,"31,113414","0,000000","4,186392","7,976770","3,144741"
69,"0,007499","0,035180","0,000606","0,003911",0,"47,196049","0,000000","3,425360","26,612282","2,174854"
70,"0,005996","0,023656","0,000677","0,005101",0,"35,429998","0,000000","4,448652","12,605190","4,220963"
71,"0,007873","0,015057","0,000586","0,003703",0,"27,218705","0,000000","2,137899","6,705761","3,414154"
72,"0,005306","0,035564","0,000568","0,006151",0,"47,589411","0,000000","2,454758","27,659416","2,465725"
73,"0,005371","0,024614","0,000722","0,005289",0,"35,995337","0,000000","4,077673","14,038086","3,942966"
74,"0,006069","0,014965","0,000644","0,003852",0,"25,529314","0,000000","2,186537","5,962849","2,404690"
75,"0,005459","0,033805","0,000613","0,003799",0,"43,675725","0,000000","4,296064","25,234461","1,740217"
76,"0,006426","0,022274","0,000562","0,003878",0,"33,140804","0,000000","4,158020","12,004852","3,785133"
77,"0,005614","0,019579","0,000653","0,004544",0,"30,390020","0,000000","2,608538","8,540869","5,195141"
78,"0,005300","0,032819","0,000655","0,004818",0,"43,591306","0,000000","2,546072","25,343180","2,574205"
79,"0,009317","0,017726","0,000651","0,005741",0,"33,434546","0,000000","2,956629","10,867119","1,637459"
80,"0,007768","0,032011","0,000647","0,004485",0,"44,910919","0,000000","2,201319","25,143385","1,699686"
81,"0,005302","0,024713","0,000697","0,004443",0,"35,154176","0,000000","3,913164","13,472557","4,255533"
82,"0,006879","0,013219","0,000593","0,003829",0,"24,520115","0,000000","2,016783","5,981207","1,934290"
83,"0,008379","0,035420","0,000688","0,005545",0,"50,031092","0,000000","2,550125","27,053595","1,913071"
84,"0,007068","0,022922","0,000677","0,006998",0,"37,665301","0,000000","2,079010","5,932808","2,923965"
85,"0,006625","0,013161","0,000785","0,005936",0,"26,508304","0,000000","2,079010","5,932808","2,923965"
86,"0,009510","0,041376","0,000570","0,004452",0,"55,907878","0,000000","4,742384","28,615952","1,836061"
87,"0,005563","0,021140","0,000583","0,005227",0,"32,513606","0,000000","2,339602","11,739492","3,973961"
88,"0,006220","0,020707","0,000618","0,003724",0,"31,269357","0,000000","2,348900","9,552717","3,882170"
89,"0,005863","0,035171","0,000617","0,003732",0,"45,382846","0,000000","3,008366","25,843859","3,722191"
90,"0,005489","0,017366","0,000776","0,004568",0,"28,199679","0,000000","3,257275","9,978294","1,754522"
91,"0,007046","0,032697","0,000612","0,003882",0,"44,237320","0,000000","2,411127","24,283886","2,472401"
92,"0,005556","0,021955","0,000689","0,004783",0,"32,983101","0,000000","3,097296","11,891127","1,998425"
93,"0,006892","0,013954","0,000680","0,003974",0,"25,499714","0,000000","2,047300","7,072210","2,392769"
94,"0,009414","0,033854","0,000563","0,004495",0,"48,325414","0,000000","4,504204","25,252342","1,864672"
95,"0,005237","0,022611","0,000580","0,004182",0,"32,610156","0,000000","3,341913","12,371302","4,410028"
96,"0,006233","0,016307","0,000585","0,006443",0,"29,568126","0,000000","4,213095","6,433487","1,968145"
97,"0,005310","0,033630","0,000609","0,007303",0,"46,852578","0,000000","2,856493","25,976658","2,181768"
98,"0,005403","0,022224","0,000561","0,005379",0,"33,567799","0,000000","4,725218","12,708426","2,010584"
99,"0,007842","0,032013","0,000754","0,005279",0,"45,888244","0,000000","2,190351","24,580956","2,357960"
100,"0,005421","0,020931","0,000771","0,004391",0,"31,514489","0,000000","3,849268","12,084246","2,062321"
101,"0,005282","0,032535","0,000664","0,004920",0,"43,401056","0,000000","2,178431","25,981426","1,826763"
102,"0,008338","0,022308","0,000675","0,005028",0,"36,348760","0,000000","2,887964","12,417793","4,054308"
103,"0,006367","0,015830","0,000886","0,005248",0,"28,331236","0,000000","2,139568","8,101940","1,823187"
104,"0,006829","0,031903","0,000637","0,005457",0,"44,826017","0,000000","2,926826","24,691343","2,091646"
105,"0,006108","0,020483","0,000623","0,005597",0,"32,811444","0,000000","3,417015","12,528658","2,153635"
106,"0,006438","0,014204","0,000706","0,003844",0,"25,192818","0,000000","2,200127","7,502794","2,060890"
107,"0,006518","0,035339","0,000690","0,005140",0,"47,687300","0,000000","2,078772","26,503563","1,809359"
108,"0,006477","0,024135","0,000824","0,006838",0,"38,274320","0,000000","4,225969","13,583422","3,830671"
109,"0,006696","0,014458","0,000628","0,006639",0,"28,421767","0,000000","2,169132","5,863667","3,396749"
110,"0,010652","0,032917","0,000604","0,004171",0,"48,344771","0,000000","2,946615","25,362492","2,423763"
111,"0,005330","0,020852","0,000579","0,005459",0,"32,219543","0,000000","4,191160","12,140989","2,227783"
112,"0,007359","0,014136","0,000734","0,005307",0,"27,535647","0,000000","2,147198","7,459164","2,141953"
113,"0,005321","0,033254","0,000664","0,005779",0,"45,018250","0,000000","3,353357","25,094271","2,406120"
114,"0,009903","0,021508","0,000550","0,003789",0,"35,750619","0,000000","3,777027","11,848688","2,246857"
115,"0,008279","0,035294","0,000642","0,005693",0,"49,908459","0,000000","2,449274","27,544737","2,713442"
116,"0,005341","0,023805","0,000650","0,004055",0,"33,850786","0,000000","3,951073","14,068365","3,358603"
117,"0,006516","0,017028","0,000622","0,004677",0,"28,842682","0,000000","2,459526","7,402420","3,663778"
118,"0,009149","0,035938","0,000606","0,004074",0,"49,766596","0,000000","4,527807","24,764299","3,273964"
119,"0,005341","0,018967","0,000646","0,004703",0,"29,657344","0,000000","3,648996","10,333538","1,801968"
120,"0,006358","0,033291","0,000835","0,007156",0,"47,639810","0,000000","2,465010","24,794102","2,349138"
121,"0,006208","0,023755","0,000708","0,006324",0,"36,995891","0,000000","5,249739","12,242556","2,246857"
122,"0,005378","0,021376","0,000605","0,004150",0,"31,509654","0,000000","5,840063","7,020473","5,092382"
123,"0,009281","0,035321","0,000672","0,004897",0,"50,172313","0,000000","3,953457","26,005507","2,370596"
124,"0,008701","0,021675","0,000638","0,004042",0,"35,056186","0,000000","2,280712","12,111902","3,268719"
125,"0,005715","0,033420","0,000702","0,005369",0,"45,205136","0,000000","2,288580","26,644230","2,047777"
126,"0,007684","0,025404","0,001976","0,005633",0,"40,696354","0,000000","5,037546","14,011145","3,924608"
127,"0,005886","0,013850","0,000653","0,004812",0,"25,200081","0,000000","2,177715","6,351233","2,162695"
128,"0,005837","0,036134","0,000585","0,005083",0,"47,639074","0,000000","2,727270","26,049614","4,219294"
129,"0,006397","0,022293","0,000649","0,006266",0,"35,605587","0,000000","5,536318","11,830330","2,427816"
130,"0,005476","0,015105","0,000581","0,005928",0,"27,089544","0,000000","2,304554","6,320000","2,568722"
131,"0,010575","0,035470","0,000588","0,008450",0,"55,083194","0,000000","2,800703","24,236917","4,763365"
132,"0,005324","0,022536","0,000595","0,008166",0,"36,621188","0,000000","7,298231","9,182215","1,972198"
133,"0,007832","0,035749","0,000586","0,007671",0,"51,838341","0,000000","2,276182","28,641224","2,000093"
134,"0,005401","0,022124","0,000648","0,004773",0,"32,947001","0,000000","2,187014","12,469530","4,829168"
135,"0,005356","0,029277","0,000633","0,005915",0,"41,181110","0,000000","3,741026","12,533903","4,224062"
136,"0,005652","0,033649","0,000602","0,004041",0,"43,943382","0,000000","2,736330","25,135994","2,363682"
137,"0,005331","0,014777","0,000735","0,005589",0,"26,432331","0,000000","2,208948","7,648706","2,078295"
138,"0,007891","0,032911","0,000639","0,005534",0,"46,974980","0,000000","2,350569","24,890423","2,379894"
139,"0,010223","0,024342","0,000694","0,005374",0,"40,632670","0,000000","3,925085","13,545036","2,734184"
