02-20-2025 09:59:59 RAM 13158/30991MB (lfb 1223x4MB) SWAP 3/15495MB (cached 0MB) CPU [23%@2261,84%@2263,23%@2265,15%@2262,16%@2264,86%@2264,41%@2264,50%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.1C Tboard@46C AO@46C GPU@48C Tdiode@48.75C PMIC@50C GPU 2172mW/2172mW CPU 3569mW/3569mW SOC 2793mW/2793mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-20-2025 09:59:59 RAM 13169/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [36%@2261,72%@2265,25%@2264,38%@2265,92%@2264,25%@2264,41%@2264,50%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.1C Tboard@46C AO@46C GPU@48C Tdiode@48.75C PMIC@50C GPU 2482mW/2327mW CPU 4186mW/3877mW SOC 2946mW/2869mW CV 0mW/0mW VDDRQ 620mW/542mW SYS5V 3560mW/3540mW
02-20-2025 09:59:59 RAM 13171/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [76%@2264,18%@2264,46%@2264,54%@2264,83%@2264,75%@2264,81%@2264,58%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@47.1C Tboard@46C AO@46C GPU@48C Tdiode@48.75C PMIC@50C GPU 2790mW/2481mW CPU 4958mW/4237mW SOC 3098mW/2945mW CV 0mW/0mW VDDRQ 774mW/619mW SYS5V 3600mW/3560mW
02-20-2025 09:59:59 RAM 13172/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [70%@2262,50%@2263,50%@2265,76%@2263,69%@2263,76%@2263,57%@2259,73%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.1C Tboard@46C AO@46C GPU@48.5C Tdiode@48.75C PMIC@50C GPU 3560mW/2751mW CPU 5728mW/4610mW SOC 3096mW/2983mW CV 0mW/0mW VDDRQ 774mW/658mW SYS5V 3640mW/3580mW
02-20-2025 09:59:59 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [54%@2264,91%@2264,53%@2264,53%@2265,61%@2263,76%@2263,58%@2262,66%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.1C Tboard@46C AO@46.5C GPU@48.5C Tdiode@48.75C PMIC@50C GPU 4021mW/3005mW CPU 6187mW/4925mW SOC 3248mW/3036mW CV 0mW/0mW VDDRQ 928mW/712mW SYS5V 3720mW/3608mW
02-20-2025 09:59:59 RAM 13172/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [69%@2264,76%@2264,66%@2264,33%@2261,83%@2264,61%@2264,45%@2264,100%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 57%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@47.1C Tboard@46C AO@46.5C GPU@49C Tdiode@48.75C PMIC@50C GPU 4638mW/3277mW CPU 6648mW/5212mW SOC 3401mW/3097mW CV 0mW/0mW VDDRQ 1082mW/773mW SYS5V 3760mW/3633mW
02-20-2025 09:59:59 RAM 13171/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [84%@2266,71%@2264,66%@2264,83%@2264,41%@2267,66%@2264,54%@2264,8%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.1C Tboard@46C AO@46.5C GPU@48.5C Tdiode@49C PMIC@50C GPU 4791mW/3493mW CPU 6800mW/5439mW SOC 3400mW/3140mW CV 0mW/0mW VDDRQ 1081mW/817mW SYS5V 3760mW/3651mW
02-20-2025 09:59:59 RAM 13174/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [63%@2264,91%@2261,53%@2261,46%@2262,0%@2263,71%@2264,83%@2266,58%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49C PMIC@50C GPU 4945mW/3674mW CPU 6800mW/5609mW SOC 3400mW/3172mW CV 0mW/0mW VDDRQ 1236mW/870mW SYS5V 3800mW/3670mW
02-20-2025 10:00:00 RAM 13185/30991MB (lfb 1219x4MB) SWAP 3/15495MB (cached 0MB) CPU [64%@2264,61%@2264,80%@2264,61%@2264,72%@2264,85%@2265,71%@2269,50%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49C PMIC@50C GPU 5252mW/3850mW CPU 6952mW/5758mW SOC 3553mW/3215mW CV 0mW/0mW VDDRQ 1235mW/910mW SYS5V 3800mW/3684mW
02-20-2025 10:00:00 RAM 13172/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [58%@2263,46%@2264,18%@2263,72%@2263,80%@2263,61%@2263,81%@2264,33%@2269] EMC_FREQ 14%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49C PMIC@50C GPU 5407mW/4005mW CPU 6952mW/5878mW SOC 3553mW/3248mW CV 0mW/0mW VDDRQ 1235mW/943mW SYS5V 3840mW/3700mW
02-20-2025 10:00:00 RAM 13174/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [50%@2264,72%@2264,83%@2263,71%@2264,54%@2261,58%@2263,53%@2265,23%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49C PMIC@50C GPU 5407mW/4133mW CPU 6952mW/5975mW SOC 3553mW/3276mW CV 0mW/0mW VDDRQ 1235mW/969mW SYS5V 3840mW/3712mW
02-20-2025 10:00:00 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [41%@2264,53%@2262,83%@2264,25%@2265,76%@2265,80%@2263,33%@2264,50%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49.5C Tdiode@49C PMIC@50C GPU 5561mW/4252mW CPU 6797mW/6044mW SOC 3553mW/3299mW CV 0mW/0mW VDDRQ 1235mW/991mW SYS5V 3840mW/3723mW
02-20-2025 10:00:00 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [58%@2262,41%@2264,28%@2264,81%@2265,84%@2264,71%@2264,23%@2264,57%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5718mW/4364mW CPU 6643mW/6090mW SOC 3553mW/3319mW CV -309mW/-23mW VDDRQ 1235mW/1010mW SYS5V 3840mW/3732mW
02-20-2025 10:00:00 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [58%@2263,61%@2265,60%@2260,83%@2264,41%@2262,41%@2263,41%@2265,58%@2257] EMC_FREQ 16%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5716mW/4461mW CPU 6643mW/6129mW SOC 3553mW/3335mW CV 0mW/-22mW VDDRQ 1235mW/1026mW SYS5V 3840mW/3740mW
02-20-2025 10:00:00 RAM 13174/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [50%@2261,61%@2263,38%@2265,58%@2264,50%@2264,84%@2264,53%@2262,91%@2265] EMC_FREQ 17%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@51C thermal@48.3C Tboard@46C AO@46.5C GPU@49.5C Tdiode@49.25C PMIC@50C GPU 5870mW/4555mW CPU 6797mW/6174mW SOC 3553mW/3350mW CV 0mW/-20mW VDDRQ 1235mW/1040mW SYS5V 3840mW/3746mW
02-20-2025 10:00:00 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [46%@2264,83%@2262,46%@2263,72%@2265,53%@2265,81%@2264,8%@2264,92%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@51C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5870mW/4637mW CPU 6797mW/6213mW SOC 3551mW/3362mW CV 0mW/-19mW VDDRQ 1389mW/1062mW SYS5V 3880mW/3755mW
02-20-2025 10:00:01 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [33%@2264,81%@2264,33%@2263,35%@2263,50%@2263,64%@2267,25%@2263,18%@2263] EMC_FREQ 18%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.6C Tboard@46C AO@46.5C GPU@49.5C Tdiode@49.25C PMIC@50C GPU 6177mW/4728mW CPU 6486mW/6229mW SOC 3707mW/3383mW CV 0mW/-18mW VDDRQ 1389mW/1081mW SYS5V 3873mW/3761mW
02-20-2025 10:00:01 RAM 13173/30991MB (lfb 1221x4MB) SWAP 3/15495MB (cached 0MB) CPU [30%@2264,75%@2264,30%@2264,25%@2263,33%@2263,41%@2264,53%@2263,8%@2264] EMC_FREQ 19%@2133 GR3D_FREQ 57%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.6C Tboard@46C AO@46.5C GPU@49.5C Tdiode@49.25C PMIC@50C GPU 6334mW/4817mW CPU 6025mW/6217mW SOC 3707mW/3401mW CV 0mW/-17mW VDDRQ 1390mW/1098mW SYS5V 3873mW/3768mW
