02-19-2025 09:03:32 RAM 10139/30991MB (lfb 3471x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2264,0%@2264,8%@2266,0%@2265,16%@2259,8%@2265,100%@2265,15%@2265] EMC_FREQ 3%@2133 GR3D_FREQ 13%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1086mW/1085mW CPU 2639mW/2987mW SOC 2639mW/2690mW CV 0mW/-51mW VDDRQ 310mW/348mW SYS5V 3400mW/3436mW
02-19-2025 09:03:32 RAM 10179/30991MB (lfb 3471x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2265,0%@2263,8%@2256,7%@2264,0%@2264,0%@2263,100%@2264,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1087mW/1086mW CPU 2484mW/2948mW SOC 2639mW/2686mW CV 0mW/-47mW VDDRQ 310mW/345mW SYS5V 3400mW/3433mW
02-19-2025 09:03:32 RAM 10222/30991MB (lfb 3471x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2264,25%@2263,0%@2264,33%@2264,9%@2261,9%@2264,100%@2262,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@49.75C PMIC@50C GPU 1086mW/1086mW CPU 2794mW/2937mW SOC 2639mW/2682mW CV 0mW/-44mW VDDRQ 310mW/343mW SYS5V 3440mW/3434mW
02-19-2025 09:03:32 RAM 10264/30991MB (lfb 3471x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2265,7%@2264,8%@2265,0%@2264,0%@2265,0%@2264,100%@2265,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@49.75C PMIC@50C GPU 1086mW/1086mW CPU 2639mW/2917mW SOC 2639mW/2680mW CV 0mW/-41mW VDDRQ 310mW/341mW SYS5V 3400mW/3432mW
02-19-2025 09:03:32 RAM 10306/30991MB (lfb 3471x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2264,8%@2264,8%@2265,0%@2264,0%@2264,0%@2265,100%@2263,0%@2265] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@49.75C PMIC@50C GPU 931mW/1076mW CPU 2639mW/2900mW SOC 2639mW/2677mW CV 0mW/-38mW VDDRQ 310mW/339mW SYS5V 3400mW/3430mW
02-19-2025 09:03:32 RAM 10349/30991MB (lfb 3456x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2264,27%@2264,25%@2262,27%@2264,28%@2264,28%@2264,100%@2265,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@47C GPU@48.5C Tdiode@49.75C PMIC@50C GPU 1086mW/1076mW CPU 2950mW/2903mW SOC 2639mW/2675mW CV 0mW/-36mW VDDRQ 310mW/337mW SYS5V 3440mW/3430mW
02-19-2025 09:03:33 RAM 10390/30991MB (lfb 3434x4MB) SWAP 0/15495MB (cached 0MB) CPU [35%@2263,33%@2265,9%@2268,27%@2263,15%@2262,16%@2264,100%@2264,7%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1086mW/1077mW CPU 3259mW/2923mW SOC 2638mW/2673mW CV 0mW/-34mW VDDRQ 310mW/335mW SYS5V 3440mW/3431mW
02-19-2025 09:03:33 RAM 10433/30991MB (lfb 3413x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2264,33%@2265,18%@2264,25%@2264,23%@2264,16%@2256,100%@2266,0%@2266] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1241mW/1086mW CPU 3414mW/2949mW SOC 2793mW/2679mW CV 0mW/-32mW VDDRQ 310mW/334mW SYS5V 3440mW/3431mW
02-19-2025 09:03:33 RAM 10476/30991MB (lfb 3392x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2263,30%@2265,8%@2265,18%@2266,8%@2264,8%@2258,100%@2263,8%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1241mW/1093mW CPU 3414mW/2972mW SOC 2793mW/2685mW CV 0mW/-31mW VDDRQ 465mW/341mW SYS5V 3440mW/3432mW
02-19-2025 09:03:33 RAM 10518/30991MB (lfb 3371x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2268,41%@2264,33%@2265,23%@2264,9%@2264,25%@2264,100%@2261,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1241mW/1100mW CPU 3723mW/3008mW SOC 2792mW/2690mW CV -310mW/-44mW VDDRQ 465mW/346mW SYS5V 3480mW/3434mW
02-19-2025 09:03:33 RAM 10560/30991MB (lfb 3350x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2265,33%@2260,38%@2262,18%@2263,33%@2263,16%@2259,100%@2262,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@47C GPU@48C Tdiode@49.75C PMIC@50C GPU 1241mW/1107mW CPU 3723mW/3040mW SOC 2792mW/2694mW CV -310mW/-56mW VDDRQ 465mW/352mW SYS5V 3480mW/3436mW
02-19-2025 09:03:33 RAM 10603/30991MB (lfb 3329x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2264,46%@2263,8%@2265,38%@2265,9%@2260,16%@2265,100%@2265,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@49.75C PMIC@50C GPU 1241mW/1112mW CPU 3723mW/3070mW SOC 2792mW/2699mW CV 0mW/-53mW VDDRQ 465mW/357mW SYS5V 3480mW/3438mW
02-19-2025 09:03:33 RAM 10644/30991MB (lfb 3308x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2264,9%@2259,15%@2271,15%@2264,8%@2263,8%@2260,100%@2263,15%@2260] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1241mW/1118mW CPU 3569mW/3090mW SOC 2793mW/2702mW CV 0mW/-51mW VDDRQ 465mW/361mW SYS5V 3480mW/3440mW
02-19-2025 09:03:33 RAM 10171/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [21%@2264,23%@2265,0%@2264,10%@2265,41%@2264,9%@2264,84%@2264,15%@2257] EMC_FREQ 3%@2133 GR3D_FREQ 8%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1396mW/1129mW CPU 3568mW/3110mW SOC 2792mW/2706mW CV 0mW/-49mW VDDRQ 465mW/365mW SYS5V 3480mW/3441mW
02-19-2025 09:03:33 RAM 10213/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2263,0%@2265,7%@2264,0%@2265,0%@2264,7%@2261,100%@2264,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1241mW/1133mW CPU 3259mW/3115mW SOC 2793mW/2709mW CV 0mW/-47mW VDDRQ 465mW/369mW SYS5V 3480mW/3443mW
02-19-2025 09:03:34 RAM 10255/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2263,8%@2265,0%@2259,16%@2264,0%@2264,0%@2264,100%@2263,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1241mW/1137mW CPU 3104mW/3115mW SOC 2793mW/2712mW CV 0mW/-45mW VDDRQ 310mW/367mW SYS5V 3480mW/3444mW
02-19-2025 09:03:34 RAM 10297/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2259,0%@2264,8%@2265,15%@2264,0%@2264,0%@2258,100%@2264,0%@2256] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@47C GPU@48.5C Tdiode@49.75C PMIC@50C GPU 1086mW/1135mW CPU 3105mW/3114mW SOC 2794mW/2715mW CV 0mW/-44mW VDDRQ 310mW/365mW SYS5V 3440mW/3444mW
02-19-2025 09:03:34 RAM 10340/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [10%@2265,16%@2264,0%@2261,8%@2263,42%@2264,16%@2264,100%@2265,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@46.5C GPU@48.5C Tdiode@49.75C PMIC@50C GPU 1086mW/1134mW CPU 3105mW/3114mW SOC 2638mW/2713mW CV 0mW/-42mW VDDRQ 310mW/363mW SYS5V 3440mW/3444mW
02-19-2025 09:03:34 RAM 10382/30991MB (lfb 3307x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2264,0%@2264,7%@2264,0%@2263,9%@2264,60%@2264,100%@2262,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@49.75C PMIC@50C GPU 1086mW/1132mW CPU 3259mW/3119mW SOC 2793mW/2715mW CV 0mW/-41mW VDDRQ 310mW/361mW SYS5V 3440mW/3444mW
02-19-2025 09:03:34 RAM 10426/30991MB (lfb 3292x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,66%@2263,41%@2264,25%@2263,18%@2267,18%@2264,100%@2264,8%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@47C GPU@48.5C Tdiode@49.75C PMIC@50C GPU 1085mW/1130mW CPU 3878mW/3143mW SOC 2792mW/2718mW CV 0mW/-40mW VDDRQ 465mW/365mW SYS5V 3480mW/3445mW
02-19-2025 09:03:34 RAM 10468/30991MB (lfb 3271x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,18%@2264,7%@2264,0%@2264,8%@2264,21%@2264,100%@2260,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48.5C Tdiode@50C PMIC@50C GPU 1086mW/1129mW CPU 3723mW/3162mW SOC 2792mW/2720mW CV 0mW/-38mW VDDRQ 310mW/363mW SYS5V 3440mW/3445mW
02-19-2025 09:03:34 RAM 10510/30991MB (lfb 3250x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2265,0%@2264,0%@2264,8%@2262,8%@2257,0%@2261,100%@2264,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1086mW/1128mW CPU 3414mW/3169mW SOC 2793mW/2722mW CV 0mW/-37mW VDDRQ 310mW/361mW SYS5V 3440mW/3444mW
