02-26-2025 09:09:45 RAM 9376/30991MB (lfb 3012x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,30%@2264,69%@2264,25%@2263,25%@2263,91%@2263,16%@2262,69%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47.5C GPU@49C Tdiode@50C PMIC@50C GPU 2015mW/2015mW CPU 3411mW/3411mW SOC 2791mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-26-2025 09:09:45 RAM 9392/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2263,50%@2264,30%@2263,58%@2262,16%@2263,92%@2264,46%@2264,66%@2267] EMC_FREQ 4%@2133 GR3D_FREQ 23%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.25C Tboard@48C AO@47C GPU@49C Tdiode@50C PMIC@50C GPU 2325mW/2170mW CPU 4183mW/3797mW SOC 2943mW/2867mW CV 0mW/0mW VDDRQ 619mW/542mW SYS5V 3560mW/3540mW
02-26-2025 09:09:45 RAM 9394/30991MB (lfb 3010x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2264,23%@2263,18%@2262,83%@2263,30%@2261,90%@2263,100%@2263,36%@2263] EMC_FREQ 5%@2133 GR3D_FREQ 24%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.25C Tboard@48C AO@47C GPU@50C Tdiode@50.25C PMIC@50C GPU 2941mW/2427mW CPU 4954mW/4182mW SOC 3096mW/2943mW CV 0mW/0mW VDDRQ 774mW/619mW SYS5V 3600mW/3560mW
02-26-2025 09:09:45 RAM 9388/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2261,36%@2263,35%@2264,81%@2263,42%@2266,64%@2263,84%@2263,36%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 3404mW/2671mW CPU 5571mW/4529mW SOC 3095mW/2981mW CV 0mW/0mW VDDRQ 773mW/657mW SYS5V 3640mW/3580mW
02-26-2025 09:09:45 RAM 9389/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,46%@2261,41%@2264,53%@2263,50%@2262,38%@2263,100%@2264,38%@2264] EMC_FREQ 7%@2133 GR3D_FREQ 46%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 3865mW/2910mW CPU 5875mW/4798mW SOC 3247mW/3034mW CV 0mW/0mW VDDRQ 927mW/711mW SYS5V 3680mW/3600mW
02-26-2025 09:09:45 RAM 9391/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2263,100%@2264,63%@2265,36%@2262,54%@2261,50%@2263,100%@2261,38%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4174mW/3120mW CPU 6182mW/5029mW SOC 3245mW/3069mW CV 0mW/0mW VDDRQ 927mW/747mW SYS5V 3720mW/3620mW
02-26-2025 09:09:45 RAM 9394/30991MB (lfb 3010x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2263,38%@2263,38%@2263,15%@2262,46%@2269,33%@2263,75%@2263,72%@2263] EMC_FREQ 9%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4327mW/3293mW CPU 6182mW/5194mW SOC 3245mW/3094mW CV 0mW/0mW VDDRQ 927mW/773mW SYS5V 3720mW/3634mW
02-26-2025 09:09:45 RAM 9392/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2264,25%@2263,100%@2262,33%@2264,69%@2262,25%@2263,23%@2261,81%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4482mW/3441mW CPU 6027mW/5298mW SOC 3245mW/3113mW CV 0mW/0mW VDDRQ 927mW/792mW SYS5V 3720mW/3645mW
02-26-2025 09:09:46 RAM 9392/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2263,16%@2264,100%@2266,50%@2260,21%@2260,66%@2265,21%@2264,100%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 4636mW/3574mW CPU 6027mW/5379mW SOC 3400mW/3145mW CV 0mW/0mW VDDRQ 1081mW/824mW SYS5V 3760mW/3657mW
02-26-2025 09:09:46 RAM 9392/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2263,23%@2264,100%@2263,42%@2263,27%@2264,16%@2264,50%@2263,92%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 38%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 4636mW/3680mW CPU 5873mW/5428mW SOC 3400mW/3170mW CV 0mW/0mW VDDRQ 1081mW/850mW SYS5V 3760mW/3668mW
02-26-2025 09:09:46 RAM 9392/30991MB (lfb 3011x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2263,18%@2262,66%@2261,58%@2262,63%@2262,8%@2262,100%@2263,16%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@48C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 4791mW/3781mW CPU 5873mW/5468mW SOC 3400mW/3191mW CV 0mW/0mW VDDRQ 1081mW/871mW SYS5V 3760mW/3676mW
