02-05-2025 10:57:57 RAM 12006/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [10%@2260,25%@2266,100%@2260,9%@2265,27%@2263,0%@2264,46%@2266,10%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.35C Tboard@48C AO@48C GPU@49C Tdiode@50.5C PMIC@50C GPU 2639mW/3024mW CPU 4500mW/5234mW SOC 2950mW/3037mW CV -310mW/-77mW VDDRQ 620mW/697mW SYS5V 3480mW/3563mW
02-05-2025 10:57:57 RAM 12006/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [16%@2263,9%@2266,100%@2264,8%@2264,18%@2264,18%@2264,36%@2265,16%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@51C thermal@49.35C Tboard@48C AO@48C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2639mW/2995mW CPU 4656mW/5190mW SOC 2948mW/3030mW CV 0mW/-71mW VDDRQ 620mW/691mW SYS5V 3480mW/3556mW
02-05-2025 10:57:57 RAM 12008/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [25%@2263,9%@2265,100%@2264,0%@2263,9%@2265,9%@2263,36%@2264,16%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@51C thermal@49.35C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2639mW/2969mW CPU 4657mW/5152mW SOC 2950mW/3024mW CV -310mW/-88mW VDDRQ 465mW/675mW SYS5V 3480mW/3551mW
02-05-2025 10:57:57 RAM 12009/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [10%@2265,25%@2265,100%@2263,7%@2261,9%@2265,16%@2265,0%@2267,33%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2639mW/2947mW CPU 4502mW/5108mW SOC 2950mW/3019mW CV 0mW/-82mW VDDRQ 620mW/671mW SYS5V 3480mW/3546mW
02-05-2025 10:57:57 RAM 11798/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [23%@2264,8%@2263,83%@2263,15%@2260,10%@2264,10%@2263,25%@2259,28%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.75C PMIC@50C GPU 2639mW/2928mW CPU 4347mW/5061mW SOC 2950mW/3015mW CV 0mW/-77mW VDDRQ 465mW/658mW SYS5V 3480mW/3542mW
02-05-2025 10:57:57 RAM 11800/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2264,8%@2262,8%@2263,16%@2263,10%@2262,9%@2264,0%@2262,27%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@49.35C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2640mW/2911mW CPU 3883mW/4991mW SOC 2950mW/3011mW CV 0mW/-72mW VDDRQ 465mW/647mW SYS5V 3480mW/3538mW
02-05-2025 10:57:57 RAM 11801/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2264,8%@2259,8%@2262,8%@2263,16%@2264,10%@2259,0%@2266,33%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2640mW/2896mW CPU 3572mW/4912mW SOC 2951mW/3008mW CV 0mW/-68mW VDDRQ 465mW/637mW SYS5V 3480mW/3535mW
02-05-2025 10:57:57 RAM 11803/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2264,0%@2264,16%@2264,8%@2256,0%@2265,9%@2263,0%@2265,25%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2640mW/2882mW CPU 3261mW/4825mW SOC 2795mW/2997mW CV 0mW/-65mW VDDRQ 465mW/628mW SYS5V 3480mW/3532mW
02-05-2025 10:57:57 RAM 11806/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [16%@2264,14%@2263,16%@2252,18%@2263,18%@2261,0%@2268,7%@2264,30%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@48C GPU@49C Tdiode@50.75C PMIC@50C GPU 2486mW/2862mW CPU 2952mW/4732mW SOC 2797mW/2987mW CV 0mW/-62mW VDDRQ 466mW/620mW SYS5V 3480mW/3530mW
02-05-2025 10:57:58 RAM 11808/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2267,9%@2264,8%@2264,16%@2264,9%@2264,16%@2263,8%@2265,33%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.75C PMIC@50C GPU 2641mW/2852mW CPU 2952mW/4647mW SOC 2797mW/2978mW CV 0mW/-59mW VDDRQ 465mW/612mW SYS5V 3480mW/3527mW
