02-19-2025 10:23:12 RAM 11401/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,8%@2262,18%@2264,58%@2263,83%@2263,50%@2265,21%@2265,16%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 5873mW/4897mW CPU 6027mW/5477mW SOC 3554mW/3325mW CV 0mW/0mW VDDRQ 1081mW/966mW SYS5V 3760mW/3686mW
02-19-2025 10:23:12 RAM 11403/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,18%@2264,26%@2265,63%@2271,61%@2263,83%@2263,9%@2264,8%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 5875mW/4973mW CPU 5873mW/5508mW SOC 3554mW/3343mW CV 0mW/0mW VDDRQ 1236mW/986mW SYS5V 3760mW/3692mW
02-19-2025 10:23:12 RAM 11401/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,0%@2264,9%@2264,50%@2264,27%@2264,46%@2264,27%@2264,54%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@50C Tdiode@49.75C PMIC@50C GPU 6027mW/5048mW CPU 5873mW/5534mW SOC 3554mW/3358mW CV 0mW/0mW VDDRQ 1081mW/993mW SYS5V 3760mW/3697mW
02-19-2025 10:23:12 RAM 11402/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,14%@2266,16%@2265,64%@2265,21%@2265,41%@2264,53%@2265,91%@2266] EMC_FREQ 15%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5113mW CPU 5873mW/5556mW SOC 3554mW/3371mW CV 0mW/0mW VDDRQ 1236mW/1009mW SYS5V 3800mW/3704mW
02-19-2025 10:23:12 RAM 11401/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2265,0%@2264,25%@2264,50%@2264,36%@2267,0%@2264,45%@2260,84%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5170mW CPU 5873mW/5576mW SOC 3554mW/3382mW CV 0mW/0mW VDDRQ 1236mW/1023mW SYS5V 3800mW/3710mW
02-19-2025 10:23:13 RAM 11401/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,16%@2267,100%@2265,50%@2267,15%@2271,42%@2264,84%@2262,16%@2260] EMC_FREQ 16%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@50C Tdiode@50C PMIC@50C GPU 6027mW/5221mW CPU 5873mW/5593mW SOC 3554mW/3392mW CV 0mW/0mW VDDRQ 1236mW/1036mW SYS5V 3800mW/3715mW
02-19-2025 10:23:13 RAM 11398/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,41%@2263,76%@2264,64%@2264,14%@2265,30%@2264,57%@2267,16%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5265mW CPU 6027mW/5618mW SOC 3554mW/3401mW CV 0mW/0mW VDDRQ 1236mW/1047mW SYS5V 3800mW/3720mW
02-19-2025 10:23:13 RAM 11399/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2264,84%@2266,45%@2265,100%@2265,38%@2264,14%@2264,50%@2265,15%@2269] EMC_FREQ 17%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@49.3C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5305mW CPU 6027mW/5639mW SOC 3554mW/3409mW CV 0mW/0mW VDDRQ 1081mW/1049mW SYS5V 3760mW/3722mW
02-19-2025 10:23:13 RAM 11397/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@2265,18%@2265,41%@2264,100%@2266,41%@2264,0%@2265,75%@2265,23%@2265] EMC_FREQ 17%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5341mW CPU 6027mW/5658mW SOC 3554mW/3416mW CV 0mW/0mW VDDRQ 1236mW/1058mW SYS5V 3800mW/3726mW
02-19-2025 10:23:13 RAM 11396/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2264,83%@2265,8%@2265,100%@2264,38%@2264,0%@2266,69%@2260,25%@2263] EMC_FREQ 17%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6027mW/5374mW CPU 6027mW/5676mW SOC 3554mW/3423mW CV 0mW/0mW VDDRQ 1236mW/1067mW SYS5V 3800mW/3729mW
02-19-2025 10:23:13 RAM 11395/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@2264,46%@2264,8%@2264,100%@2267,36%@2263,0%@2265,9%@2265,61%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 6182mW/5411mW CPU 6027mW/5692mW SOC 3554mW/3429mW CV 0mW/0mW VDDRQ 1081mW/1067mW SYS5V 3800mW/3732mW
02-19-2025 10:23:13 RAM 11398/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,15%@2269,15%@2265,100%@2262,50%@2265,76%@2263,9%@2263,61%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@50C Tdiode@50.25C PMIC@50C GPU 6027mW/5438mW CPU 5873mW/5700mW SOC 3554mW/3434mW CV 0mW/0mW VDDRQ 1236mW/1075mW SYS5V 3800mW/3735mW
02-19-2025 10:23:13 RAM 11397/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2263,8%@2258,7%@2264,100%@2264,84%@2261,46%@2264,16%@2269,76%@2263] EMC_FREQ 17%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@50C Tdiode@50.25C PMIC@50C GPU 6182mW/5469mW CPU 6027mW/5713mW SOC 3554mW/3439mW CV 0mW/0mW VDDRQ 1236mW/1081mW SYS5V 3800mW/3738mW
02-19-2025 10:23:14 RAM 11395/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2264,69%@2265,16%@2264,100%@2265,7%@2262,33%@2259,50%@2265,76%@2263] EMC_FREQ 18%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@50C Tdiode@50C PMIC@50C GPU 6182mW/5497mW CPU 6027mW/5726mW SOC 3554mW/3444mW CV 0mW/0mW VDDRQ 1236mW/1087mW SYS5V 3800mW/3740mW
02-19-2025 10:23:14 RAM 11399/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2262,69%@2266,15%@2264,100%@2264,0%@2265,41%@2264,58%@2265,75%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 6182mW/5523mW CPU 6182mW/5743mW SOC 3554mW/3448mW CV 0mW/0mW VDDRQ 1236mW/1093mW SYS5V 3800mW/3743mW
02-19-2025 10:23:14 RAM 11399/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2264,36%@2265,9%@2265,100%@2266,40%@2265,53%@2265,41%@2263,91%@2269] EMC_FREQ 18%@2133 GR3D_FREQ 38%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@47C AO@47C GPU@50C Tdiode@50.25C PMIC@50C GPU 6179mW/5548mW CPU 6334mW/5765mW SOC 3553mW/3452mW CV 0mW/0mW VDDRQ 1235mW/1098mW SYS5V 3800mW/3745mW
02-19-2025 10:23:14 RAM 11398/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,58%@2265,16%@2265,100%@2264,53%@2263,18%@2263,50%@2263,33%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 6027mW/5565mW CPU 6182mW/5780mW SOC 3554mW/3456mW CV 0mW/0mW VDDRQ 1236mW/1103mW SYS5V 3800mW/3747mW
02-19-2025 10:23:14 RAM 11397/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2265,53%@2264,8%@2262,100%@2264,45%@2277,50%@2263,38%@2265,8%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 6182mW/5586mW CPU 6179mW/5794mW SOC 3554mW/3459mW CV 0mW/0mW VDDRQ 1236mW/1108mW SYS5V 3800mW/3748mW
02-19-2025 10:23:14 RAM 11399/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,9%@2264,8%@2265,100%@2266,84%@2263,46%@2265,33%@2263,58%@2263] EMC_FREQ 18%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 6182mW/5606mW CPU 6179mW/5807mW SOC 3554mW/3462mW CV 0mW/0mW VDDRQ 1236mW/1112mW SYS5V 3800mW/3750mW
02-19-2025 10:23:14 RAM 11400/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2265,38%@2264,8%@2264,100%@2265,83%@2265,36%@2269,69%@2265,23%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 6179mW/5624mW CPU 6179mW/5819mW SOC 3553mW/3465mW CV 0mW/0mW VDDRQ 1235mW/1116mW SYS5V 3800mW/3752mW
02-19-2025 10:23:14 RAM 11400/30991MB (lfb 2900x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2261,33%@2264,8%@2263,100%@2266,66%@2265,30%@2265,61%@2264,23%@2264] EMC_FREQ 19%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47C GPU@50C Tdiode@50.25C PMIC@50C GPU 6179mW/5642mW CPU 6179mW/5830mW SOC 3553mW/3468mW CV 0mW/0mW VDDRQ 1235mW/1120mW SYS5V 3800mW/3753mW
