02-18-2025 09:08:07 RAM 10013/30991MB (lfb 2040x4MB) SWAP 1/15495MB (cached 0MB) CPU [23%@2263,9%@2263,8%@2264,0%@2262,100%@2264,0%@2263,8%@2264,0%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.55C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 465mW/529mW CPU 5276mW/4862mW SOC 2793mW/2819mW CV 0mW/-51mW VDDRQ 465mW/465mW SYS5V 3400mW/3456mW
02-18-2025 09:08:07 RAM 9916/30991MB (lfb 2064x4MB) SWAP 1/15495MB (cached 0MB) CPU [25%@2262,23%@2263,0%@2271,8%@2264,100%@2263,23%@2263,9%@2264,7%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@49.55C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 465mW/524mW CPU 4811mW/4858mW SOC 2793mW/2817mW CV 0mW/-47mW VDDRQ 465mW/465mW SYS5V 3400mW/3452mW
02-18-2025 09:08:07 RAM 9961/30991MB (lfb 2053x4MB) SWAP 1/15495MB (cached 0MB) CPU [23%@2263,91%@2264,8%@2264,16%@2263,15%@2263,9%@2264,30%@2264,23%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@49.55C Tboard@48C AO@47.5C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/520mW CPU 4656mW/4844mW SOC 2794mW/2815mW CV 0mW/-44mW VDDRQ 465mW/465mW SYS5V 3400mW/3448mW
02-18-2025 09:08:07 RAM 10003/30991MB (lfb 2042x4MB) SWAP 1/15495MB (cached 0MB) CPU [10%@2264,100%@2264,0%@2263,14%@2263,7%@2264,0%@2262,0%@2264,0%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.55C Tboard@48C AO@47.5C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/516mW CPU 4036mW/4790mW SOC 2794mW/2813mW CV 0mW/-41mW VDDRQ 465mW/465mW SYS5V 3360mW/3442mW
02-18-2025 09:08:07 RAM 10042/30991MB (lfb 2032x4MB) SWAP 1/15495MB (cached 0MB) CPU [16%@2262,100%@2264,8%@2264,0%@2262,0%@2263,0%@2257,0%@2264,7%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.55C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/513mW CPU 3727mW/4723mW SOC 2795mW/2812mW CV 0mW/-38mW VDDRQ 310mW/455mW SYS5V 3360mW/3437mW
02-18-2025 09:08:07 RAM 9953/30991MB (lfb 2055x4MB) SWAP 1/15495MB (cached 0MB) CPU [18%@2264,91%@2263,16%@2264,33%@2264,25%@2263,25%@2263,25%@2260,16%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@49.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/510mW CPU 3881mW/4674mW SOC 2795mW/2811mW CV -310mW/-54mW VDDRQ 465mW/455mW SYS5V 3360mW/3432mW
02-18-2025 09:08:07 RAM 9989/30991MB (lfb 2045x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2263,9%@2264,0%@2264,0%@2264,8%@2262,15%@2264,0%@2261,90%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.4C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/508mW CPU 3417mW/4604mW SOC 2640mW/2802mW CV 0mW/-51mW VDDRQ 465mW/456mW SYS5V 3400mW/3431mW
02-18-2025 09:08:07 RAM 10033/30991MB (lfb 2035x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2266,0%@2271,7%@2264,0%@2263,7%@2264,0%@2263,0%@2262,100%@2265] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.4C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/505mW CPU 3106mW/4525mW SOC 2640mW/2793mW CV 0mW/-48mW VDDRQ 310mW/448mW SYS5V 3360mW/3427mW
02-18-2025 09:08:08 RAM 9940/30991MB (lfb 2059x4MB) SWAP 1/15495MB (cached 0MB) CPU [18%@2262,53%@2264,25%@2264,18%@2262,36%@2264,10%@2263,30%@2263,46%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 7%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@49.4C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/503mW CPU 3572mW/4477mW SOC 2795mW/2793mW CV -310mW/-62mW VDDRQ 465mW/449mW SYS5V 3400mW/3426mW
02-18-2025 09:08:08 RAM 9973/30991MB (lfb 2050x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2264,8%@2263,8%@2258,100%@2257,0%@2263,15%@2261,0%@2270,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@49.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/501mW CPU 3106mW/4412mW SOC 2640mW/2786mW CV 0mW/-59mW VDDRQ 465mW/450mW SYS5V 3400mW/3424mW
