01-23-2025 10:07:28 RAM 7255/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [20%@2255,61%@2252,15%@2255,16%@2256,0%@2257,46%@2257,27%@2257,33%@2256] EMC_FREQ 9%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/1977mW CPU 3876mW/3747mW SOC 3256mW/3101mW CV 1706mW/1641mW VDDRQ 930mW/878mW SYS5V 3571mW/3541mW
01-23-2025 10:07:28 RAM 7258/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2257,23%@2257,21%@2256,16%@2258,0%@2258,46%@2261,38%@2256,61%@2258] EMC_FREQ 9%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/1992mW CPU 3876mW/3757mW SOC 3256mW/3113mW CV 1706mW/1646mW VDDRQ 930mW/882mW SYS5V 3571mW/3543mW
01-23-2025 10:07:29 RAM 7257/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [26%@2256,8%@2257,18%@2256,30%@2257,7%@2259,36%@2257,54%@2258,58%@2256] EMC_FREQ 10%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/2005mW CPU 4031mW/3777mW SOC 3256mW/3123mW CV 1706mW/1650mW VDDRQ 1085mW/896mW SYS5V 3571mW/3545mW
01-23-2025 10:07:29 RAM 7259/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2257,10%@2255,25%@2257,33%@2256,0%@2257,46%@2257,28%@2259,45%@2257] EMC_FREQ 10%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/2016mW CPU 4031mW/3794mW SOC 3256mW/3132mW CV 1861mW/1664mW VDDRQ 1085mW/909mW SYS5V 3571mW/3547mW
01-23-2025 10:07:29 RAM 7258/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [16%@2258,7%@2259,61%@2256,9%@2256,7%@2257,41%@2256,27%@2248,41%@2263] EMC_FREQ 10%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/2025mW CPU 3876mW/3799mW SOC 3256mW/3140mW CV 1861mW/1677mW VDDRQ 1085mW/920mW SYS5V 3611mW/3551mW
01-23-2025 10:07:29 RAM 7258/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2257,8%@2258,46%@2258,27%@2257,0%@2257,33%@2257,50%@2257,20%@2258] EMC_FREQ 10%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@50.5C thermal@49.25C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 2171mW/2034mW CPU 3876mW/3803mW SOC 3256mW/3147mW CV 1861mW/1688mW VDDRQ 1085mW/930mW SYS5V 3611mW/3554mW
01-23-2025 10:07:29 RAM 7260/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2256,18%@2257,23%@2256,36%@2261,0%@2256,50%@2257,45%@2256,30%@2256] EMC_FREQ 11%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@49.25C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 2171mW/2041mW CPU 3876mW/3807mW SOC 3256mW/3153mW CV 1861mW/1697mW VDDRQ 1085mW/938mW SYS5V 3611mW/3557mW
01-23-2025 10:07:29 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2257,41%@2257,0%@2257,15%@2254,0%@2256,46%@2256,53%@2254,30%@2257] EMC_FREQ 11%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 2171mW/2048mW CPU 3876mW/3811mW SOC 3256mW/3158mW CV 1861mW/1706mW VDDRQ 1085mW/946mW SYS5V 3611mW/3560mW
01-23-2025 10:07:29 RAM 7260/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2255,30%@2256,0%@2257,0%@2257,45%@2255,7%@2256,45%@2257,27%@2257] EMC_FREQ 11%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@51C thermal@49.25C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 2171mW/2054mW CPU 3876mW/3814mW SOC 3256mW/3163mW CV 1861mW/1713mW VDDRQ 1085mW/953mW SYS5V 3611mW/3563mW
01-23-2025 10:07:29 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2258,20%@2257,7%@2258,0%@2255,41%@2252,36%@2257,57%@2257,25%@2256] EMC_FREQ 11%@2133 GR3D_FREQ 4%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@49.25C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 2171mW/2060mW CPU 3876mW/3817mW SOC 3256mW/3167mW CV 1861mW/1720mW VDDRQ 1085mW/959mW SYS5V 3611mW/3565mW
