01-28-2025 14:36:49 RAM 13039/30991MB (lfb 11x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2257,41%@2258,46%@2257,61%@2258,23%@2259,38%@2257,15%@2259,15%@2258] EMC_FREQ 12%@1331 GR3D_FREQ 78%@[420] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@47.5C Tdiode@52.75C PMIC@50C GPU 1552mW/1318mW CPU 6205mW/5754mW SOC 1706mW/1680mW CV 0mW/0mW VDDRQ 930mW/878mW SYS5V 3170mW/3156mW
01-28-2025 14:36:49 RAM 13039/30991MB (lfb 11x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2261,69%@2258,69%@2260,66%@2257,21%@2256,42%@2257,23%@2258,30%@2257] EMC_FREQ 13%@1331 GR3D_FREQ 52%@[420] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@47.5C Tdiode@53C PMIC@50C GPU 1552mW/1336mW CPU 6205mW/5788mW SOC 1706mW/1682mW CV 0mW/0mW VDDRQ 930mW/882mW SYS5V 3170mW/3157mW
01-28-2025 14:36:49 RAM 13039/30991MB (lfb 11x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2259,69%@2258,42%@2257,63%@2257,28%@2257,30%@2257,16%@2256,0%@2259] EMC_FREQ 13%@1331 GR3D_FREQ 33%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1352mW CPU 6205mW/5818mW SOC 1706mW/1684mW CV 0mW/0mW VDDRQ 930mW/886mW SYS5V 3170mW/3158mW
01-28-2025 14:36:49 RAM 13040/30991MB (lfb 11x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2257,53%@2258,72%@2259,76%@2259,16%@2259,9%@2257,16%@2258,23%@2256] EMC_FREQ 13%@1331 GR3D_FREQ 48%@[522] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1552mW/1365mW CPU 6205mW/5844mW SOC 1706mW/1685mW CV 0mW/0mW VDDRQ 930mW/888mW SYS5V 3170mW/3159mW
01-28-2025 14:36:49 RAM 13059/30991MB (lfb 9x4MB) SWAP 0/15495MB (cached 0MB) CPU [78%@2256,66%@2259,93%@2257,71%@2258,63%@2258,33%@2259,58%@2257,58%@2258] EMC_FREQ 14%@1331 GR3D_FREQ 50%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1377mW CPU 6515mW/5886mW SOC 1706mW/1687mW CV 0mW/0mW VDDRQ 930mW/891mW SYS5V 3210mW/3162mW
01-28-2025 14:36:50 RAM 13053/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2258,58%@2258,80%@2256,81%@2262,76%@2257,53%@2259,72%@2261,60%@2258] EMC_FREQ 14%@1331 GR3D_FREQ 47%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1387mW CPU 6823mW/5941mW SOC 1706mW/1688mW CV 0mW/0mW VDDRQ 1085mW/902mW SYS5V 3210mW/3165mW
01-28-2025 14:36:50 RAM 13052/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [81%@2257,50%@2258,53%@2258,69%@2258,33%@2258,46%@2259,66%@2258,54%@2258] EMC_FREQ 15%@1331 GR3D_FREQ 39%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1396mW CPU 6823mW/5990mW SOC 1705mW/1689mW CV 0mW/0mW VDDRQ 1085mW/913mW SYS5V 3210mW/3167mW
01-28-2025 14:36:50 RAM 13055/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@2256,38%@2259,57%@2256,53%@2258,38%@2258,40%@2258,25%@2257,42%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 33%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1404mW CPU 6670mW/6026mW SOC 1706mW/1689mW CV 0mW/0mW VDDRQ 1085mW/922mW SYS5V 3210mW/3169mW
01-28-2025 14:36:50 RAM 13052/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2258,50%@2258,69%@2259,58%@2255,46%@2260,42%@2259,25%@2256,50%@2254] EMC_FREQ 15%@1331 GR3D_FREQ 65%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.75C Tboard@48C AO@48C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1411mW CPU 6515mW/6050mW SOC 1706mW/1690mW CV 0mW/0mW VDDRQ 930mW/922mW SYS5V 3210mW/3171mW
01-28-2025 14:36:50 RAM 13055/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2257,61%@2258,58%@2259,50%@2253,33%@2257,50%@2259,28%@2258,16%@2258] EMC_FREQ 15%@1331 GR3D_FREQ 83%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@52.75C PMIC@50C GPU 1551mW/1418mW CPU 6360mW/6065mW SOC 1706mW/1691mW CV 0mW/0mW VDDRQ 930mW/922mW SYS5V 3210mW/3173mW
01-28-2025 14:36:50 RAM 13052/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2259,58%@2258,53%@2259,63%@2257,33%@2254,54%@2258,46%@2259,38%@2259] EMC_FREQ 16%@1331 GR3D_FREQ 45%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1706mW/1431mW CPU 6360mW/6078mW SOC 1706mW/1692mW CV 0mW/0mW VDDRQ 1085mW/930mW SYS5V 3210mW/3175mW
01-28-2025 14:36:50 RAM 13055/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2258,46%@2259,69%@2258,75%@2258,64%@2259,27%@2257,16%@2259,25%@2258] EMC_FREQ 16%@1331 GR3D_FREQ 21%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1706mW/1443mW CPU 6205mW/6084mW SOC 1706mW/1692mW CV 0mW/0mW VDDRQ 1085mW/936mW SYS5V 3210mW/3176mW
01-28-2025 14:36:50 RAM 13053/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [81%@2257,76%@2254,40%@2258,54%@2258,25%@2257,30%@2258,23%@2252,27%@2258] EMC_FREQ 16%@1331 GR3D_FREQ 56%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1706mW/1454mW CPU 6205mW/6089mW SOC 1706mW/1693mW CV 0mW/0mW VDDRQ 1085mW/943mW SYS5V 3210mW/3178mW
01-28-2025 14:36:51 RAM 13055/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2258,66%@2259,66%@2258,66%@2257,27%@2258,30%@2256,25%@2258,9%@2257] EMC_FREQ 16%@1331 GR3D_FREQ 9%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1706mW/1464mW CPU 6050mW/6087mW SOC 1706mW/1693mW CV 0mW/0mW VDDRQ 930mW/942mW SYS5V 3210mW/3179mW
01-28-2025 14:36:51 RAM 13054/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2260,64%@2259,54%@2259,33%@2258,30%@2255,23%@2259,30%@2257,23%@2259] EMC_FREQ 16%@1331 GR3D_FREQ 59%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 1552mW/1467mW CPU 5897mW/6080mW SOC 1707mW/1694mW CV 0mW/0mW VDDRQ 931mW/942mW SYS5V 3170mW/3179mW
01-28-2025 14:36:51 RAM 13054/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2257,45%@2259,66%@2255,46%@2259,8%@2259,26%@2259,8%@2258,35%@2257] EMC_FREQ 16%@1331 GR3D_FREQ 67%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1471mW CPU 5742mW/6067mW SOC 1707mW/1694mW CV 0mW/0mW VDDRQ 931mW/941mW SYS5V 3170mW/3178mW
01-28-2025 14:36:51 RAM 13056/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2257,63%@2259,57%@2257,61%@2259,16%@2259,25%@2259,21%@2258,25%@2259] EMC_FREQ 16%@1331 GR3D_FREQ 45%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1473mW CPU 5587mW/6050mW SOC 1707mW/1695mW CV 0mW/0mW VDDRQ 931mW/941mW SYS5V 3170mW/3178mW
01-28-2025 14:36:51 RAM 13055/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2257,41%@2257,54%@2259,50%@2257,18%@2257,25%@2259,16%@2256,25%@2254] EMC_FREQ 15%@1331 GR3D_FREQ 8%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1476mW CPU 5432mW/6029mW SOC 1707mW/1695mW CV 0mW/0mW VDDRQ 931mW/940mW SYS5V 3170mW/3178mW
01-28-2025 14:36:51 RAM 13057/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2258,72%@2258,42%@2259,27%@2257,30%@2258,36%@2258,18%@2257,16%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 17%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1479mW CPU 5432mW/6009mW SOC 1707mW/1696mW CV 0mW/0mW VDDRQ 931mW/940mW SYS5V 3170mW/3177mW
01-28-2025 14:36:51 RAM 13056/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2259,61%@2255,46%@2258,46%@2258,38%@2259,18%@2259,16%@2259,16%@2258] EMC_FREQ 15%@1331 GR3D_FREQ 24%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1481mW CPU 5278mW/5985mW SOC 1707mW/1696mW CV 0mW/0mW VDDRQ 931mW/940mW SYS5V 3170mW/3177mW
01-28-2025 14:36:51 RAM 13057/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2258,53%@2258,72%@2257,69%@2258,27%@2255,38%@2256,27%@2258,63%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 8%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1483mW CPU 5432mW/5968mW SOC 1707mW/1696mW CV 0mW/0mW VDDRQ 931mW/940mW SYS5V 3170mW/3177mW
01-28-2025 14:36:52 RAM 13054/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2258,58%@2258,66%@2257,50%@2254,50%@2258,46%@2258,69%@2258,42%@2259] EMC_FREQ 15%@1331 GR3D_FREQ 74%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1485mW CPU 5897mW/5966mW SOC 1707mW/1697mW CV 0mW/0mW VDDRQ 931mW/939mW SYS5V 3170mW/3177mW
01-28-2025 14:36:52 RAM 13054/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2255,61%@2253,58%@2264,58%@2259,38%@2258,23%@2259,10%@2260,35%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 9%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1487mW CPU 5742mW/5959mW SOC 1707mW/1697mW CV 0mW/0mW VDDRQ 931mW/939mW SYS5V 3210mW/3178mW
01-28-2025 14:36:52 RAM 13059/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2256,73%@2258,46%@2257,38%@2255,30%@2257,41%@2257,42%@2255,69%@2258] EMC_FREQ 15%@1331 GR3D_FREQ 79%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1489mW CPU 6052mW/5962mW SOC 1707mW/1697mW CV 0mW/0mW VDDRQ 931mW/939mW SYS5V 3210mW/3179mW
01-28-2025 14:36:52 RAM 13059/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2258,63%@2252,58%@2256,61%@2254,25%@2256,36%@2258,30%@2256,33%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 13%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1491mW CPU 5897mW/5960mW SOC 1707mW/1697mW CV 0mW/0mW VDDRQ 931mW/939mW SYS5V 3210mW/3179mW
01-28-2025 14:36:52 RAM 13056/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2256,63%@2258,58%@2257,75%@2259,38%@2257,38%@2255,15%@2258,23%@2259] EMC_FREQ 15%@1331 GR3D_FREQ 19%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1492mW CPU 5897mW/5958mW SOC 1707mW/1698mW CV 0mW/0mW VDDRQ 931mW/938mW SYS5V 3210mW/3180mW
01-28-2025 14:36:52 RAM 13056/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2257,61%@2258,50%@2263,41%@2257,28%@2256,38%@2258,30%@2252,9%@2257] EMC_FREQ 15%@1331 GR3D_FREQ 6%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1494mW CPU 5742mW/5953mW SOC 1707mW/1698mW CV 0mW/0mW VDDRQ 931mW/938mW SYS5V 3170mW/3180mW
01-28-2025 14:36:52 RAM 13059/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2258,58%@2255,38%@2255,50%@2258,25%@2253,30%@2255,23%@2257,16%@2256] EMC_FREQ 15%@1331 GR3D_FREQ 33%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1495mW CPU 5587mW/5943mW SOC 1707mW/1698mW CV 0mW/0mW VDDRQ 931mW/938mW SYS5V 3210mW/3181mW
01-28-2025 14:36:52 RAM 13057/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2256,45%@2258,50%@2257,54%@2258,25%@2258,33%@2258,23%@2250,15%@2255] EMC_FREQ 15%@1331 GR3D_FREQ 10%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@47.5C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1497mW CPU 5587mW/5934mW SOC 1707mW/1698mW CV 0mW/0mW VDDRQ 931mW/938mW SYS5V 3210mW/3181mW
01-28-2025 14:36:53 RAM 13058/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2258,58%@2258,50%@2258,66%@2257,30%@2258,50%@2257,30%@2258,18%@2251] EMC_FREQ 15%@1331 GR3D_FREQ 45%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1498mW CPU 5432mW/5922mW SOC 1707mW/1698mW CV 0mW/0mW VDDRQ 931mW/938mW SYS5V 3210mW/3182mW
01-28-2025 14:36:53 RAM 13058/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2257,58%@2258,58%@2257,33%@2257,15%@2263,9%@2258,18%@2254,41%@2257] EMC_FREQ 15%@1331 GR3D_FREQ 10%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1499mW CPU 5432mW/5910mW SOC 1707mW/1699mW CV 0mW/0mW VDDRQ 931mW/937mW SYS5V 3170mW/3182mW
01-28-2025 14:36:53 RAM 13057/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2258,33%@2257,53%@2258,33%@2258,16%@2258,16%@2254,23%@2259,23%@2257] EMC_FREQ 15%@1331 GR3D_FREQ 42%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53.25C PMIC@50C GPU 1552mW/1501mW CPU 5276mW/5896mW SOC 1707mW/1699mW CV 0mW/0mW VDDRQ 931mW/937mW SYS5V 3170mW/3182mW
01-28-2025 14:36:53 RAM 13056/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2257,78%@2257,46%@2254,25%@2257,30%@2258,25%@2259,28%@2259,21%@2255] EMC_FREQ 15%@1331 GR3D_FREQ 13%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53.25C PMIC@50C GPU 1552mW/1502mW CPU 5121mW/5878mW SOC 1707mW/1699mW CV 0mW/0mW VDDRQ 931mW/937mW SYS5V 3170mW/3181mW
01-28-2025 14:36:53 RAM 13058/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2258,76%@2255,33%@2257,61%@2255,25%@2259,27%@2256,23%@2259,25%@2259] EMC_FREQ 15%@1331 GR3D_FREQ 74%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1552mW/1503mW CPU 5276mW/5865mW SOC 1707mW/1699mW CV 0mW/0mW VDDRQ 931mW/937mW SYS5V 3170mW/3181mW
01-28-2025 14:36:53 RAM 13060/30991MB (lfb 10x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2259,71%@2258,33%@2261,36%@2257,23%@2258,25%@2256,16%@2259,16%@2257] EMC_FREQ 14%@1331 GR3D_FREQ 5%@[624] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48C Tdiode@53C PMIC@50C GPU 1397mW/1501mW CPU 5123mW/5848mW SOC 1707mW/1699mW CV 0mW/0mW VDDRQ 931mW/937mW SYS5V 3170mW/3181mW
