02-07-2025 09:46:49 RAM 8345/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2263,50%@2267,38%@2264,18%@2264,41%@2265,33%@2259,66%@2264,63%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 57%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@47.5C Tdiode@50C PMIC@50C GPU 932mW/932mW CPU 3263mW/3263mW SOC 2797mW/2797mW CV 0mW/0mW VDDRQ 621mW/621mW SYS5V 3440mW/3440mW
02-07-2025 09:46:49 RAM 8345/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,46%@2264,15%@2264,16%@2263,36%@2264,36%@2264,45%@2264,53%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 48%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1242mW/1087mW CPU 3726mW/3494mW SOC 2951mW/2874mW CV 0mW/0mW VDDRQ 621mW/621mW SYS5V 3480mW/3460mW
02-07-2025 09:46:49 RAM 8346/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,30%@2260,9%@2264,8%@2264,36%@2262,53%@2264,23%@2263,63%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 62%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1397mW/1190mW CPU 4036mW/3675mW SOC 2950mW/2899mW CV 0mW/0mW VDDRQ 776mW/672mW SYS5V 3480mW/3466mW
02-07-2025 09:46:49 RAM 8347/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2265,18%@2260,25%@2267,9%@2264,61%@2263,27%@2268,38%@2264,57%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 79%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1552mW/1280mW CPU 4345mW/3842mW SOC 3104mW/2950mW CV 0mW/0mW VDDRQ 776mW/698mW SYS5V 3520mW/3480mW
02-07-2025 09:46:49 RAM 8348/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2265,0%@2263,54%@2264,16%@2263,25%@2263,58%@2264,41%@2264,45%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 40%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50.25C PMIC@50C GPU 1552mW/1335mW CPU 4498mW/3973mW SOC 3104mW/2981mW CV -310mW/-62mW VDDRQ 775mW/713mW SYS5V 3560mW/3496mW
02-07-2025 09:46:49 RAM 8350/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2263,0%@2266,14%@2264,16%@2256,66%@2264,69%@2262,46%@2264,58%@2264] EMC_FREQ 7%@2133 GR3D_FREQ 84%@[420] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@48C AO@47.5C GPU@48C Tdiode@50.25C PMIC@50C GPU 1706mW/1396mW CPU 4498mW/4061mW SOC 3102mW/3001mW CV 0mW/-51mW VDDRQ 775mW/724mW SYS5V 3560mW/3506mW
02-07-2025 09:46:49 RAM 8349/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [10%@2268,8%@2265,9%@2263,16%@2264,84%@2265,63%@2264,46%@2264,50%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 57%@[522] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47.5C GPU@48C Tdiode@50C PMIC@50C GPU 1706mW/1441mW CPU 4654mW/4145mW SOC 3102mW/3015mW CV -310mW/-88mW VDDRQ 930mW/753mW SYS5V 3560mW/3514mW
02-07-2025 09:46:49 RAM 8348/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2263,30%@2263,14%@2264,16%@2264,70%@2264,66%@2264,36%@2264,50%@2257] EMC_FREQ 8%@2133 GR3D_FREQ 52%@[522] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1861mW/1493mW CPU 4654mW/4209mW SOC 3257mW/3045mW CV 0mW/-77mW VDDRQ 930mW/775mW SYS5V 3600mW/3525mW
02-07-2025 09:46:50 RAM 8347/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2264,25%@2266,9%@2264,16%@2263,81%@2257,63%@2265,16%@2263,50%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 33%@[522] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1861mW/1534mW CPU 4807mW/4275mW SOC 3257mW/3069mW CV 0mW/-68mW VDDRQ 930mW/792mW SYS5V 3600mW/3533mW
02-07-2025 09:46:50 RAM 8348/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2264,25%@2264,0%@2264,15%@2263,81%@2264,66%@2258,25%@2263,58%@2263] EMC_FREQ 9%@2133 GR3D_FREQ 29%@[522] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1861mW/1567mW CPU 4807mW/4328mW SOC 3257mW/3088mW CV 0mW/-62mW VDDRQ 930mW/806mW SYS5V 3600mW/3540mW
02-07-2025 09:46:50 RAM 8345/30991MB (lfb 2866x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2266,27%@2264,14%@2264,16%@2264,84%@2266,69%@2264,16%@2264,54%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 25%@[522] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@48C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 2016mW/1607mW CPU 4807mW/4372mW SOC 3257mW/3103mW CV 0mW/-56mW VDDRQ 930mW/817mW SYS5V 3600mW/3545mW
