02-07-2025 09:41:27 RAM 8120/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2263,35%@2263,15%@2264,25%@2264,100%@2264,0%@2264,69%@2270,8%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 55%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2171mW/1731mW CPU 4962mW/5117mW SOC 3256mW/3179mW CV 0mW/-103mW VDDRQ 930mW/878mW SYS5V 3600mW/3580mW
02-07-2025 09:41:27 RAM 8126/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,27%@2265,0%@2264,27%@2262,100%@2265,15%@2265,72%@2264,0%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 46%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 2326mW/1777mW CPU 4962mW/5105mW SOC 3256mW/3184mW CV 0mW/-95mW VDDRQ 930mW/882mW SYS5V 3600mW/3581mW
02-07-2025 09:41:27 RAM 8132/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [28%@2265,23%@2263,8%@2268,35%@2264,100%@2264,8%@2264,71%@2266,0%@2265] EMC_FREQ 11%@2133 GR3D_FREQ 50%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 2326mW/1816mW CPU 4962mW/5095mW SOC 3256mW/3190mW CV 0mW/-88mW VDDRQ 930mW/885mW SYS5V 3600mW/3582mW
02-07-2025 09:41:27 RAM 8002/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2258,0%@2262,23%@2264,25%@2264,100%@2263,0%@2260,72%@2262,23%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 48%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2326mW/1850mW CPU 4807mW/5075mW SOC 3256mW/3194mW CV 0mW/-82mW VDDRQ 930mW/888mW SYS5V 3600mW/3584mW
02-07-2025 09:41:27 RAM 7928/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2265,0%@2265,18%@2264,33%@2263,18%@2264,16%@2262,69%@2264,25%@2268] EMC_FREQ 12%@2133 GR3D_FREQ 57%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2327mW/1880mW CPU 4652mW/5049mW SOC 3257mW/3198mW CV 0mW/-77mW VDDRQ 930mW/891mW SYS5V 3600mW/3585mW
02-07-2025 09:41:27 RAM 7934/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2264,0%@2253,16%@2264,25%@2263,0%@2262,0%@2264,45%@2264,50%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 55%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2327mW/1906mW CPU 4188mW/4998mW SOC 3257mW/3201mW CV 0mW/-72mW VDDRQ 930mW/893mW SYS5V 3600mW/3585mW
02-07-2025 09:41:28 RAM 7940/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2263,8%@2261,33%@2265,33%@2269,0%@2263,0%@2264,7%@2264,63%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 49%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2327mW/1929mW CPU 3878mW/4936mW SOC 3257mW/3204mW CV 0mW/-68mW VDDRQ 930mW/895mW SYS5V 3600mW/3586mW
02-07-2025 09:41:28 RAM 7946/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2265,8%@2259,30%@2264,38%@2264,8%@2263,8%@2264,0%@2263,72%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 49%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2328mW/1950mW CPU 3723mW/4872mW SOC 3259mW/3207mW CV 0mW/-65mW VDDRQ 930mW/897mW SYS5V 3600mW/3587mW
02-07-2025 09:41:28 RAM 7952/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2264,8%@2255,25%@2266,38%@2265,8%@2263,8%@2261,0%@2263,66%@2259] EMC_FREQ 13%@2133 GR3D_FREQ 55%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2328mW/1969mW CPU 3569mW/4807mW SOC 3259mW/3210mW CV -310mW/-77mW VDDRQ 931mW/899mW SYS5V 3600mW/3588mW
02-07-2025 09:41:28 RAM 7958/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2264,8%@2263,0%@2263,27%@2264,27%@2263,8%@2258,0%@2264,72%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 57%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@47C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2328mW/1986mW CPU 3414mW/4741mW SOC 3259mW/3212mW CV 0mW/-73mW VDDRQ 931mW/900mW SYS5V 3600mW/3588mW
