02-05-2025 09:50:42 RAM 9738/30991MB (lfb 15x4MB) SWAP 9/15495MB (cached 0MB) CPU [16%@2263,0%@2264,8%@2260,16%@2264,8%@2264,92%@2264,25%@2260,10%@2259] EMC_FREQ 2%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@47C AO@47.5C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1100mW CPU 3575mW/3936mW SOC 2642mW/2680mW CV 0mW/0mW VDDRQ 310mW/322mW SYS5V 3400mW/3436mW
02-05-2025 09:50:42 RAM 9766/30991MB (lfb 8x4MB) SWAP 9/15495MB (cached 0MB) CPU [15%@2266,23%@2263,7%@2263,61%@2263,0%@2259,100%@2263,33%@2264,33%@2264] EMC_FREQ 2%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1099mW CPU 3730mW/3920mW SOC 2642mW/2677mW CV 0mW/0mW VDDRQ 310mW/321mW SYS5V 3400mW/3433mW
02-05-2025 09:50:42 RAM 9789/30991MB (lfb 5x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2263,15%@2265,15%@2264,8%@2260,8%@2259,100%@2265,23%@2263,30%@2264] EMC_FREQ 2%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1098mW CPU 3730mW/3907mW SOC 2642mW/2674mW CV 0mW/0mW VDDRQ 310mW/321mW SYS5V 3400mW/3431mW
02-05-2025 09:50:43 RAM 9815/30991MB (lfb 5x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2263,0%@2264,0%@2264,0%@2262,8%@2263,100%@2261,23%@2265,16%@2262] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1098mW CPU 3575mW/3884mW SOC 2642mW/2672mW CV 0mW/0mW VDDRQ 310mW/320mW SYS5V 3400mW/3429mW
02-05-2025 09:50:43 RAM 9837/30991MB (lfb 5x4MB) SWAP 9/15495MB (cached 0MB) CPU [0%@2263,8%@2265,0%@2263,0%@2255,0%@2264,92%@2263,10%@2254,9%@2262] EMC_FREQ 2%@2133 GR3D_FREQ 4%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1097mW CPU 3420mW/3855mW SOC 2642mW/2670mW CV 0mW/0mW VDDRQ 310mW/319mW SYS5V 3400mW/3427mW
02-05-2025 09:50:43 RAM 9861/30991MB (lfb 4x4MB) SWAP 9/15495MB (cached 0MB) CPU [15%@2263,8%@2261,0%@2264,8%@2264,7%@2261,100%@2258,16%@2265,21%@2264] EMC_FREQ 2%@2133 GR3D_FREQ 4%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1088mW/1096mW CPU 3264mW/3821mW SOC 2642mW/2669mW CV 0mW/0mW VDDRQ 310mW/319mW SYS5V 3400mW/3425mW
02-05-2025 09:50:43 RAM 9875/30991MB (lfb 4x4MB) SWAP 9/15495MB (cached 0MB) CPU [25%@2265,16%@2265,23%@2264,21%@2264,8%@2260,100%@2267,16%@2265,10%@2265] EMC_FREQ 2%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1243mW/1104mW CPU 3575mW/3807mW SOC 2642mW/2667mW CV 0mW/0mW VDDRQ 310mW/318mW SYS5V 3400mW/3424mW
02-05-2025 09:50:43 RAM 9872/30991MB (lfb 4x4MB) SWAP 9/15495MB (cached 0MB) CPU [16%@2263,15%@2262,8%@2262,18%@2271,16%@2263,100%@2260,8%@2262,0%@2263] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.75C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1243mW/1112mW CPU 3574mW/3795mW SOC 2641mW/2666mW CV 0mW/0mW VDDRQ 310mW/318mW SYS5V 3440mW/3425mW
02-05-2025 09:50:43 RAM 9867/30991MB (lfb 4x4MB) SWAP 9/15495MB (cached 0MB) CPU [23%@2262,9%@2263,0%@2262,23%@2265,0%@2262,100%@2260,0%@2267,0%@2270] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.6C Tboard@47C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1088mW/1111mW CPU 3574mW/3784mW SOC 2797mW/2672mW CV 0mW/0mW VDDRQ 310mW/317mW SYS5V 3440mW/3426mW
02-05-2025 09:50:43 RAM 9869/30991MB (lfb 4x4MB) SWAP 9/15495MB (cached 0MB) CPU [16%@2265,8%@2263,23%@2266,61%@2264,8%@2263,100%@2263,25%@2267,21%@2265] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@48.6C Tboard@47C AO@47C GPU@48C Tdiode@50C PMIC@50C GPU 1087mW/1109mW CPU 3884mW/3788mW SOC 2797mW/2678mW CV 0mW/0mW VDDRQ 466mW/324mW SYS5V 3440mW/3426mW
