01-23-2025 10:27:14 RAM 5184/30991MB (lfb 5883x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@1793,76%@1790,71%@1791,66%@1788,off,off,off,off] EMC_FREQ 9%@1600 GR3D_FREQ 34%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.5C PMIC@50C GPU 2020mW/1761mW CPU 2798mW/2577mW SOC 2020mW/1994mW CV 0mW/0mW VDDRQ 932mW/815mW SYS5V 3049mW/3012mW
01-23-2025 10:27:15 RAM 5188/30991MB (lfb 5883x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@1793,61%@1790,92%@1788,64%@1791,off,off,off,off] EMC_FREQ 9%@1600 GR3D_FREQ 45%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.5C PMIC@50C GPU 2020mW/1781mW CPU 2798mW/2594mW SOC 2020mW/1996mW CV 0mW/0mW VDDRQ 932mW/824mW SYS5V 3049mW/3015mW
01-23-2025 10:27:15 RAM 5188/30991MB (lfb 5882x4MB) SWAP 0/15495MB (cached 0MB) CPU [91%@1793,71%@1792,76%@1792,66%@1787,off,off,off,off] EMC_FREQ 10%@1600 GR3D_FREQ 46%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.5C PMIC@50C GPU 2020mW/1798mW CPU 2798mW/2609mW SOC 2020mW/1998mW CV 0mW/0mW VDDRQ 932mW/832mW SYS5V 3049mW/3017mW
01-23-2025 10:27:15 RAM 5189/30991MB (lfb 5882x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@1794,75%@1791,84%@1788,75%@1792,off,off,off,off] EMC_FREQ 10%@1600 GR3D_FREQ 44%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1813mW CPU 2797mW/2621mW SOC 2020mW/1999mW CV 0mW/0mW VDDRQ 932mW/839mW SYS5V 3049mW/3019mW
01-23-2025 10:27:15 RAM 5191/30991MB (lfb 5882x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@1789,86%@1789,81%@1794,83%@1790,off,off,off,off] EMC_FREQ 10%@1600 GR3D_FREQ 43%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1826mW CPU 2797mW/2632mW SOC 2020mW/2000mW CV 0mW/0mW VDDRQ 932mW/844mW SYS5V 3049mW/3021mW
01-23-2025 10:27:15 RAM 5191/30991MB (lfb 5881x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@1793,45%@1791,92%@1796,76%@1788,off,off,off,off] EMC_FREQ 10%@1600 GR3D_FREQ 46%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1837mW CPU 2797mW/2642mW SOC 2020mW/2001mW CV 0mW/0mW VDDRQ 932mW/849mW SYS5V 3049mW/3023mW
01-23-2025 10:27:15 RAM 5193/30991MB (lfb 5881x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@1790,61%@1790,75%@1790,91%@1789,off,off,off,off] EMC_FREQ 11%@1600 GR3D_FREQ 44%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1847mW CPU 2797mW/2651mW SOC 2020mW/2002mW CV 0mW/0mW VDDRQ 932mW/854mW SYS5V 3049mW/3024mW
01-23-2025 10:27:15 RAM 5196/30991MB (lfb 5881x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@1789,91%@1790,76%@1790,73%@1791,off,off,off,off] EMC_FREQ 11%@1600 GR3D_FREQ 39%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1856mW CPU 2797mW/2658mW SOC 2020mW/2003mW CV 0mW/0mW VDDRQ 932mW/858mW SYS5V 3049mW/3025mW
01-23-2025 10:27:16 RAM 5200/30991MB (lfb 5880x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@1793,76%@1791,71%@1792,66%@1794,off,off,off,off] EMC_FREQ 11%@1600 GR3D_FREQ 45%@[905] VIC_FREQ 1036 APE 150 AUX@45C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.75C PMIC@50C GPU 2020mW/1864mW CPU 2797mW/2665mW SOC 2175mW/2012mW CV 0mW/0mW VDDRQ 932mW/862mW SYS5V 3049mW/3027mW
01-23-2025 10:27:16 RAM 5198/30991MB (lfb 5880x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@1804,75%@1803,66%@1804,73%@1803,off,off,off,off] EMC_FREQ 11%@1600 GR3D_FREQ 46%@[905] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@47.5C thermal@46.05C Tboard@46C AO@45.5C GPU@46C Tdiode@50.5C PMIC@50C GPU 2020mW/1872mW CPU 2797mW/2671mW SOC 2020mW/2012mW CV 0mW/0mW VDDRQ 932mW/865mW SYS5V 3049mW/3028mW
