02-11-2025 09:55:14 RAM 10001/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@2264,63%@2263,78%@2264,69%@2263,50%@2265,50%@2262,54%@2264,58%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5718mW/4923mW CPU 6027mW/5271mW SOC 3554mW/3338mW CV 0mW/0mW VDDRQ 1081mW/979mW SYS5V 3760mW/3696mW
02-11-2025 09:55:14 RAM 10003/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2261,84%@2264,36%@2269,41%@2255,54%@2259,53%@2264,69%@2261,76%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5564mW/4973mW CPU 6336mW/5353mW SOC 3554mW/3354mW CV 0mW/0mW VDDRQ 1081mW/987mW SYS5V 3760mW/3701mW
02-11-2025 09:55:14 RAM 10007/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2266,53%@2263,18%@2261,83%@2259,50%@2263,18%@2263,46%@2264,46%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 5718mW/5026mW CPU 6336mW/5423mW SOC 3554mW/3369mW CV 0mW/0mW VDDRQ 1081mW/993mW SYS5V 3760mW/3705mW
02-11-2025 09:55:14 RAM 10007/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [60%@2263,69%@2264,84%@2264,61%@2263,63%@2263,72%@2264,69%@2264,58%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48C GPU@50.5C Tdiode@51C PMIC@50C GPU 5718mW/5072mW CPU 6643mW/5505mW SOC 3553mW/3381mW CV 0mW/0mW VDDRQ 1236mW/1009mW SYS5V 3760mW/3709mW
02-11-2025 09:55:14 RAM 10008/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [62%@2264,61%@2264,64%@2266,78%@2263,75%@2263,78%@2260,58%@2263,53%@2262] EMC_FREQ 15%@2133 GR3D_FREQ 27%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5716mW/5112mW CPU 6797mW/5585mW SOC 3553mW/3392mW CV 0mW/0mW VDDRQ 1235mW/1024mW SYS5V 3800mW/3715mW
02-11-2025 09:55:14 RAM 10012/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [55%@2264,41%@2262,66%@2263,83%@2262,64%@2267,46%@2263,63%@2264,50%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5716mW/5148mW CPU 6797mW/5657mW SOC 3553mW/3401mW CV 0mW/0mW VDDRQ 1235mW/1036mW SYS5V 3800mW/3720mW
02-11-2025 09:55:15 RAM 10014/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2264,71%@2264,83%@2262,75%@2264,45%@2257,60%@2264,58%@2261,61%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48C GPU@50.5C Tdiode@51C PMIC@50C GPU 5716mW/5179mW CPU 6952mW/5728mW SOC 3553mW/3410mW CV 0mW/0mW VDDRQ 1235mW/1047mW SYS5V 3800mW/3724mW
02-11-2025 09:55:15 RAM 10017/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2264,27%@2262,50%@2262,41%@2260,75%@2263,33%@2261,42%@2263,50%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5716mW/5207mW CPU 6643mW/5777mW SOC 3553mW/3417mW CV 0mW/0mW VDDRQ 1235mW/1057mW SYS5V 3800mW/3728mW
02-11-2025 09:55:15 RAM 10016/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2263,57%@2262,57%@2263,64%@2263,53%@2263,60%@2262,58%@2263,66%@2260] EMC_FREQ 16%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5716mW/5233mW CPU 6643mW/5820mW SOC 3553mW/3424mW CV 0mW/0mW VDDRQ 1235mW/1066mW SYS5V 3800mW/3732mW
02-11-2025 09:55:15 RAM 10018/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2264,61%@2263,75%@2264,75%@2264,53%@2263,36%@2260,60%@2264,50%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5716mW/5256mW CPU 6643mW/5859mW SOC 3553mW/3430mW CV 0mW/0mW VDDRQ 1235mW/1074mW SYS5V 3800mW/3735mW
02-11-2025 09:55:15 RAM 10021/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2264,58%@2264,58%@2264,58%@2263,41%@2261,35%@2264,58%@2263,50%@2266] EMC_FREQ 17%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48C GPU@51C Tdiode@51.25C PMIC@50C GPU 5564mW/5270mW CPU 6646mW/5895mW SOC 3554mW/3436mW CV 0mW/0mW VDDRQ 1235mW/1081mW SYS5V 3760mW/3736mW
02-11-2025 09:55:15 RAM 10020/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,30%@2261,50%@2263,36%@2263,57%@2263,70%@2263,58%@2268,46%@2262] EMC_FREQ 17%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5564mW/5283mW CPU 6491mW/5921mW SOC 3554mW/3441mW CV 0mW/0mW VDDRQ 1236mW/1088mW SYS5V 3760mW/3737mW
02-11-2025 09:55:15 RAM 10031/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,50%@2270,50%@2263,85%@2263,58%@2264,64%@2265,71%@2263,80%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5718mW/5301mW CPU 6488mW/5944mW SOC 3553mW/3445mW CV 0mW/0mW VDDRQ 1235mW/1094mW SYS5V 3800mW/3740mW
02-11-2025 09:55:16 RAM 10032/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@2265,75%@2264,69%@2264,86%@2264,92%@2260,91%@2263,83%@2263,75%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5561mW/5311mW CPU 7106mW/5991mW SOC 3553mW/3450mW CV 0mW/0mW VDDRQ 1235mW/1100mW SYS5V 3800mW/3742mW
02-11-2025 09:55:16 RAM 10031/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,69%@2264,64%@2264,100%@2263,75%@2264,85%@2264,75%@2265,92%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 66%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5559mW/5321mW CPU 7567mW/6051mW SOC 3551mW/3454mW CV 0mW/0mW VDDRQ 1235mW/1105mW SYS5V 3800mW/3744mW
02-11-2025 09:55:16 RAM 10031/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2262,58%@2263,63%@2263,54%@2263,76%@2263,70%@2263,69%@2260,63%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5559mW/5329mW CPU 7412mW/6102mW SOC 3551mW/3457mW CV 0mW/0mW VDDRQ 1235mW/1110mW SYS5V 3800mW/3746mW
02-11-2025 09:55:16 RAM 10037/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2262,63%@2261,64%@2260,50%@2264,63%@2264,78%@2262,36%@2263,50%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@50.5C Tdiode@51C PMIC@50C GPU 5561mW/5338mW CPU 7258mW/6143mW SOC 3553mW/3461mW CV 0mW/0mW VDDRQ 1235mW/1114mW SYS5V 3800mW/3748mW
02-11-2025 09:55:16 RAM 10039/30991MB (lfb 2105x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2264,75%@2263,54%@2265,66%@2264,69%@2263,58%@2264,75%@2263,69%@2262] EMC_FREQ 18%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5561mW/5345mW CPU 7412mW/6187mW SOC 3553mW/3464mW CV 0mW/0mW VDDRQ 1235mW/1118mW SYS5V 3800mW/3750mW
02-11-2025 09:55:16 RAM 10044/30991MB (lfb 2105x4MB) SWAP 0/15495MB (cached 0MB) CPU [42%@2264,30%@2264,53%@2264,41%@2262,45%@2264,83%@2264,66%@2262,61%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5561mW/5353mW CPU 7106mW/6217mW SOC 3553mW/3467mW CV 0mW/0mW VDDRQ 1235mW/1122mW SYS5V 3800mW/3752mW
02-11-2025 09:55:16 RAM 10043/30991MB (lfb 2105x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2264,33%@2265,40%@2264,71%@2264,78%@2261,75%@2264,46%@2265,50%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.3C Tboard@48C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5407mW/5354mW CPU 6952mW/6241mW SOC 3553mW/3469mW CV 0mW/0mW VDDRQ 1235mW/1126mW SYS5V 3800mW/3753mW
