02-07-2025 09:48:16 RAM 8346/30991MB (lfb 2860x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2264,78%@2265,100%@2266,81%@2265,76%@2264,100%@2265,84%@2265,83%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51C thermal@47.6C Tboard@47C AO@47C GPU@49C Tdiode@49.75C PMIC@50C GPU 2945mW/2945mW CPU 6045mW/6045mW SOC 3100mW/3100mW CV 0mW/0mW VDDRQ 774mW/774mW SYS5V 3560mW/3560mW
02-07-2025 09:48:16 RAM 8353/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2264,76%@2264,100%@2262,75%@2265,83%@2264,76%@2263,80%@2264,80%@2266] EMC_FREQ 6%@2133 GR3D_FREQ 53%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51.5C thermal@48.8C Tboard@47C AO@47C GPU@49C Tdiode@49.75C PMIC@50C GPU 3715mW/3330mW CPU 6811mW/6428mW SOC 3251mW/3175mW CV 0mW/0mW VDDRQ 928mW/851mW SYS5V 3640mW/3600mW
02-07-2025 09:48:16 RAM 8351/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2267,46%@2264,100%@2264,46%@2264,83%@2264,75%@2262,69%@2261,66%@2261] EMC_FREQ 8%@2133 GR3D_FREQ 59%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 4178mW/3612mW CPU 7118mW/6658mW SOC 3249mW/3200mW CV 0mW/0mW VDDRQ 928mW/876mW SYS5V 3680mW/3626mW
02-07-2025 09:48:16 RAM 8346/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2262,66%@2264,27%@2262,50%@2265,75%@2263,76%@2264,53%@2269,38%@2266] EMC_FREQ 9%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49C Tdiode@49.75C PMIC@50C GPU 4487mW/3831mW CPU 6963mW/6734mW SOC 3404mW/3251mW CV 0mW/0mW VDDRQ 1083mW/928mW SYS5V 3720mW/3650mW
02-07-2025 09:48:16 RAM 8349/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2265,57%@2264,53%@2264,41%@2264,54%@2264,53%@2265,50%@2264,54%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 4795mW/4024mW CPU 6960mW/6779mW SOC 3403mW/3281mW CV 0mW/0mW VDDRQ 1082mW/959mW SYS5V 3720mW/3664mW
02-07-2025 09:48:16 RAM 8350/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,45%@2263,69%@2264,50%@2265,46%@2265,23%@2261,58%@2263,84%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@51C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 4950mW/4178mW CPU 6806mW/6783mW SOC 3403mW/3301mW CV 0mW/0mW VDDRQ 1082mW/979mW SYS5V 3760mW/3680mW
02-07-2025 09:48:17 RAM 8354/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,27%@2261,66%@2264,75%@2265,50%@2264,27%@2262,30%@2258,16%@2261] EMC_FREQ 11%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 5104mW/4310mW CPU 6496mW/6742mW SOC 3404mW/3316mW CV 0mW/0mW VDDRQ 1082mW/994mW SYS5V 3760mW/3691mW
02-07-2025 09:48:17 RAM 8355/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2262,72%@2265,75%@2264,33%@2265,30%@2263,38%@2263,9%@2262,23%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 5416mW/4448mW CPU 6187mW/6673mW SOC 3404mW/3327mW CV 0mW/0mW VDDRQ 1082mW/1005mW SYS5V 3760mW/3700mW
02-07-2025 09:48:17 RAM 8357/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2264,84%@2265,70%@2264,21%@2263,46%@2263,18%@2264,38%@2264,27%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 5571mW/4573mW CPU 6035mW/6602mW SOC 3404mW/3335mW CV 0mW/0mW VDDRQ 1083mW/1013mW SYS5V 3720mW/3702mW
02-07-2025 09:48:17 RAM 8358/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,75%@2265,78%@2264,8%@2264,33%@2264,16%@2266,38%@2256,33%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 5571mW/4673mW CPU 5880mW/6530mW SOC 3404mW/3342mW CV 0mW/0mW VDDRQ 1083mW/1020mW SYS5V 3760mW/3708mW
02-07-2025 09:48:17 RAM 8363/30991MB (lfb 2859x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2264,58%@2264,58%@2263,72%@2260,33%@2264,30%@2264,38%@2257,46%@2265] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 1036 APE 150 AUX@47C CPU@50.5C thermal@48.8C Tboard@47C AO@47.5C GPU@49.5C Tdiode@50C PMIC@50C GPU 5571mW/4754mW CPU 5880mW/6471mW SOC 3404mW/3348mW CV 0mW/0mW VDDRQ 1083mW/1026mW SYS5V 3720mW/3709mW
