01-23-2025 10:02:03 RAM 7299/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2260,21%@2264,81%@2257,46%@2259,46%@2260,25%@2265,42%@2254,41%@2255] EMC_FREQ 10%@2133 GR3D_FREQ 19%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4648mW/4093mW CPU 5265mW/4894mW SOC 3253mW/3163mW CV 0mW/0mW VDDRQ 1084mW/994mW SYS5V 3410mW/3373mW
01-23-2025 10:02:03 RAM 7298/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [66%@2256,30%@2258,75%@2257,72%@2253,25%@2259,18%@2258,0%@2259,14%@2256] EMC_FREQ 10%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4147mW CPU 5420mW/4934mW SOC 3252mW/3170mW CV 0mW/0mW VDDRQ 1084mW/1000mW SYS5V 3451mW/3379mW
01-23-2025 10:02:03 RAM 7302/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [77%@2257,25%@2259,81%@2257,66%@2258,38%@2257,33%@2253,0%@2257,0%@2257] EMC_FREQ 10%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4194mW CPU 5420mW/4969mW SOC 3252mW/3176mW CV 0mW/0mW VDDRQ 1084mW/1006mW SYS5V 3451mW/3384mW
01-23-2025 10:02:04 RAM 7302/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2257,54%@2257,72%@2258,69%@2258,30%@2258,23%@2257,15%@2258,21%@2252] EMC_FREQ 11%@2133 GR3D_FREQ 7%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4235mW CPU 5420mW/4999mW SOC 3252mW/3181mW CV 0mW/0mW VDDRQ 1084mW/1012mW SYS5V 3451mW/3388mW
01-23-2025 10:02:04 RAM 7303/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2256,16%@2258,54%@2258,90%@2257,33%@2257,27%@2255,38%@2255,18%@2258] EMC_FREQ 11%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4270mW CPU 5420mW/5025mW SOC 3252mW/3185mW CV 0mW/0mW VDDRQ 1084mW/1016mW SYS5V 3451mW/3392mW
01-23-2025 10:02:04 RAM 7305/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2257,0%@2257,76%@2255,81%@2256,50%@2258,61%@2256,8%@2259,8%@2259] EMC_FREQ 11%@2133 GR3D_FREQ 11%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4301mW CPU 5420mW/5048mW SOC 3252mW/3189mW CV 0mW/0mW VDDRQ 1084mW/1020mW SYS5V 3451mW/3396mW
01-23-2025 10:02:04 RAM 7306/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [25%@2257,15%@2257,58%@2257,84%@2255,27%@2256,66%@2255,0%@2256,25%@2258] EMC_FREQ 11%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4329mW CPU 5265mW/5060mW SOC 3252mW/3193mW CV 0mW/0mW VDDRQ 1084mW/1024mW SYS5V 3451mW/3399mW
01-23-2025 10:02:04 RAM 7306/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [27%@2260,8%@2257,30%@2257,85%@2256,15%@2257,75%@2258,57%@2258,33%@2259] EMC_FREQ 12%@2133 GR3D_FREQ 20%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4354mW CPU 5418mW/5079mW SOC 3252mW/3196mW CV 0mW/0mW VDDRQ 1084mW/1027mW SYS5V 3451mW/3401mW
01-23-2025 10:02:04 RAM 7308/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [16%@2258,27%@2258,27%@2258,81%@2259,61%@2258,50%@2254,42%@2258,27%@2256] EMC_FREQ 12%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4376mW CPU 5420mW/5096mW SOC 3252mW/3199mW CV 0mW/0mW VDDRQ 1084mW/1030mW SYS5V 3451mW/3404mW
01-23-2025 10:02:04 RAM 7310/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2256,83%@2257,46%@2257,23%@2257,10%@2257,72%@2258,23%@2259,9%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4396mW CPU 5420mW/5111mW SOC 3252mW/3201mW CV 0mW/0mW VDDRQ 1084mW/1032mW SYS5V 3451mW/3406mW
