02-25-2025 09:35:31 RAM 8374/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2263,16%@2264,81%@2262,58%@2264,50%@2263,25%@2263,7%@2263,75%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 23%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.65C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5094mW/4169mW CPU 6792mW/6614mW SOC 3550mW/3346mW CV 0mW/0mW VDDRQ 1234mW/1003mW SYS5V 3800mW/3713mW
02-25-2025 09:35:31 RAM 8374/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2266,30%@2263,53%@2263,50%@2263,27%@2263,58%@2263,15%@2263,81%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.65C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5094mW/4240mW CPU 6637mW/6616mW SOC 3550mW/3361mW CV 0mW/0mW VDDRQ 1234mW/1020mW SYS5V 3800mW/3720mW
02-25-2025 09:35:31 RAM 8376/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2264,58%@2263,92%@2263,61%@2264,15%@2260,91%@2263,30%@2258,84%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5094mW/4301mW CPU 6792mW/6628mW SOC 3550mW/3375mW CV 0mW/0mW VDDRQ 1234mW/1036mW SYS5V 3800mW/3725mW
02-25-2025 09:35:31 RAM 8376/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2263,46%@2263,61%@2263,72%@2264,38%@2262,66%@2262,41%@2262,75%@2262] EMC_FREQ 15%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5094mW/4354mW CPU 6946mW/6649mW SOC 3550mW/3386mW CV 0mW/0mW VDDRQ 1234mW/1049mW SYS5V 3800mW/3730mW
02-25-2025 09:35:32 RAM 8377/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2264,58%@2262,91%@2264,50%@2264,76%@2265,58%@2263,40%@2263,76%@2262] EMC_FREQ 16%@2133 GR3D_FREQ 69%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5092mW/4400mW CPU 7100mW/6677mW SOC 3550mW/3397mW CV 0mW/0mW VDDRQ 1234mW/1060mW SYS5V 3793mW/3734mW
02-25-2025 09:35:32 RAM 8377/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2263,81%@2264,50%@2263,46%@2262,76%@2264,53%@2262,53%@2264,72%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5400mW/4459mW CPU 7252mW/6711mW SOC 3548mW/3405mW CV 0mW/0mW VDDRQ 1234mW/1071mW SYS5V 3800mW/3738mW
02-25-2025 09:35:32 RAM 8377/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2264,53%@2264,46%@2257,25%@2264,83%@2261,42%@2264,75%@2264,46%@2261] EMC_FREQ 17%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5400mW/4511mW CPU 7097mW/6733mW SOC 3548mW/3413mW CV 0mW/0mW VDDRQ 1234mW/1080mW SYS5V 3800mW/3741mW
02-25-2025 09:35:32 RAM 8378/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2262,46%@2263,100%@2263,25%@2264,76%@2264,41%@2263,28%@2264,53%@2267] EMC_FREQ 18%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.65C Tboard@48C AO@47.5C GPU@51C Tdiode@50.5C PMIC@50C GPU 5709mW/4574mW CPU 6789mW/6736mW SOC 3548mW/3420mW CV 0mW/0mW VDDRQ 1234mW/1088mW SYS5V 3833mW/3746mW
02-25-2025 09:35:32 RAM 8380/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,61%@2263,100%@2262,30%@2264,75%@2264,41%@2263,25%@2263,41%@2263] EMC_FREQ 18%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.65C Tboard@48C AO@47.5C GPU@51C Tdiode@50.75C PMIC@50C GPU 5861mW/4638mW CPU 6786mW/6738mW SOC 3701mW/3434mW CV 0mW/0mW VDDRQ 1388mW/1103mW SYS5V 3833mW/3750mW
02-25-2025 09:35:32 RAM 8378/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [35%@2263,38%@2263,69%@2263,30%@2268,23%@2270,38%@2263,58%@2262,66%@2263] EMC_FREQ 19%@2133 GR3D_FREQ 48%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6169mW/4711mW CPU 6632mW/6733mW SOC 3701mW/3447mW CV 0mW/0mW VDDRQ 1388mW/1116mW SYS5V 3873mW/3756mW
02-25-2025 09:35:32 RAM 8378/30991MB (lfb 3464x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2264,66%@2263,0%@2264,9%@2264,41%@2263,58%@2263,92%@2264,42%@2264] EMC_FREQ 20%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6323mW/4784mW CPU 6478mW/6721mW SOC 3701mW/3459mW CV -308mW/-14mW VDDRQ 1388mW/1129mW SYS5V 3873mW/3762mW
02-25-2025 09:35:32 RAM 8378/30991MB (lfb 3458x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2263,33%@2262,16%@2264,16%@2263,58%@2263,36%@2262,50%@2261,100%@2263] EMC_FREQ 20%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6323mW/4851mW CPU 6323mW/6704mW SOC 3701mW/3469mW CV 0mW/-13mW VDDRQ 1388mW/1140mW SYS5V 3873mW/3766mW
02-25-2025 09:35:33 RAM 8380/30991MB (lfb 3450x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2262,78%@2263,21%@2262,23%@2264,33%@2264,50%@2264,50%@2263,76%@2264] EMC_FREQ 21%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 6478mW/4919mW CPU 6169mW/6682mW SOC 3701mW/3479mW CV 0mW/-12mW VDDRQ 1388mW/1150mW SYS5V 3873mW/3771mW
02-25-2025 09:35:33 RAM 8386/30991MB (lfb 3441x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2262,81%@2259,53%@2261,42%@2259,41%@2263,93%@2264,50%@2263,41%@2262] EMC_FREQ 21%@2133 GR3D_FREQ 25%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 6478mW/4981mW CPU 6478mW/6674mW SOC 3701mW/3488mW CV 0mW/-12mW VDDRQ 1387mW/1160mW SYS5V 3873mW/3775mW
02-25-2025 09:35:33 RAM 8394/30991MB (lfb 3438x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,100%@2264,63%@2262,84%@2260,27%@2263,100%@2263,45%@2263,46%@2263] EMC_FREQ 21%@2133 GR3D_FREQ 51%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6169mW/5027mW CPU 6632mW/6672mW SOC 3701mW/3496mW CV 0mW/-11mW VDDRQ 1387mW/1168mW SYS5V 3873mW/3779mW
02-25-2025 09:35:33 RAM 8393/30991MB (lfb 3437x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2262,100%@2259,71%@2263,75%@2264,83%@2264,66%@2264,64%@2264,66%@2264] EMC_FREQ 21%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6167mW/5069mW CPU 7092mW/6687mW SOC 3701mW/3503mW CV 0mW/-11mW VDDRQ 1387mW/1176mW SYS5V 3873mW/3782mW
02-25-2025 09:35:33 RAM 8399/30991MB (lfb 3436x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,78%@2265,90%@2263,63%@2263,75%@2264,58%@2262,91%@2267,54%@2260] EMC_FREQ 22%@2133 GR3D_FREQ 25%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 6012mW/5103mW CPU 7554mW/6718mW SOC 3700mW/3510mW CV 0mW/-11mW VDDRQ 1387mW/1184mW SYS5V 3873mW/3785mW
02-25-2025 09:35:33 RAM 8404/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2262,71%@2263,93%@2261,80%@2263,80%@2263,78%@2255,92%@2263,86%@2264] EMC_FREQ 22%@2133 GR3D_FREQ 51%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.45C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 5858mW/5129mW CPU 7862mW/6758mW SOC 3700mW/3517mW CV 0mW/-10mW VDDRQ 1387mW/1191mW SYS5V 3873mW/3788mW
02-25-2025 09:35:33 RAM 8406/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2264,92%@2260,84%@2263,85%@2263,92%@2261,92%@2265,91%@2264,100%@2264] EMC_FREQ 22%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.6C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5856mW/5153mW CPU 8322mW/6810mW SOC 3698mW/3523mW CV 0mW/-10mW VDDRQ 1387mW/1197mW SYS5V 3873mW/3791mW
02-25-2025 09:35:33 RAM 8402/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2260,61%@2263,63%@2262,72%@2263,61%@2264,46%@2263,64%@2261,91%@2264] EMC_FREQ 23%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.6C Tboard@48C AO@48C GPU@51.5C Tdiode@51C PMIC@50C GPU 6010mW/5181mW CPU 8167mW/6854mW SOC 3852mW/3534mW CV 0mW/-9mW VDDRQ 1387mW/1204mW SYS5V 3913mW/3795mW
02-25-2025 09:35:34 RAM 8401/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2261,53%@2265,66%@2259,57%@2264,38%@2261,41%@2264,100%@2264,23%@2264] EMC_FREQ 23%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.6C Tboard@48C AO@48C GPU@51.5C Tdiode@51C PMIC@50C GPU 6318mW/5216mW CPU 7859mW/6885mW SOC 3852mW/3543mW CV 0mW/-9mW VDDRQ 1387mW/1209mW SYS5V 3913mW/3799mW
02-25-2025 09:35:34 RAM 8401/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2264,38%@2264,50%@2263,54%@2263,75%@2263,41%@2264,100%@2263,8%@2261] EMC_FREQ 23%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.6C Tboard@48C AO@48C GPU@51.5C Tdiode@51C PMIC@50C GPU 6318mW/5250mW CPU 7551mW/6905mW SOC 3852mW/3553mW CV 0mW/-9mW VDDRQ 1541mW/1219mW SYS5V 3913mW/3802mW
02-25-2025 09:35:34 RAM 8400/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2262,26%@2262,30%@2266,23%@2263,21%@2263,81%@2256,92%@2260,46%@2263] EMC_FREQ 23%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.6C Tboard@48C AO@48C GPU@51.5C Tdiode@51C PMIC@50C GPU 6321mW/5281mW CPU 7092mW/6911mW SOC 3854mW/3562mW CV 0mW/-9mW VDDRQ 1387mW/1224mW SYS5V 3873mW/3804mW
02-25-2025 09:35:34 RAM 8400/30991MB (lfb 3435x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,25%@2264,46%@2259,18%@2264,16%@2264,61%@2263,100%@2263,53%@2264] EMC_FREQ 23%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@50.6C Tboard@48C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 6321mW/5311mW CPU 6629mW/6903mW SOC 3700mW/3566mW CV 0mW/-8mW VDDRQ 1387mW/1229mW SYS5V 3873mW/3806mW
