02-19-2025 08:01:32 RAM 8331/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2265,45%@2265,46%@2266,21%@2265,41%@2265,50%@2261,72%@2265,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 71%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1548mW/1405mW CPU 5108mW/5520mW SOC 3096mW/3082mW CV 0mW/-103mW VDDRQ 928mW/876mW SYS5V 3554mW/3544mW
02-19-2025 08:01:32 RAM 8327/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2265,38%@2263,64%@2265,21%@2265,42%@2265,46%@2263,78%@2265,8%@2265] EMC_FREQ 10%@2133 GR3D_FREQ 46%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1548mW/1416mW CPU 5108mW/5488mW SOC 3096mW/3083mW CV 0mW/-95mW VDDRQ 928mW/880mW SYS5V 3554mW/3544mW
02-19-2025 08:01:32 RAM 8328/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2265,27%@2265,30%@2264,50%@2265,18%@2265,50%@2265,80%@2265,23%@2262] EMC_FREQ 11%@2133 GR3D_FREQ 78%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1548mW/1426mW CPU 5108mW/5461mW SOC 3096mW/3084mW CV 0mW/-88mW VDDRQ 928mW/883mW SYS5V 3554mW/3545mW
02-19-2025 08:01:32 RAM 8330/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2265,15%@2264,21%@2265,66%@2265,33%@2265,53%@2265,76%@2264,36%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 7%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@40C GPU@41C Tdiode@42.5C PMIC@50C GPU 1548mW/1434mW CPU 5108mW/5437mW SOC 3096mW/3085mW CV -309mW/-103mW VDDRQ 928mW/886mW SYS5V 3554mW/3546mW
02-19-2025 08:01:32 RAM 8333/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2265,36%@2265,16%@2265,69%@2265,36%@2261,41%@2265,46%@2265,53%@2265] EMC_FREQ 11%@2133 GR3D_FREQ 48%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1548mW/1441mW CPU 4954mW/5407mW SOC 3096mW/3086mW CV 0mW/-96mW VDDRQ 928mW/889mW SYS5V 3554mW/3546mW
02-19-2025 08:01:32 RAM 8330/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2265,9%@2265,46%@2265,60%@2265,84%@2265,40%@2265,38%@2265,58%@2262] EMC_FREQ 11%@2133 GR3D_FREQ 71%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1548mW/1447mW CPU 5263mW/5399mW SOC 3096mW/3086mW CV 0mW/-90mW VDDRQ 928mW/891mW SYS5V 3594mW/3549mW
02-19-2025 08:01:32 RAM 8329/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2265,38%@2265,25%@2265,8%@2263,91%@2265,57%@2262,45%@2265,61%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 49%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1702mW/1461mW CPU 5416mW/5400mW SOC 3096mW/3087mW CV 0mW/-85mW VDDRQ 928mW/893mW SYS5V 3594mW/3551mW
02-19-2025 08:01:32 RAM 8331/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2265,16%@2265,63%@2265,70%@2273,69%@2265,16%@2264,38%@2265,41%@2265] EMC_FREQ 11%@2133 GR3D_FREQ 37%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1548mW/1466mW CPU 5263mW/5392mW SOC 3096mW/3087mW CV -309mW/-97mW VDDRQ 928mW/895mW SYS5V 3594mW/3554mW
02-19-2025 08:01:33 RAM 8332/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2265,38%@2265,61%@2266,41%@2274,90%@2265,0%@2265,50%@2265,27%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 43%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1702mW/1478mW CPU 5263mW/5386mW SOC 3096mW/3088mW CV 0mW/-92mW VDDRQ 928mW/897mW SYS5V 3594mW/3556mW
02-19-2025 08:01:33 RAM 8341/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2264,54%@2265,58%@2267,46%@2265,76%@2265,28%@2256,23%@2265,53%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 31%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@39C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1702mW/1488mW CPU 5416mW/5387mW SOC 3249mW/3095mW CV 0mW/-88mW VDDRQ 928mW/898mW SYS5V 3594mW/3557mW
