02-20-2025 09:30:21 RAM 13099/30991MB (lfb 2298x4MB) SWAP 3/15495MB (cached 0MB) CPU [50%@2264,0%@2264,0%@2264,16%@2264,16%@2264,7%@2262,61%@2265,54%@2259] EMC_FREQ 23%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@50.4C Tboard@48C AO@49C GPU@54C Tdiode@51.5C PMIC@50C GPU 14160mW/10855mW CPU 3694mW/3727mW SOC 4155mW/3804mW CV 0mW/0mW VDDRQ 1847mW/1502mW SYS5V 4073mW/3905mW
02-20-2025 09:30:21 RAM 13102/30991MB (lfb 2289x4MB) SWAP 3/15495MB (cached 0MB) CPU [53%@2264,46%@2264,16%@2264,18%@2271,36%@2262,9%@2264,41%@2262,50%@2263] EMC_FREQ 24%@2133 GR3D_FREQ 91%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@50.4C Tboard@48C AO@49C GPU@54.5C Tdiode@51.5C PMIC@50C GPU 14308mW/11121mW CPU 3848mW/3737mW SOC 4155mW/3831mW CV 0mW/0mW VDDRQ 1846mW/1529mW SYS5V 4073mW/3918mW
02-20-2025 09:30:21 RAM 13101/30991MB (lfb 2278x4MB) SWAP 3/15495MB (cached 0MB) CPU [25%@2262,33%@2264,33%@2264,15%@2263,30%@2264,25%@2264,36%@2265,45%@2263] EMC_FREQ 25%@2133 GR3D_FREQ 83%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.5C PMIC@50C GPU 14462mW/11360mW CPU 3846mW/3744mW SOC 4154mW/3854mW CV 0mW/0mW VDDRQ 1846mW/1551mW SYS5V 4073mW/3929mW
02-20-2025 09:30:21 RAM 13101/30991MB (lfb 2268x4MB) SWAP 3/15495MB (cached 0MB) CPU [8%@2264,33%@2264,41%@2262,0%@2261,23%@2262,25%@2263,50%@2264,53%@2264] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.5C PMIC@50C GPU 14308mW/11556mW CPU 3846mW/3751mW SOC 4154mW/3874mW CV 0mW/0mW VDDRQ 2000mW/1581mW SYS5V 4073mW/3939mW
02-20-2025 09:30:21 RAM 13099/30991MB (lfb 2259x4MB) SWAP 3/15495MB (cached 0MB) CPU [8%@2264,33%@2271,50%@2264,8%@2263,0%@2263,8%@2264,33%@2263,53%@2263] EMC_FREQ 26%@2133 GR3D_FREQ 58%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.5C PMIC@50C GPU 14610mW/11747mW CPU 3846mW/3757mW SOC 4154mW/3891mW CV 0mW/0mW VDDRQ 1999mW/1607mW SYS5V 4113mW/3950mW
02-20-2025 09:30:21 RAM 13100/30991MB (lfb 2247x4MB) SWAP 3/15495MB (cached 0MB) CPU [46%@2264,15%@2265,50%@2263,15%@2261,28%@2265,14%@2263,50%@2263,45%@2264] EMC_FREQ 27%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.75C PMIC@50C GPU 14462mW/11907mW CPU 3846mW/3762mW SOC 4154mW/3907mW CV 0mW/0mW VDDRQ 2000mW/1630mW SYS5V 4113mW/3959mW
02-20-2025 09:30:21 RAM 13100/30991MB (lfb 2237x4MB) SWAP 3/15495MB (cached 0MB) CPU [46%@2262,0%@2263,41%@2264,8%@2263,16%@2261,16%@2260,30%@2255,46%@2264] EMC_FREQ 28%@2133 GR3D_FREQ 66%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.75C PMIC@50C GPU 14770mW/12066mW CPU 3692mW/3758mW SOC 4154mW/3920mW CV 0mW/0mW VDDRQ 2000mW/1651mW SYS5V 4113mW/3968mW
02-20-2025 09:30:21 RAM 13100/30991MB (lfb 2227x4MB) SWAP 3/15495MB (cached 0MB) CPU [41%@2263,15%@2264,50%@2265,7%@2266,15%@2264,0%@2261,41%@2263,46%@2262] EMC_FREQ 28%@2133 GR3D_FREQ 27%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@51C Tboard@48C AO@49C GPU@55C Tdiode@51.75C PMIC@50C GPU 15077mW/12224mW CPU 3692mW/3755mW SOC 4154mW/3933mW CV 0mW/0mW VDDRQ 2000mW/1669mW SYS5V 4073mW/3973mW
02-20-2025 09:30:22 RAM 13100/30991MB (lfb 2217x4MB) SWAP 3/15495MB (cached 0MB) CPU [25%@2264,9%@2268,45%@2264,7%@2264,25%@2266,18%@2262,50%@2265,36%@2262] EMC_FREQ 29%@2133 GR3D_FREQ 87%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@51C Tboard@48C AO@49C GPU@54.5C Tdiode@51.75C PMIC@50C GPU 14770mW/12351mW CPU 3692mW/3752mW SOC 4154mW/3944mW CV 0mW/0mW VDDRQ 2000mW/1686mW SYS5V 4113mW/3980mW
02-20-2025 09:30:22 RAM 13100/30991MB (lfb 2207x4MB) SWAP 3/15495MB (cached 0MB) CPU [8%@2264,0%@2263,38%@2259,25%@2264,33%@2263,7%@2264,36%@2264,50%@2263] EMC_FREQ 29%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@51C Tboard@48C AO@49.5C GPU@55C Tdiode@51.75C PMIC@50C GPU 14917mW/12474mW CPU 3692mW/3749mW SOC 4154mW/3954mW CV 0mW/0mW VDDRQ 2000mW/1701mW SYS5V 4113mW/3987mW
