01-23-2025 11:55:38 RAM 13184/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@2257,41%@2257,33%@2257,28%@2257,28%@2257,28%@2257,26%@2254,15%@2255] EMC_FREQ 7%@1600 GR3D_FREQ 35%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.5C PMIC@50C GPU 930mW/930mW CPU 4809mW/4809mW SOC 2171mW/2171mW CV 1396mW/1396mW VDDRQ 775mW/775mW SYS5V 3491mW/3491mW
01-23-2025 11:55:39 RAM 13201/30991MB (lfb 2912x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2255,38%@2257,66%@2258,53%@2255,21%@2258,7%@2258,0%@2257,13%@2257] EMC_FREQ 8%@1600 GR3D_FREQ 28%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.5C PMIC@50C GPU 930mW/930mW CPU 4654mW/4731mW SOC 2171mW/2171mW CV 1551mW/1473mW VDDRQ 930mW/852mW SYS5V 3491mW/3491mW
01-23-2025 11:55:39 RAM 13209/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [78%@2257,75%@2257,53%@2256,100%@2257,20%@2257,14%@2257,14%@2253,15%@2257] EMC_FREQ 9%@1600 GR3D_FREQ 38%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@52C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.5C PMIC@50C GPU 930mW/930mW CPU 5427mW/4963mW SOC 2171mW/2171mW CV 1550mW/1499mW VDDRQ 930mW/878mW SYS5V 3531mW/3504mW
01-23-2025 11:55:39 RAM 13208/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2257,58%@2258,58%@2256,41%@2256,27%@2260,18%@2256,9%@2256,25%@2257] EMC_FREQ 10%@1600 GR3D_FREQ 53%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@52C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.5C PMIC@50C GPU 1085mW/968mW CPU 5580mW/5117mW SOC 2170mW/2170mW CV 1550mW/1511mW VDDRQ 1085mW/930mW SYS5V 3571mW/3521mW
01-23-2025 11:55:39 RAM 13210/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2258,61%@2256,69%@2256,38%@2257,15%@2257,30%@2256,36%@2251,50%@2258] EMC_FREQ 11%@1600 GR3D_FREQ 55%@[675] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@52C thermal@49.1C Tboard@49C AO@48.5C GPU@49C Tdiode@53.75C PMIC@50C GPU 1085mW/992mW CPU 5735mW/5241mW SOC 2325mW/2201mW CV 1550mW/1519mW VDDRQ 1085mW/961mW SYS5V 3571mW/3531mW
01-23-2025 11:55:39 RAM 13208/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2257,46%@2258,36%@2258,66%@2259,0%@2257,9%@2257,25%@2256,8%@2255] EMC_FREQ 12%@1600 GR3D_FREQ 28%@[675] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@52C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.75C PMIC@50C GPU 1240mW/1033mW CPU 5580mW/5297mW SOC 2324mW/2222mW CV 1705mW/1550mW VDDRQ 1085mW/981mW SYS5V 3571mW/3537mW
01-23-2025 11:55:39 RAM 13212/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2256,42%@2258,58%@2258,33%@2256,15%@2258,23%@2255,26%@2256,23%@2257] EMC_FREQ 13%@1600 GR3D_FREQ 25%@[675] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.1C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.75C PMIC@50C GPU 1240mW/1062mW CPU 5425mW/5315mW SOC 2325mW/2236mW CV 1705mW/1572mW VDDRQ 1085mW/996mW SYS5V 3571mW/3542mW
01-23-2025 11:55:39 RAM 13215/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2257,18%@2256,66%@2257,38%@2257,15%@2257,16%@2258,16%@2259,16%@2257] EMC_FREQ 13%@1600 GR3D_FREQ 31%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.75C PMIC@50C GPU 1240mW/1085mW CPU 5270mW/5310mW SOC 2325mW/2247mW CV 1705mW/1589mW VDDRQ 1085mW/1007mW SYS5V 3571mW/3546mW
01-23-2025 11:55:39 RAM 13215/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2257,45%@2257,33%@2257,33%@2258,23%@2257,23%@2257,23%@2257,23%@2256] EMC_FREQ 14%@1600 GR3D_FREQ 17%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@49C Tdiode@53.75C PMIC@50C GPU 1395mW/1119mW CPU 5115mW/5288mW SOC 2325mW/2256mW CV 1705mW/1601mW VDDRQ 1085mW/1016mW SYS5V 3571mW/3548mW
01-23-2025 11:55:40 RAM 13216/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2258,38%@2257,69%@2257,41%@2257,18%@2259,27%@2256,8%@2255,8%@2258] EMC_FREQ 14%@1600 GR3D_FREQ 22%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.75C PMIC@50C GPU 1395mW/1147mW CPU 5270mW/5286mW SOC 2325mW/2263mW CV 1705mW/1612mW VDDRQ 1084mW/1022mW SYS5V 3571mW/3551mW
01-23-2025 11:55:40 RAM 13216/30991MB (lfb 2911x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2257,36%@2258,66%@2258,58%@2257,15%@2258,28%@2257,7%@2259,15%@2257] EMC_FREQ 14%@1600 GR3D_FREQ 26%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@48.5C Tdiode@53.75C PMIC@50C GPU 1395mW/1169mW CPU 5270mW/5285mW SOC 2325mW/2268mW CV 1705mW/1620mW VDDRQ 1085mW/1028mW SYS5V 3571mW/3552mW
