02-21-2025 08:42:41 RAM 9546/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,18%@2263,41%@2264,41%@2260,100%@2264,7%@2261,69%@2264,38%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 32%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1381mW CPU 6352mW/6495mW SOC 3408mW/3176mW CV 0mW/-25mW VDDRQ 1084mW/903mW SYS5V 3720mW/3620mW
02-21-2025 08:42:41 RAM 9546/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2265,30%@2264,38%@2264,41%@2264,100%@2260,38%@2257,66%@2261,23%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 53%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1418mW CPU 6352mW/6484mW SOC 3408mW/3194mW CV 0mW/-23mW VDDRQ 1084mW/917mW SYS5V 3720mW/3627mW
02-21-2025 08:42:41 RAM 9545/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2261,33%@2264,50%@2264,33%@2264,92%@2264,18%@2264,58%@2264,33%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 93%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1449mW CPU 6197mW/6463mW SOC 3408mW/3209mW CV 0mW/-22mW VDDRQ 1084mW/929mW SYS5V 3720mW/3634mW
02-21-2025 08:42:41 RAM 9547/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,50%@2261,66%@2264,61%@2263,91%@2264,25%@2264,38%@2263,36%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 35%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1476mW CPU 6197mW/6445mW SOC 3408mW/3222mW CV -309mW/-41mW VDDRQ 1084mW/939mW SYS5V 3720mW/3640mW
02-21-2025 08:42:41 RAM 9544/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2264,46%@2265,58%@2265,33%@2264,16%@2264,92%@2264,46%@2261,45%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 70%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1500mW CPU 6197mW/6430mW SOC 3408mW/3234mW CV 0mW/-38mW VDDRQ 1084mW/948mW SYS5V 3720mW/3645mW
02-21-2025 08:42:41 RAM 9544/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2265,28%@2263,69%@2262,36%@2263,64%@2264,100%@2264,36%@2262,58%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 67%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1521mW CPU 6197mW/6416mW SOC 3408mW/3244mW CV -309mW/-54mW VDDRQ 1084mW/956mW SYS5V 3720mW/3649mW
02-21-2025 08:42:41 RAM 9545/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2266,36%@2264,25%@2264,50%@2264,58%@2264,100%@2264,33%@2264,38%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 84%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1540mW CPU 6197mW/6404mW SOC 3408mW/3253mW CV 0mW/-51mW VDDRQ 1084mW/963mW SYS5V 3720mW/3653mW
02-21-2025 08:42:41 RAM 9544/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2265,41%@2263,61%@2262,46%@2262,8%@2260,100%@2264,35%@2264,54%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 34%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 2014mW/1565mW CPU 6197mW/6393mW SOC 3408mW/3261mW CV 0mW/-48mW VDDRQ 1084mW/969mW SYS5V 3720mW/3656mW
02-21-2025 08:42:42 RAM 9544/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2265,33%@2264,75%@2264,38%@2263,20%@2266,85%@2264,38%@2264,53%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 80%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46.5C GPU@47.5C Tdiode@49C PMIC@50C GPU 2014mW/1587mW CPU 6042mW/6375mW SOC 3408mW/3269mW CV 0mW/-46mW VDDRQ 1084mW/975mW SYS5V 3720mW/3660mW
02-21-2025 08:42:42 RAM 9546/30991MB (lfb 3379x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2263,100%@2264,25%@2264,54%@2267,30%@2265,33%@2265,54%@2264,38%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 58%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2014mW/1608mW CPU 6042mW/6359mW SOC 3408mW/3275mW CV 0mW/-44mW VDDRQ 1084mW/980mW SYS5V 3720mW/3662mW
02-21-2025 08:42:42 RAM 9545/30991MB (lfb 3367x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,66%@2263,46%@2264,41%@2264,54%@2263,38%@2264,54%@2263,18%@2262] EMC_FREQ 15%@2133 GR3D_FREQ 40%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2014mW/1626mW CPU 6042mW/6345mW SOC 3408mW/3281mW CV 0mW/-42mW VDDRQ 1084mW/985mW SYS5V 3720mW/3665mW
02-21-2025 08:42:42 RAM 9549/30991MB (lfb 3353x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,61%@2264,66%@2265,50%@2264,75%@2263,83%@2264,50%@2263,53%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 62%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50.5C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2014mW/1643mW CPU 6197mW/6339mW SOC 3408mW/3287mW CV 0mW/-40mW VDDRQ 1084mW/989mW SYS5V 3720mW/3667mW
02-21-2025 08:42:42 RAM 9548/30991MB (lfb 3342x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2265,38%@2264,63%@2262,35%@2257,100%@2259,10%@2264,50%@2263,72%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 68%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2014mW/1658mW CPU 6197mW/6333mW SOC 3408mW/3292mW CV -309mW/-51mW VDDRQ 1084mW/993mW SYS5V 3720mW/3670mW
02-21-2025 08:42:42 RAM 9547/30991MB (lfb 3327x4MB) SWAP 0/15495MB (cached 0MB) CPU [42%@2265,38%@2264,23%@2263,71%@2264,100%@2264,46%@2264,38%@2264,57%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 71%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 2014mW/1673mW CPU 6197mW/6327mW SOC 3408mW/3296mW CV 0mW/-49mW VDDRQ 1084mW/997mW SYS5V 3720mW/3672mW
02-21-2025 08:42:42 RAM 9548/30991MB (lfb 3319x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2267,27%@2263,45%@2263,63%@2262,100%@2264,10%@2262,25%@2263,45%@2261] EMC_FREQ 16%@2133 GR3D_FREQ 70%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@49.5C thermal@48.05C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 2014mW/1686mW CPU 6042mW/6316mW SOC 3408mW/3301mW CV 0mW/-47mW VDDRQ 1084mW/1000mW SYS5V 3720mW/3673mW
02-21-2025 08:42:42 RAM 9549/30991MB (lfb 3319x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,33%@2264,43%@2264,42%@2264,92%@2264,14%@2263,38%@2262,25%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 61%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@48.05C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2014mW/1698mW CPU 5887mW/6300mW SOC 3408mW/3305mW CV 0mW/-45mW VDDRQ 1084mW/1003mW SYS5V 3720mW/3675mW
02-21-2025 08:42:43 RAM 9548/30991MB (lfb 3319x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2268,41%@2264,53%@2262,33%@2263,58%@2263,33%@2260,28%@2264,25%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 64%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@49.5C thermal@48.05C Tboard@46C AO@46C GPU@48C Tdiode@49.25C PMIC@50C GPU 2014mW/1709mW CPU 5577mW/6274mW SOC 3408mW/3308mW CV 0mW/-44mW VDDRQ 1084mW/1006mW SYS5V 3720mW/3677mW
