01-28-2025 14:00:28 RAM 9939/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@1186,53%@1187,92%@1186,73%@1185,off,off,off,off] EMC_FREQ 8%@1331 GR3D_FREQ 44%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1282mW CPU 1399mW/1347mW SOC 1555mW/1529mW CV 0mW/0mW VDDRQ 777mW/725mW SYS5V 2849mW/2842mW
01-28-2025 14:00:28 RAM 9937/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [81%@1186,85%@1185,75%@1187,81%@1185,off,off,off,off] EMC_FREQ 9%@1331 GR3D_FREQ 58%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44.5C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1291mW CPU 1399mW/1351mW SOC 1555mW/1531mW CV 0mW/0mW VDDRQ 777mW/729mW SYS5V 2849mW/2842mW
01-28-2025 14:00:28 RAM 9941/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@1187,75%@1189,64%@1188,76%@1188,off,off,off,off] EMC_FREQ 9%@1331 GR3D_FREQ 33%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1299mW CPU 1399mW/1354mW SOC 1555mW/1532mW CV 0mW/0mW VDDRQ 777mW/732mW SYS5V 2849mW/2843mW
01-28-2025 14:00:28 RAM 9940/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [60%@1187,75%@1187,92%@1187,66%@1187,off,off,off,off] EMC_FREQ 9%@1331 GR3D_FREQ 56%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.45C Tboard@45C AO@44.5C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1305mW CPU 1399mW/1357mW SOC 1555mW/1534mW CV 0mW/0mW VDDRQ 777mW/735mW SYS5V 2849mW/2843mW
01-28-2025 14:00:28 RAM 9940/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@1187,76%@1187,83%@1190,78%@1188,off,off,off,off] EMC_FREQ 9%@1331 GR3D_FREQ 8%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44.5C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1311mW CPU 1399mW/1360mW SOC 1555mW/1535mW CV 0mW/0mW VDDRQ 777mW/738mW SYS5V 2849mW/2843mW
01-28-2025 14:00:28 RAM 9941/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@1186,83%@1186,84%@1186,83%@1186,off,off,off,off] EMC_FREQ 10%@1331 GR3D_FREQ 36%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1316mW CPU 1399mW/1362mW SOC 1555mW/1536mW CV 0mW/0mW VDDRQ 777mW/740mW SYS5V 2849mW/2844mW
01-28-2025 14:00:28 RAM 9944/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@1188,92%@1188,75%@1189,69%@1188,off,off,off,off] EMC_FREQ 10%@1331 GR3D_FREQ 33%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1321mW CPU 1399mW/1364mW SOC 1555mW/1537mW CV 0mW/0mW VDDRQ 777mW/742mW SYS5V 2849mW/2844mW
01-28-2025 14:00:29 RAM 9944/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [78%@1187,86%@1188,50%@1187,85%@1187,off,off,off,off] EMC_FREQ 10%@1331 GR3D_FREQ 59%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1325mW CPU 1399mW/1366mW SOC 1555mW/1538mW CV 0mW/0mW VDDRQ 777mW/744mW SYS5V 2849mW/2844mW
01-28-2025 14:00:29 RAM 9940/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@1187,78%@1187,83%@1188,66%@1187,off,off,off,off] EMC_FREQ 10%@1331 GR3D_FREQ 5%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1555mW/1337mW CPU 1399mW/1368mW SOC 1555mW/1539mW CV 0mW/0mW VDDRQ 777mW/746mW SYS5V 2849mW/2844mW
01-28-2025 14:00:29 RAM 9946/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@1186,75%@1188,93%@1187,73%@1186,off,off,off,off] EMC_FREQ 10%@1331 GR3D_FREQ 5%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1555mW/1347mW CPU 1399mW/1369mW SOC 1555mW/1540mW CV 0mW/0mW VDDRQ 777mW/747mW SYS5V 2849mW/2845mW
