02-19-2025 10:28:22 RAM 11697/30991MB (lfb 2885x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2259,58%@2265,83%@2264,100%@2265,66%@2265,50%@2265,81%@2265,50%@2261] EMC_FREQ 14%@2133 GR3D_FREQ 18%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52.5C thermal@49.95C Tboard@47C AO@47.5C GPU@50C Tdiode@50.75C PMIC@50C GPU 4634mW/3901mW CPU 8648mW/8306mW SOC 3551mW/3373mW CV 0mW/0mW VDDRQ 1235mW/1016mW SYS5V 3800mW/3743mW
02-19-2025 10:28:22 RAM 11699/30991MB (lfb 2885x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2265,61%@2265,69%@2266,71%@2264,50%@2265,100%@2264,71%@2265,69%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52.5C thermal@49.95C Tboard@47C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4634mW/3958mW CPU 8497mW/8320mW SOC 3553mW/3387mW CV 0mW/0mW VDDRQ 1081mW/1021mW SYS5V 3800mW/3747mW
02-19-2025 10:28:22 RAM 11698/30991MB (lfb 2885x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2265,100%@2265,71%@2265,85%@2264,64%@2264,86%@2264,71%@2264,69%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@53C thermal@49.95C Tboard@47C AO@47.5C GPU@50C Tdiode@50.75C PMIC@50C GPU 4480mW/3995mW CPU 8497mW/8333mW SOC 3553mW/3399mW CV 0mW/0mW VDDRQ 1081mW/1026mW SYS5V 3760mW/3748mW
02-19-2025 10:28:22 RAM 11705/30991MB (lfb 2885x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2265,100%@2265,53%@2263,75%@2262,100%@2266,54%@2265,69%@2265,66%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 19%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52.5C thermal@49.95C Tboard@47C AO@47.5C GPU@50C Tdiode@50.75C PMIC@50C GPU 4480mW/4027mW CPU 8493mW/8344mW SOC 3553mW/3409mW CV 0mW/0mW VDDRQ 1081mW/1029mW SYS5V 3800mW/3752mW
02-19-2025 10:28:22 RAM 11711/30991MB (lfb 2877x4MB) SWAP 0/15495MB (cached 0MB) CPU [70%@2264,100%@2265,76%@2265,91%@2265,91%@2265,69%@2265,78%@2263,92%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4480mW/4056mW CPU 8493mW/8353mW SOC 3551mW/3418mW CV 0mW/0mW VDDRQ 1235mW/1042mW SYS5V 3800mW/3755mW
02-19-2025 10:28:22 RAM 11712/30991MB (lfb 2863x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2265,92%@2265,66%@2264,69%@2264,60%@2265,100%@2264,92%@2264,69%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4632mW/4089mW CPU 8493mW/8361mW SOC 3551mW/3426mW CV 0mW/0mW VDDRQ 1235mW/1053mW SYS5V 3800mW/3757mW
02-19-2025 10:28:22 RAM 11712/30991MB (lfb 2852x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@2265,100%@2264,75%@2265,84%@2265,90%@2265,81%@2264,85%@2264,100%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4632mW/4120mW CPU 8648mW/8377mW SOC 3551mW/3433mW CV 0mW/0mW VDDRQ 1235mW/1063mW SYS5V 3800mW/3760mW
02-19-2025 10:28:22 RAM 11716/30991MB (lfb 2840x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,83%@2265,81%@2265,81%@2262,76%@2265,83%@2265,92%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 58%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4324mW/4130mW CPU 8802mW/8399mW SOC 3551mW/3439mW CV 0mW/0mW VDDRQ 1081mW/1064mW SYS5V 3800mW/3762mW
02-19-2025 10:28:23 RAM 11715/30991MB (lfb 2829x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2265,100%@2265,84%@2264,83%@2264,90%@2263,83%@2265,83%@2264,84%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4324mW/4140mW CPU 8802mW/8420mW SOC 3551mW/3444mW CV 0mW/0mW VDDRQ 1081mW/1065mW SYS5V 3800mW/3764mW
02-19-2025 10:28:23 RAM 11731/30991MB (lfb 2814x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2265,100%@2263,91%@2265,85%@2265,92%@2263,84%@2264,69%@2264,83%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4169mW/4141mW CPU 8802mW/8438mW SOC 3551mW/3449mW CV 0mW/0mW VDDRQ 1235mW/1073mW SYS5V 3800mW/3765mW
