01-23-2025 10:15:46 RAM 7242/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [84%@2256,15%@2257,41%@2254,41%@2254,53%@2258,28%@2258,33%@2257,38%@2256] EMC_FREQ 10%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 4803mW/4197mW CPU 5265mW/4842mW SOC 3252mW/3150mW CV 0mW/0mW VDDRQ 1084mW/994mW SYS5V 3451mW/3383mW
01-23-2025 10:15:46 RAM 7244/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [84%@2256,25%@2257,84%@2257,23%@2258,0%@2259,25%@2257,33%@2258,33%@2258] EMC_FREQ 10%@2133 GR3D_FREQ 21%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4243mW CPU 5265mW/4875mW SOC 3252mW/3158mW CV 0mW/0mW VDDRQ 1084mW/1000mW SYS5V 3451mW/3388mW
01-23-2025 10:15:46 RAM 7246/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [91%@2255,33%@2256,45%@2260,41%@2258,7%@2258,27%@2256,33%@2256,35%@2258] EMC_FREQ 10%@2133 GR3D_FREQ 25%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4294mW CPU 5265mW/4903mW SOC 3252mW/3164mW CV 0mW/0mW VDDRQ 1084mW/1006mW SYS5V 3451mW/3393mW
01-23-2025 10:15:46 RAM 7246/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [81%@2260,18%@2255,16%@2258,66%@2256,18%@2254,35%@2252,38%@2263,41%@2258] EMC_FREQ 11%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 4801mW/4328mW CPU 5265mW/4927mW SOC 3252mW/3170mW CV 0mW/0mW VDDRQ 1084mW/1012mW SYS5V 3451mW/3397mW
01-23-2025 10:15:47 RAM 7247/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [81%@2258,38%@2262,15%@2257,27%@2256,33%@2256,53%@2255,27%@2256,27%@2255] EMC_FREQ 11%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4367mW CPU 5265mW/4948mW SOC 3252mW/3175mW CV 0mW/0mW VDDRQ 1084mW/1016mW SYS5V 3451mW/3400mW
01-23-2025 10:15:47 RAM 7248/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2256,63%@2254,33%@2258,16%@2256,53%@2259,41%@2258,9%@2256,33%@2256] EMC_FREQ 11%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4393mW CPU 5265mW/4966mW SOC 3252mW/3180mW CV 0mW/0mW VDDRQ 1084mW/1020mW SYS5V 3451mW/3403mW
01-23-2025 10:15:47 RAM 7249/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [25%@2258,86%@2258,15%@2258,0%@2254,63%@2265,72%@2258,35%@2258,38%@2259] EMC_FREQ 12%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4424mW CPU 5111mW/4974mW SOC 3252mW/3184mW CV 0mW/0mW VDDRQ 1084mW/1024mW SYS5V 3451mW/3406mW
01-23-2025 10:15:47 RAM 7251/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2254,81%@2257,81%@2258,7%@2255,30%@2258,30%@2253,38%@2254,42%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 5111mW/4460mW CPU 5265mW/4990mW SOC 3252mW/3187mW CV 0mW/0mW VDDRQ 1084mW/1027mW SYS5V 3451mW/3408mW
01-23-2025 10:15:47 RAM 7252/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2258,61%@2254,85%@2259,8%@2258,30%@2257,46%@2257,38%@2258,20%@2257] EMC_FREQ 12%@2133 GR3D_FREQ 12%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4485mW CPU 5265mW/5003mW SOC 3252mW/3191mW CV 0mW/0mW VDDRQ 1084mW/1030mW SYS5V 3451mW/3410mW
01-23-2025 10:15:47 RAM 7251/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2255,33%@2257,33%@2257,53%@2257,41%@2258,63%@2258,27%@2265,38%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4507mW CPU 5265mW/5016mW SOC 3252mW/3193mW CV 0mW/0mW VDDRQ 1084mW/1032mW SYS5V 3451mW/3412mW
01-23-2025 10:15:47 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2258,54%@2258,25%@2258,54%@2253,58%@2255,46%@2255,33%@2260,35%@2257] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4528mW CPU 5265mW/5027mW SOC 3252mW/3196mW CV 0mW/0mW VDDRQ 1084mW/1034mW SYS5V 3451mW/3414mW
