02-07-2025 09:10:50 RAM 9320/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2262,46%@2264,100%@2263,54%@2264,58%@2264,69%@2264,69%@2267,70%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 55%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.35C Tboard@47C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2322mW/1612mW CPU 8201mW/7406mW SOC 3404mW/3264mW CV 0mW/-51mW VDDRQ 1083mW/928mW SYS5V 3720mW/3676mW
02-07-2025 09:10:50 RAM 9323/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2263,60%@2264,100%@2263,61%@2263,54%@2263,75%@2262,84%@2263,92%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 38%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2321mW/1667mW CPU 8201mW/7467mW SOC 3404mW/3275mW CV 0mW/-47mW VDDRQ 1083mW/940mW SYS5V 3720mW/3680mW
02-07-2025 09:10:50 RAM 9327/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@2264,38%@2263,69%@2263,100%@2264,41%@2264,58%@2263,38%@2263,57%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 42%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2476mW/1724mW CPU 8201mW/7520mW SOC 3404mW/3284mW CV 0mW/-44mW VDDRQ 1083mW/950mW SYS5V 3720mW/3682mW
02-07-2025 09:10:50 RAM 9327/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2263,64%@2264,50%@2265,100%@2264,75%@2264,85%@2263,50%@2264,60%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 25%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@49.35C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2631mW/1785mW CPU 8047mW/7555mW SOC 3405mW/3292mW CV 0mW/-41mW VDDRQ 1083mW/959mW SYS5V 3720mW/3685mW
02-07-2025 09:10:51 RAM 9327/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [86%@2262,86%@2265,63%@2263,100%@2264,92%@2263,92%@2264,91%@2264,66%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 42%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.35C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2476mW/1828mW CPU 8201mW/7595mW SOC 3404mW/3299mW CV 0mW/-38mW VDDRQ 1083mW/967mW SYS5V 3720mW/3687mW
02-07-2025 09:10:51 RAM 9330/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,66%@2262,78%@2263,100%@2264,84%@2263,100%@2263,90%@2264,84%@2265] EMC_FREQ 13%@2133 GR3D_FREQ 71%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2476mW/1866mW CPU 8511mW/7649mW SOC 3404mW/3305mW CV 0mW/-36mW VDDRQ 1083mW/974mW SYS5V 3720mW/3689mW
02-07-2025 09:10:51 RAM 9330/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2263,91%@2263,84%@2262,100%@2264,85%@2264,72%@2264,75%@2264,84%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 48%@[1032] VIC_FREQ 1036 APE 150 AUX@48.5C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2476mW/1900mW CPU 8511mW/7697mW SOC 3404mW/3311mW CV 0mW/-34mW VDDRQ 1083mW/980mW SYS5V 3720mW/3691mW
02-07-2025 09:10:51 RAM 9333/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2264,84%@2264,50%@2263,100%@2263,46%@2264,33%@2263,76%@2263,40%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 18%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2630mW/1938mW CPU 8201mW/7723mW SOC 3404mW/3316mW CV 0mW/-32mW VDDRQ 1083mW/985mW SYS5V 3720mW/3692mW
02-07-2025 09:10:51 RAM 9333/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@2263,76%@2264,66%@2263,100%@2264,61%@2263,45%@2264,54%@2264,69%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 63%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2630mW/1973mW CPU 8201mW/7747mW SOC 3404mW/3320mW CV 0mW/-30mW VDDRQ 1083mW/990mW SYS5V 3720mW/3694mW
02-07-2025 09:10:51 RAM 9340/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,50%@2263,61%@2264,100%@2264,61%@2264,69%@2264,69%@2264,53%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 61%@[1032] VIC_FREQ 1036 APE 150 AUX@48.5C CPU@52C thermal@49.85C Tboard@48C AO@47.5C GPU@49.5C Tdiode@50.5C PMIC@50C GPU 2630mW/2004mW CPU 8047mW/7761mW SOC 3404mW/3324mW CV 0mW/-29mW VDDRQ 1083mW/994mW SYS5V 3720mW/3695mW
02-07-2025 09:10:51 RAM 9339/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2263,71%@2265,71%@2264,100%@2264,84%@2263,76%@2264,71%@2264,66%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 49%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2785mW/2040mW CPU 8047mW/7774mW SOC 3404mW/3328mW CV 0mW/-28mW VDDRQ 1083mW/998mW SYS5V 3720mW/3696mW
02-07-2025 09:10:51 RAM 9348/30991MB (lfb 2454x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2264,69%@2264,63%@2263,100%@2262,92%@2262,64%@2263,61%@2264,69%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 39%@[1032] VIC_FREQ 1036 APE 150 AUX@48.5C CPU@52.5C thermal@49.85C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2630mW/2065mW CPU 8047mW/7786mW SOC 3404mW/3331mW CV 0mW/-26mW VDDRQ 1083mW/1002mW SYS5V 3720mW/3697mW
