02-07-2025 09:36:03 RAM 7993/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,100%@2263,0%@2263,75%@2264,15%@2262,30%@2264,25%@2263,0%@2262] EMC_FREQ 11%@2133 GR3D_FREQ 60%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2326mW/1770mW CPU 4962mW/5168mW SOC 3256mW/3204mW CV 0mW/-51mW VDDRQ 930mW/878mW SYS5V 3600mW/3596mW
02-07-2025 09:36:03 RAM 7998/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,100%@2264,8%@2264,75%@2263,0%@2258,18%@2264,33%@2263,0%@2260] EMC_FREQ 11%@2133 GR3D_FREQ 60%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2326mW/1812mW CPU 4807mW/5140mW SOC 3256mW/3208mW CV 0mW/-47mW VDDRQ 930mW/882mW SYS5V 3600mW/3596mW
02-07-2025 09:36:03 RAM 8004/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2267,100%@2263,0%@2264,66%@2267,0%@2264,42%@2264,25%@2264,0%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 59%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2326mW/1849mW CPU 4807mW/5116mW SOC 3256mW/3212mW CV 0mW/-44mW VDDRQ 930mW/885mW SYS5V 3600mW/3597mW
02-07-2025 09:36:03 RAM 8010/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2267,100%@2264,66%@2267,8%@2264,16%@2264,16%@2264,33%@2264,33%@2260] EMC_FREQ 12%@2133 GR3D_FREQ 54%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@47.5C Tboard@47C AO@46C GPU@47.5C Tdiode@48.75C PMIC@50C GPU 2326mW/1881mW CPU 4962mW/5106mW SOC 3256mW/3214mW CV 0mW/-41mW VDDRQ 930mW/888mW SYS5V 3600mW/3597mW
02-07-2025 09:36:04 RAM 7800/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2264,50%@2264,75%@2263,33%@2261,21%@2270,8%@2265,25%@2262,7%@2260] EMC_FREQ 12%@2133 GR3D_FREQ 52%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2326mW/1909mW CPU 4652mW/5078mW SOC 3256mW/3217mW CV 0mW/-38mW VDDRQ 930mW/891mW SYS5V 3600mW/3597mW
02-07-2025 09:36:04 RAM 7805/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2260,0%@2261,69%@2264,30%@2264,8%@2263,0%@2262,9%@2258,18%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 52%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48.5C thermal@47.5C Tboard@47C AO@45.5C GPU@47C Tdiode@48.75C PMIC@50C GPU 2327mW/1933mW CPU 4343mW/5034mW SOC 3257mW/3219mW CV 0mW/-36mW VDDRQ 930mW/893mW SYS5V 3600mW/3597mW
02-07-2025 09:36:04 RAM 7810/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2264,0%@2264,75%@2271,27%@2265,15%@2258,8%@2259,0%@2263,33%@2262] EMC_FREQ 12%@2133 GR3D_FREQ 60%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@48.5C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2327mW/1955mW CPU 4033mW/4979mW SOC 3257mW/3221mW CV 0mW/-34mW VDDRQ 930mW/895mW SYS5V 3600mW/3597mW
02-07-2025 09:36:04 RAM 7815/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,0%@2263,72%@2261,33%@2265,15%@2264,7%@2264,8%@2259,25%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 59%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@48.5C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2327mW/1975mW CPU 3723mW/4913mW SOC 3257mW/3223mW CV 0mW/-32mW VDDRQ 930mW/897mW SYS5V 3600mW/3597mW
02-07-2025 09:36:04 RAM 7820/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2263,0%@2262,69%@2266,33%@2263,0%@2263,8%@2263,0%@2260,27%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 59%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48.5C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 2327mW/1992mW CPU 3568mW/4845mW SOC 3257mW/3225mW CV 0mW/-31mW VDDRQ 930mW/899mW SYS5V 3600mW/3598mW
02-07-2025 09:36:04 RAM 7826/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2262,8%@2260,40%@2263,27%@2261,15%@2264,8%@2264,41%@2264,8%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 47%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48.5C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 2328mW/2008mW CPU 3568mW/4784mW SOC 3259mW/3227mW CV 0mW/-29mW VDDRQ 931mW/900mW SYS5V 3600mW/3598mW
02-07-2025 09:36:04 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2264,8%@2262,0%@2263,14%@2264,30%@2263,7%@2263,58%@2264,25%@2261] EMC_FREQ 13%@2133 GR3D_FREQ 53%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48.5C thermal@47.5C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2328mW/2023mW CPU 3414mW/4722mW SOC 3259mW/3228mW CV 0mW/-28mW VDDRQ 931mW/902mW SYS5V 3600mW/3598mW
02-07-2025 09:36:04 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@1190,0%@1190,7%@1190,0%@1190,7%@1190,0%@1187,0%@1190,0%@1190] EMC_FREQ 12%@2133 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@47.5C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 1863mW/2016mW CPU 2640mW/4632mW SOC 2951mW/3216mW CV 0mW/-26mW VDDRQ 776mW/896mW SYS5V 3480mW/3593mW
